"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"24","","","Botany","U.1418456","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","","","Sothers CA; Assunção PACL; Pereira EC","1994","9","30","brazil","","","Reserva Ducke Amazonas, Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Floresta de Plato. Arvore.","-59.966667","-2.883333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"25","","","NY","01071932","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1995-07-01","","648","","J. R. Nascimento","1994","11","15","brazil","Amazonas","","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26.","","","","Corythophora alta R.Knuth","","","GBIF"
"26","","","MO","3163184","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori","1995-01-01","","Nascimento 648","","J.R. Nascimento|C. Fernandes da Silva|E. da C. Pereira","1994","11","15","brazil","Amazonas","","Reserva Florestal Ducke, Manaus-Itacoatirar, km 26.","-59.96666","-2.88333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"27","","","SPF","131825","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, SA","2013-01-01","","1835","","Oliveira, AA","1993","3","","brazil","Amazonas","Manaus","","-59.761111","-2.407222","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"28","","","MO","3166881","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. Mori","1992-01-01","","Nee 42722","","Michael H. Nee","1992","5","19","brazil","Amazonas","","Mun. de Manaus, ca. 80 km. N de Manaus, Distrito Agropecuario da SUFRAMA< Rodovia Br 174, km 64, depois 7 kmleste na ZF3, Fazenda Porto Alegre. Projeto Dinamica Biologica de Biologica de Fragmentos Florestais acampamebto Porto Alegre.","-59.93333","2.41666","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"29","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","175473","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, S.A.","1992-01-01","","42722","","Nee, MH","1992","5","19","brazil","Amazonas","","""Distrito Agropecuário, ZF3, ca. 90 km. N de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 64, depois 7 km leste na ZF3, Fazenda Porto Alegre. Projeto Dinâmica Biológica de Fragmentos Florestais, acampamento ''Porto Alegre""""'. Reserva no""","-59.93","-2.416667","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"30","","","Botany","3339126","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","576","","M. A. Freitas","1991","1","9","brazil","Amazonas","","Distrito Agropecuário, Reserve 1501 (km 41).","","","","Corythophora alta R.Knuth","","","GBIF"
"31","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","210725","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, S.A.","1991-01-01","","69097","","Gentry, AH","1990","1","14","brazil","Amazonas","","","","","","Corythophora alta R.Knuth","","","GBIF"
"32","","","MO","300129","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","Gentry 69097","","Alwyn H. Gentry|Bruce W. Nelson","1990","1","14","brazil","Amazonas","","Ducke Reserve, Km 26 Manaus-Itacoatiara Hwy. Transect 3","-59.96666","-3","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"33","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","184424","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, S.A.","1991-01-01","","925","","Cunha, NML da","1990","2","6","brazil","Amazonas","","Distrito Agropecuário, ZF3, Distrito Agropecuário, Reserva 1501 (Km41) da Smithsonian/INPA. Projeto Dinâmica Biológica de Fragmentos Florestais.","-59.72","-2.4","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"34","","","NY","01071935","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1990-01-01","","1035","","N. M. Lepsch da Cunha","1990","6","","brazil","Amazonas","","Distrito AgropecuÃ¡rio: Reserva 1501 (Km 41) da WWF/INPA","-59.72917","-2.41625","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"35","","","NY","01270365","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1990-01-01","","1034","","N. M. Lepsch da Cunha","1990","6","","brazil","Amazonas","","Distrito AgropecuÃ¡rio: Reserva 1501 (Km 41) da WWF/INPA","-59.72917","-2.41625","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"36","","","NY","01071926","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","20219","","S. A. Mori","1989","2","8","brazil","Amazonas","","Distrito Agropecuario, Reserva 1501 (Km 41) of the WWF/INPA MCS Project.","-59.74583","-2.41625","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"37","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","170242","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","20225","","Mori, SA","1989","2","11","brazil","Amazonas","","Distrito Agropecuário, ZF3, Distrito Agropecuário, Reserva 1501 (Km 41) of the WWF/INPA","-59.72","-2.4","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"38","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","170247","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","20233","","Mori, SA","1989","3","25","brazil","Amazonas","","Distrito Agropecuário, ZF3, Distrito Agropecuário, Reserva 1501 (Km 41), of the WWF/INPA.","-59.72","-2.4","","Corythophora alta R.Knuth","","original coordinates","GBIF"
