"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","typeStatus","fieldNumber","comments"
"1","2017-04-26T17:15:18.000+0000","JBRJ","RB","RB01304911","Lecythis marcgraaviana Miers","Lecythidaceae","Lecythis","marcgraaviana","Miers","Michel Ribeiro","2017-01-01T00:00:00.000+0000","1280","Michel Ribeiro; Rodrigo Theófilo Valadares",2017,1,16,"Brazil","Bahia","Porto Seguro","Estrada da Jaqueira. Parque Nacional  do Pau Brasil",-39.295555,-16.459722,"Árvore, 12 m alt. x 11.5 cm DAP. Casca com fissuras se interligando em forma de “X”; casca externa marrom, laminada, casca interna marrom-amarelada, alburno amarelo-claro. Copa com todas as folhas maduras, verde escuras, nítidas, levemente mais espessas e coriáceas do que convencional. Pixídio na copa sem opérculo e sem sementes. Pixídios (2) coletados no chão. Outro espécie visualizada: Lecythis lanceolata (16°27’21.4” S 39°18’22.7” W), arvoreta 6 m alt. x 10 cm de DAP. Tronco com base de fissuras pouco profundas e meio aos ramos liso com estrias. Estéril. Coleta de material em sílica. Outras espécies estéreis visualizadas a cerca de 10 m de distância: Lecythis pisonis e Eschweilera complanata. RBcarpo 8122","urn:catalog:JBRJ:RB:1304911",NA,"Lecythis marcgraaviana Miers",NA,NA,NA,NA,NA
"2","2017-04-27T10:16:39.000+0000","JBRJ","RB","RB01304921","Lecythis marcgraaviana Miers","Lecythidaceae","Lecythis","marcgraaviana","Miers","Michel Ribeiro","2017-01-01T00:00:00.000+0000","1332","Michel Ribeiro; Jomar G. Jardim, Cynthia Sothers, Renata Asprino, Rafael G. Barbosa-Silva, Juan Carrion, Lukas Daneo e Daniel Piotto.",2017,1,25,"Brazil","Bahia","Uruçuca","Serra Grande. RPPN Fazenda Caititu",-39.061667,-14.424444,"Árvore, 26 m alt. x 60 cm DAP. Casca com longas fissurada verticais. Copa com todas as folhas novas, verde-claras. Flores: pedicelo e cálice verde-claros, corola branca, androceu branco com apêndices amarelo-claro. Frutos passados coletados sem opérculo e sementes. Folhas, flores e frutos coletadas no chão. Outros 2 indivíduos maduros em cerca de 300 m de trilha.","urn:catalog:JBRJ:RB:1304921",NA,"Lecythis marcgraaviana Miers",NA,NA,NA,NA,NA
"3","2016-05-27T14:18:00.000+0000","JBRJ","RB","RB01121385","Lecythis marcgraaviana Miers","Lecythidaceae","Lecythis","marcgraaviana","Miers","Michel Ribeiro","2016-03-19T00:00:00.000+0000","1246","Michel Ribeiro; Lukas Daneu",2016,3,19,"Brazil","Bahia","Una","Fragmento de floresta secundária inicial sobre área de platô, as margens da estrada, da porteira até sede da reserva. Reserva Biológica de Una",-39.059167,-15.196944,"15 cm de DAP. Tronco de casca fissurado, casca externa marrom-escura, marcadamente laminada, casca interna amarelo-clara, alburno amarelo-pálido. Copa com folhas novas, verde-claro. Raque e cálice verde-claros, pétalas brancas, capuz branco com apêndices amarelo-claros, filetes brancos e anteras beges. Outro indivíduo jovem a cerca de 5 m. Terceiro indivíduo (M.Ribeiro 1242, estéril; 7,5 m de alt. x 13 cm de DAP) a cerca de 1,5 km.","urn:catalog:JBRJ:RB:1121385",NA,"Lecythis marcgraaviana Miers",NA,NA,NA,NA,NA
"4","2016-06-23T13:37:03.000+0000","JBRJ","RB","RB01121392","Lecythis marcgraaviana Miers","Lecythidaceae","Lecythis","marcgraaviana","Miers","Michel Ribeiro","2016-03-19T00:00:00.000+0000","1254","Michel Ribeiro; Lukas Daneu",2016,3,19,"Brazil","Bahia","Uruçuca","Remanescente florestal conservado, dossel de cerca de 20 metros. Ao lado da rodovia. Propriedade particular. Área de Proteção Ambiental Serra Grande-Itacaré",-39.053333,-14.428056,"1,15 m de DAP. Tronco sem sapopemas, casca com fissuras de crista plana. Inflorescência: raque, receptáculo e cálice verde-claros, pétalas brancas, capuz branco com apêndices amarelo-claros. Partes florais e frutos passados coletadas no chão. RBcarpo 7892","urn:catalog:JBRJ:RB:1121392",NA,"Lecythis marcgraaviana Miers",NA,NA,NA,NA,NA
"5",NA,"UFPB","JPB","61415","Lecythis marcgraaviana Miers","Lecythidaceae","Lecythis","marcgraaviana","Miers","Ribeiro, M","2015-11-14T00:00:00.000+0000","4720","Nusbaumer, L; et al.",2015,10,30,"Brazil","Pernambuco","Jaqueira","Serra de Urubu, Localité de Jaqueira. Serra de Kengo.",-35.845614,-8.712412,"arbre, 25 m, 30 cm DBH; fl.au sol, blanches à ét. fertiles et stériles jaune pâle, très fines, les fleurs une fois au sol deviennent bleutées, fr. en ballon de rugby à couvercle, déhiscents, très dégradés; récolte photogr. in situ; r","BRA:UFPB:JPB:0000061415",NA,"Lecythis marcgraaviana Miers",NA,NA,NA,NA,NA
"6","2017-10-17T18:45:01.000+0000","JBRJ","RB","RB00907759","Lecythis marcgraaviana Miers","Lecythidaceae","Lecythis","marcgraaviana","Miers","M.RIBEIRO","2017-02-20T00:00:00.000+0000","973","Michel Ribeiro; Amélia Tuler, Augusto Giaretta, Tatiana Carrijo",2014,1,12,"Brazil","Espírito Santo","Conceição da Barra","Floresta Alta de Tabuleiro, km 4 da estrada interna. Reserva Biológica de Córrego Grande",-39.820278,-18.252778,"Árvore de dossel; 28 cm de DAP. Copa composta por folhas novas, verde claro, membranáceas. Tronco circular, de base reta, ritidoma com longas e profundas (1,5 cm) fissuras verticais de crista aguda, que se cruzam em forma de X. Casca externa laminada, marrom, mais espessa do que a interna; casca interna amarela clara. Botões verdes claro. Flores: cálice verde claro, carenada; corola carnosa, branca; anel estaminal e lígula branca; capuz amarelo claro; colar estilar. Flores coletadas no chão.","urn:catalog:JBRJ:RB:907759",NA,"Lecythis marcgraaviana Miers",NA,NA,NA,NA,NA
"7",NA,"NY","NY","02423468","Lecythis marcgraaviana Miers","Lecythidaceae","Lecythis","marcgraaviana","Miers","M. Ribeiro; S. A. Mori","2017-08-27T00:00:00.000+0000","973","M. Ribeiro",2014,1,12,"Brazil","EspÃ­rito Santo",NA,"Reserva BiolÃ³gica de CÃ³rrego Grande, km 4 da estrada interna",-39.8203,-18.2528,NA,"306c15a7-e326-4b86-a235-5c19215447cb",NA,"Lecythis marcgraaviana Miers",NA,NA,NA,NA,NA
"8","2017-10-08T14:56:16.000+0000","JBRJ","RB","RB00907786","Lecythis marcgraaviana Miers","Lecythidaceae","Lecythis","marcgraaviana","Miers","M.RIBEIRO","2017-02-20T00:00:00.000+0000","1138","Michel Ribeiro; Lucas A. Silva, Joelcio Freitas",2014,11,11,"Brazil","Espírito Santo","Conceição da Barra","km 4 da estrada interna. Mata Alta, Floresta de Tabuleiro. Solo argilo-arenoso com muita matéria. Reserva Biológica de Córrego Grande",-39.820278,-18.252778,"Arvore. Tronco fissurado; copa composta por folhas maduras. Fruto passado coletado no chão (mesmo indivíduo M. Ribeiro 973). Nenhum outro indivíduo a ca. de 30 m. RBcarpo 7789","urn:catalog:JBRJ:RB:907786",NA,"Lecythis marcgraaviana Miers",NA,NA,NA,NA,NA
"9",NA,"NY","NY","03231027","Lecythis marcgraaviana Miers","Lecythidaceae","Lecythis","marcgraaviana","Miers","M. Ribeiro","2017-01-01T00:00:00.000+0000","1775","B. S. Amorim",2013,1,31,"Brazil","Pernambuco",NA,"Jaqueira, RPPN Frei Caneca, Mata prÃ³xima a Pedra do Cruzeiro, borda da mata.",0,0,NA,"c91c62c4-99e7-4ec2-ab73-b0f135052f1a",NA,"Lecythis marcgraaviana Miers",NA,NA,NA,NA,NA
"11",NA,"UEFS","HUEFS","202548","Lecythis marcgraaviana Miers","Lecythidaceae","Lecythis","marcgraaviana","Miers",NA,NA,"1622","Popovkin, A.V.",2013,12,18,"Brazil","Bahia","Entre Rios","Algodão.",-37.966667,-12.166667,NA,"BRA:UEFS:HUEFS:0000202548",NA,"Lecythis marcgraaviana Miers",NA,NA,NA,NA,NA
