"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","modified","identificationQualifier","infraspecificEpithet","typeStatus","fieldNumber","comments","bibliographicCitation"
"1","UFRB","HURB",19495,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana","M.L.Guedes","2014-10-01T00:00:00.000+0000","22661","Guedes, M.L.; Borges, R.L.; Stadnik, A. & Sacramento, C.C.",2014,10,16,"Brazil","Bahia","Licinio de Almeida","Garimpo;",-42.526667,-14.536111,"ALCB 116857Flores: com papus cerdososs rosados; Hábito: árvore","BRA:UFRB:HURB:0000019495","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
"2","UFRB","HURB",19659,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana","M.L.Guedes","2014-10-01T00:00:00.000+0000","22661","Guedes, M.L.; Borges, R.L.; Stadnik, A. & Sacramento, C.C.",2014,10,16,"Brazil","Bahia","Licínio de Almeida","Garimpo;",-42.526667,-14.536111,"ALCB 116857Hábito: árvore","BRA:UFRB:HURB:0000019659","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
"3","UEFS","HUEFS",210983,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana",NA,NA,"311","Ogasawara, H.A.",2013,1,22,"Brazil","Bahia","Licínio de Almeida","Serra Geral. Garimpo dos Areiões.",-42.534722,-14.528333,NA,"BRA:UEFS:HUEFS:0000210983","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
"4","Universidade Federal da Bahia (UFBA)","ALCB",113421,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana","Roque, N; Santana, FA","2013-08-01T00:00:00.000+0000","208","Santana, FA; Oliveira, J",2013,8,28,"Brazil","Bahia","Licínio de Almeida","Cachoeira das Sete Quedas.",-42.533333,-14.516944,"ca. 3 m alt. Folhas discolores. Brácteas involucrais róseas. Corolas liláses.","BRA:UFBA:ALCB:0000113421","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
"5","UEFS","HUEFS",210982,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana",NA,NA,"3703","Roque, N.",2012,7,21,"Brazil","Bahia","Licínio de Almeida","Serra Geral. Garimpo das Ametistas.",-42.534722,-14.541389,"Sobre afloramento rochoso.","BRA:UEFS:HUEFS:0000210982","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
"6","UEFS","HUEFS",191119,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana","N.Roque","2014-05-01T00:00:00.000+0000","3809","Roque, N.",2012,10,27,"Brazil","Bahia","Licínio de Almeida","Serra Geral, Garimpo das Ametistas.",-42.534722,-14.528611,NA,"BRA:UEFS:HUEFS:0000191119","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
