"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","comments"
"1",NA,"Universidade Regional de Blumenau, FURB","FURB","60182","Piptocarpha regnellii (Sch.Bip.) Cabrera","Asteraceae","Piptocarpha","regnellii",NA,"(Sch.Bip.) Cabrera","Kassner-Filho, A.","2018-07-28T00:00:00.000+0000",NA,"3190",NA,"Kassner-Filho, A.",2018,7,28,"Brazil","Santa Catarina","Angelina",NA,-48.96,-27.54,NA,"BRA:FURB:FURB:0000060182",NA,"Piptocarpha regnellii (Sch.Bip.) Cabrera",NA,NA
"2",NA,"Universidade Regional de Blumenau, FURB","FURB","54373","Piptocarpha regnellii (Sch.Bip.) Cabrera","Asteraceae","Piptocarpha","regnellii",NA,"(Sch.Bip.) Cabrera","Farias, D.M.","2017-08-04T00:00:00.000+0000",NA,"693",NA,"Kassner-Filho, A.",2017,7,12,"Brazil","Santa Catarina","Rio Negrinho",NA,-49.590555,-26.459722,"botão floral","BRA:FURB:FURB:0000054373",NA,"Piptocarpha regnellii (Sch.Bip.) Cabrera",NA,NA
"3",NA,"Universidade Regional de Blumenau, FURB","FURB","54425","Piptocarpha regnellii (Sch.Bip.) Cabrera","Asteraceae","Piptocarpha","regnellii",NA,"(Sch.Bip.) Cabrera","Kassner-Filho, A.","2017-08-04T00:00:00.000+0000",NA,"755",NA,"Kassner-Filho, A.",2017,8,4,"Brazil","Santa Catarina","Santa Terezinha",NA,-49.949722,-26.64,NA,"BRA:FURB:FURB:0000054425",NA,"Piptocarpha regnellii (Sch.Bip.) Cabrera",NA,NA
"4",NA,"UNICAMP","UEC","190591","Piptocarpha regnellii (Sch.Bip.) Cabrera","Asteraceae","Piptocarpha","regnellii",NA,"(Sch.Bip.) Cabrera","Farias, D.M.","2017-02-01T00:00:00.000+0000",NA,"698",NA,"Uller, H.F.; et al.",2016,9,14,"Brazil","Santa Catarina","Bom Retiro","laranjeiras",-49.499722,-27.72,"árvore, botões florais verdes","BRA:UNICAMP:UEC:0000190591",NA,"Piptocarpha regnellii (Sch.Bip.) Cabrera",NA,NA
"6",NA,"Universidade Regional de Blumenau, FURB","FURB","51495","Piptocarpha regnellii (Sch.Bip.) Cabrera","Asteraceae","Piptocarpha","regnellii",NA,"(Sch.Bip.) Cabrera","Funez, L.A.","2016-10-03T00:00:00.000+0000",NA,"5548",NA,"Funez, L.A.",2016,9,24,"Brazil","Santa Catarina","Rodeio","Eremitério Frei Egídio.",-49.405,-26.880556,"Flores rosadas","BRA:FURB:FURB:0000051495",NA,"Piptocarpha regnellii (Sch.Bip.) Cabrera",NA,NA
"7",NA,"Universidade Regional de Blumenau, FURB","FURB","51459","Piptocarpha regnellii (Sch.Bip.) Cabrera","Asteraceae","Piptocarpha","regnellii",NA,"(Sch.Bip.) Cabrera",NA,NA,NA,"5512",NA,"Funez, L.A.",2016,9,12,"Brazil","Santa Catarina","Rodeio","Caminho para a Fazenda Cristal.",-49.42,-26.916111,"Flores lilacinas","BRA:FURB:FURB:0000051459",NA,"Piptocarpha regnellii (Sch.Bip.) Cabrera",NA,NA
"8","2018-06-28T16:40:33.000+0000","JBRJ","RB","RB01393981","Piptocarpha regnellii (Sch.Bip.) Cabrera","Asteraceae","Piptocarpha","regnellii",NA,"(Sch.Bip.) Cabrera","J.B.Bringel","2017-05-24T00:00:00.000+0000",NA,"3533",NA,"A.A.Oliveira",2016,10,10,"Brazil","Paraná","Guaratuba","Conglomerado: 509 Subunidade: 1 Subparcela: 6 Árvore: 38  UTM Fuso: 22J 7131580 S 704325  E",NA,NA,NA,"urn:catalog:JBRJ:RB:1393981",NA,"Piptocarpha regnellii (Sch.Bip.) Cabrera",NA,NA
"9",NA,"Universidade Regional de Blumenau, FURB","FURB","51708","Piptocarpha regnellii (Sch.Bip.) Cabrera","Asteraceae","Piptocarpha","regnellii",NA,"(Sch.Bip.) Cabrera","Maçaneiro, J.P.","2016-11-22T00:00:00.000+0000",NA,"94",NA,"Maçaneiro, J.P.",2016,11,22,"Brazil","Santa Catarina","Indaial","Faxinal do Bepe. Pastagem abandonada em estágio inicial de regeneração.",-49.195278,-27.112222,NA,"BRA:FURB:FURB:0000051708",NA,"Piptocarpha regnellii (Sch.Bip.) Cabrera",NA,NA
"10",NA,"Cenargen","CEN","104820","Piptocarpha regnellii (Sch.Bip.) Cabrera","Asteraceae","Piptocarpha","regnellii",NA,"(Sch.Bip.) Cabrera","J. P. Maçaneiro",NA,NA,"94",NA,"João Paulo de Maçaneiro",2016,11,22,"Brazil","Sc","INDAIAL","Parque Nacional da Serra do Itajaí. Elev. 680-700m.",-49.195277,-27.112222,"Faxinal do Bepe. Pastagem abandonada em regeneração. Doação Herbário da Universidade de Blumenau - Dr. Roberto Miguel Klein - FURB 51708.","BRA:Cenargen:CEN:0000104820",NA,"Piptocarpha regnellii (Sch.Bip.) Cabrera",NA,NA
"11",NA,"Universidade Regional de Blumenau, FURB","FURB","45629","Piptocarpha regnellii (Sch.Bip.) Cabrera","Asteraceae","Piptocarpha","regnellii",NA,"(Sch.Bip.) Cabrera","Oliveira, AA de","2015-02-05T00:00:00.000+0000",NA,"1049",NA,"Oliveira, A.A. de",2015,2,5,"Brazil","Santa Catarina","Leoberto Leal","Rio do Meio.",-49.316667,-27.5375,"Fito IFFSC 345 /L/77","BRA:FURB:FURB:0000045629",NA,"Piptocarpha regnellii (Sch.Bip.) Cabrera",NA,NA
