"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","modified","identificationQualifier","infraspecificEpithet","typeStatus","fieldNumber","comments","bibliographicCitation"
"1","UESC","UESC",19922,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana",NA,NA,"801","Alves, L.J.",2014,8,3,"Brazil","Bahia","Caetite",NA,-42.535556,-14.0875,"Região de Campo rupestre Cerrado.; Arvoreta de aproximadamente 2 m. Tronco com ritidoma, presença de epífitas (Tilandsia) e líquens folhosos.","BRA:UESC:UESC:0000019922","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
"2","Universidade Federal da Bahia (UFBA)","ALCB",115483,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana","Roque, N","2014-08-01T00:00:00.000+0000","4408","Roque, N; Guedes, ML; Gandara, A; Campos, L",2014,8,6,"Brazil","Bahia","Licínio de Almeida","Serra geral, trilha Riacho Fundo.",-42.54,-14.586944,"ca. 3 m de altura, folhas discolores, brácteas involucrais roxas, capítulos ainda fechados.","BRA:UFBA:ALCB:0000115483","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
"3","Universidade Federal da Bahia (UFBA)","ALCB",116832,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana","Guedes, ML","2014-10-01T00:00:00.000+0000","22637","Guedes, ML; Borges, RL; Stadnik, A; Sacramento, CC",2014,10,16,"Brazil","Bahia","Licínio de Almeida","Caminho para Riacho Fundo.",-42.526389,-14.583333,"de ca 3 m de altura. Folhas discolores, face abaxial tomentosa. Inflorescência capítulos subsésseis, filárias em várias séries , flores com papus cerdosos rosados.","BRA:UFBA:ALCB:0000116832","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
"4","Universidade Federal da Bahia (UFBA)","ALCB",116857,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana","Guedes, ML","2014-10-01T00:00:00.000+0000","22661","Guedes, ML; Borges, RL; Stadnik, A; Sacramento, CC",2014,10,16,"Brazil","Bahia","Licínio de Almeida","Garimpo.",-42.526667,-14.536111,"de ca 3 m de altura. Folhas discolores, face abaxial tomentosa. Inflorescência capítulos subsésseis, filárias em várias séries , flores com papus cerdosos rosados.","BRA:UFBA:ALCB:0000116857","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
"7","Universidade Federal da Bahia (UFBA)","ALCB",106551,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana","Roque, N; Santana, FA","2013-02-01T00:00:00.000+0000","311","Ogasawara, HA; Hurbath, F; Lopes, R; Stadnik, A",2013,1,22,"Brazil","Bahia","Licínio de Almeida","Serra Geral, Garimpo das Ametistas",-42.534722,-14.528333,"ca. 3m alt. Folhas discolores; ramos com indumento velutino gríseo; capítulos passados.","BRA:UFBA:ALCB:0000106551","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
"9","UEFS","HUEFS",210981,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana",NA,NA,"208","Santana, F.A.",2013,8,28,"Brazil","Bahia","Licínio de Almeida","Cachoeira das Sete Quedas.",-42.533333,-14.516944,"Cerrado.","BRA:UEFS:HUEFS:0000210981","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
"11","Universidade Federal da Bahia (UFBA)","ALCB",110695,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana","Roque, N","2013-10-01T00:00:00.000+0000","s/n","Alves, L. de J.",2013,10,19,"Brazil","Bahia","Caetité","Trilha Toda Boa.",-42.465,-14.14,"a arboreta, ca. 1,5 a 2m de altura. Folhas discolores, face abaxial alva. Inflorescências passadas com coloração vinácea.; Ocorre com granulometria grossa em áreas bastante exploradas como jazidas clandestinas de areia grossa.","BRA:UFBA:ALCB:0000110695","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
"12","Universidade Federal de Minas Gerais (UFMG)","BHCB",155313,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana",NA,"2015-06-01T00:00:00.000+0000","425","Saiter, FZ; Souza, JF; Moreira, SN; Teixeira, CT; Stehmann, JR",2012,3,20,"Brazil","Minas Gerais","Rio Pardo de Minas","Parque Estadual de Serra Nova, Trilha Areinha - Açude",-42.735,-15.651389,NA,"BRA:UFMG:BHCB:0000155313","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
"13","Universidade Federal da Bahia (UFBA)","ALCB",113420,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana","Roque, N; Santana, FA","2012-07-01T00:00:00.000+0000","3703","Roque, N; Santana, FA; Borges, RL; Stadnik, A; Oliveira, GR de",2012,7,21,"Brazil","Bahia","Licínio de Almeida","Serra Geral. Garimpo das Ametistas.",-42.534722,-14.541389,"ca. 3 m alt. Folhas discolores. Capítulos imaturos.; sobre afloramento rochoso.","BRA:UFBA:ALCB:0000113420","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
"15","Universidade Federal da Bahia (UFBA)","ALCB",114250,"Anteremanthus piranii Roque & F.A.Santana","Asteraceae","Anteremanthus","piranii","Roque & F.A.Santana","Roque, N; Santana, FA","2012-10-01T00:00:00.000+0000","3809","Roque, N; Stadnik, A; Hurbath, F; Oliveira, GR de",2012,10,27,"Brazil","Bahia","Licínio de Almeida","Serra Geral, Garimpo das Ametistas.",-42.534722,-14.528611,"ca. 4 m altura. Folhas discolores, face abaxial glauca. Capítulos passados, pápus róseo-estramíneo.","BRA:UFBA:ALCB:0000114250","Anteremanthus piranii Roque & F.A.Santana",NA,NA,NA,NA,NA,NA,NA
