"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments"
"33",NA,"UCS","HUCS","06143","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Hatschbach, G.","1989-01-01T00:00:00.000+0000",NA,"27",NA,"Ribas, O.S.; Hatschbach, G.",1989,1,22,"Brazil","Paraná","Antonina","Reserva Biológica de Sapintanduva",0,0,"árvoe 10-15 m - flores amarelas; mata pluvial","BRA:UCS:HUCS:0000006143",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"34",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA016487","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Hatschbach, G.","1989-01-01T00:00:00.000+0000",NA,"27",NA,"Ribas, O.S. ; Hatschbach, G.",1989,1,22,"Brazil","Paraná","Antonina",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA016487",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"35",NA,"Universidade Estadual de Londrina, UEL","FUEL","9220","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Hatschbach, G","1989-01-01T00:00:00.000+0000",NA,"27",NA,"Ribas, OS; Hatschbach, G",1989,1,22,"Brazil","Paraná","Antonina","Res. Biol. de Sapiranduva",0,0,"Arvore 10-15m, flores amarelas. Mata pluvial.","BRA:UEL:FUEL:0000009220",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"36",NA,"IPA","IPA","52653","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Hatschbach, G.","1989-01-01T00:00:00.000+0000",NA,"27",NA,"Ribas, O.S.; Hatschbach, G.; Hatschbach, G.",1989,1,22,"Brazil","Paraná","Antonina","Reserva Biológica de Sapitanduva",0,0,"Árvore 10-15m, flores amarelas.","BRA:IPA:IPA:0000052653",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"37",NA,"UEM","HUEM","2944","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","R. Negrelle","1987-01-01T00:00:00.000+0000",NA,"67",NA,"Negrelli; Cervi; Acra",1986,4,17,"Brazil","Paraná","Antonina","Reserva Biológica de Sapitanduva",0,0,"Árvore com aproximadamente 1,20 m. de altura; flores de coloração amarela","BRA:UEM:HUEM:0000002944",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"38",NA,"Universidade Federal do Paraná, UFPR","EFC","1075","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Roderjan, C.V.","1986-12-05T00:00:00.000+0000",NA,"592",NA,"Roderjan, C.V.; Kuniyoshi, Y.S.",1986,12,5,"Brazil","Paraná","Antonina",NA,NA,NA,"Frequente em morros com vegetação secundária. Plena frutificação. __COMMOM_NAME__: Guaricica","BRA:UFPR:EFC:0000001075",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"39",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA004797","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Catharino, E.L.M.","1986-04-18T00:00:00.000+0000",NA,"555",NA,"Catharino, E.L.M. ; Jaramillo, C.B.J.",1985,12,11,"Brazil","São Paulo","Iguape",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA004797",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"40",NA,"UEFS","HUEFS","5054","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","M.C.Vianna","2000-12-01T00:00:00.000+0000",NA,"46041",NA,"Hatschbach, G.",1983,1,19,"Brazil","Paraná","Morretes",NA,NA,NA,NA,"BRA:UEFS:HUEFS:0000005054",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"41",NA,"MBM","MBM","80343","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Hatschbach, G",NA,NA,"46041",NA,"Hatschbach, G",1983,1,19,"Brazil","Paraná","Morretes","Colônia Limeira",0,0,NA,"BRA:MBM:MBM:0000080343",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"42",NA,"UFPR","UPCB","12893","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Hatschbach, G.","1983-04-01T00:00:00.000+0000",NA,"4615",NA,"Kuniyoshi, Y.S.",1983,2,3,"Brazil","Paraná","Antonina","Arredores",NA,NA,"Árvore, flor amarela. Frequentemente nas encostas de morros..","BRA:UFPR:UPCB:0000012893",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"43",NA,"WU","Herbarium WU","8336","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Kuniyoski 1983",NA,NA,NA,NA,"Roderjan,C.V. 123",1983,2,1,"Brazil",NA,NA,"Antonina, arredores.",NA,NA,NA,NA,NA,"Vochysia bifalcata Warm.",NA,NA,NA
"44",NA,"Universidade Federal do Paraná, UFPR","EFC","163","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Kuniyoshi, Y.S.","1983-02-01T00:00:00.000+0000",NA,"123",NA,"Roderjan, C.V.",1983,2,1,"Brazil","Paraná","Antonina",NA,NA,NA,"__COMMOM_NAME__: Guaricica","BRA:UFPR:EFC:0000000163",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"45",NA,"MBM","MBM","348504","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Kuniyoshi, YS","1983-05-18T00:00:00.000+0000",NA,"29",NA,"Pizani, AJ; Kuniyoshi, YS",1983,5,18,"Brazil","Paraná","Morretes","Morretes",0,0,"Floresta pluvial atlântica de planície litorânea.","BRA:MBM:MBM:0000348504",NA,"Vochysia bifalcata Warm.",NA,NA,NA
