"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","comments","bibliographicCitation","acceptedNameUsage"
"1","","","CEN","103978","Vochysia gardneri Warm.","","Vochysiaceae","Vochysia","gardneri","","Warm.","G. H. Shimizu","","","85","","Rômullo Quirino de Souza Ferreira","2017","6","2","brazil","To","MIRACEMA DO TOCANTINS","Conglomerado: TO-267. Subunidade 2, subparcela 4, indivíduo 19.","-48.42","-9.72","Inventário Florestal Nacional (IFN). Árvore com 5,7 m de altura, e 12,9 cm de DAP, base reta. Fuste de casca externa fina, do tipo lisa, cor cinza, casca interna amarela.","","original coordinates","GBIF","Vochysia gardneri Warm."
"2","","","CEN","102649","Vochysia gardneri Warm.","","Vochysiaceae","Vochysia","gardneri","","Warm.","L. M. Brauner","","","452","","Natália Rodrigues Bijos","2017","7","9","brazil","To","PONTE ALTA DO BOM JESUS","Conglomerado: TO-608. Subunidade 2, subparcela 6, indivíduo 12.","-46.8","-12.24","Projeto Inventário Florestal Nacional (IFN). Árvore com 5,2 m de altura e 14,1 cm de DAP, base reta. Fuste de casca externa grossa, do tipo rugosa e de cor cinza.","","original coordinates","GBIF","Vochysia gardneri Warm."
"3","","","CEN","103765","Vochysia gardneri Warm.","","Vochysiaceae","Vochysia","gardneri","","Warm.","G. H. Shimizu","","","367","","Teddy. D. R. Terra","2017","7","5","brazil","To","FORTALEZA DO TABOCAO","Conglomerado: TO-194. Subunidade 1, subparcela 10, indivíduo 8 RN.","-48.42","-9","Projeto Inventário Florestal Nacional (IFN). Árvore com 12,5 m de altura, base reta.","","original coordinates","GBIF","Vochysia gardneri Warm."
"4","","","CEN","103981","Vochysia gardneri Warm.","","Vochysiaceae","Vochysia","gardneri","","Warm.","G. H. Shimizu","","","393","","Rômullo Quirino de Souza Ferreira","2017","8","8","brazil","To","LIZARDA","Conglomerado: TO-257. Subunidade 1, subparcela 1, indivíduo 2.","-46.62","-9.54","Inventário Florestal Nacional (IFN). Arbusto com 3 m de altura. Fruto imaturo, forma elipsoide, 3 cm de dimensão, cor interna branca, consistência externa seca, possui arilo.","","original coordinates","GBIF","Vochysia gardneri Warm."
"5","","","CEN","103968","Vochysia gardneri Warm.","","Vochysiaceae","Vochysia","gardneri","","Warm.","G. H. Shimizu","","","3461","","Luiz Aquino Silva Santos","2017","8","22","brazil","To","TUPIRATINS","Conglomerado:TO-150. Subunidade 1, subparcela 1, indivíduo 1.","-48.96","-10.44","Inventário Florestal Nacional (IFN). Árvore com 3,8 m de altura, 5,3 cm de DAP, base reta. Fruto imaturo, 7 cm de dimensão, forma de fuso, consistência externa seca, possui arilo. Exsudato tipoaquoso,","","original coordinates","GBIF","Vochysia gardneri Warm."
"6","","","HUTO","7132","Vochysia gardneri Warm.","","Vochysiaceae","Vochysia","gardneri","","Warm.","","","","128","","Lemos, H.L.","2017","8","22","brazil","Tocantins","Pindorama do Tocantins","Bacia do rio Tocantins. Sub-bacia do rio Bagagem","-47.571944","-11.290278","Árvore com cerca de 3,50 m de altura. Frutos verdes.; Cerrado rupestre.","","original coordinates","GBIF","Vochysia gardneri Warm."
"7","","","HUTO","7154","Vochysia gardneri Warm.","","Vochysiaceae","Vochysia","gardneri","","Warm.","","","","150","","Lemos, H.L.","2017","8","23","brazil","Tocantins","Almas","Bacia do rio Tocantins. Sub-bacia do rio do Peixe","-47.390833","-11.363056","Árvore com cerca de 6 m de altura. Frutos imaturos verdes.; Cerrado denso.","","original coordinates","GBIF","Vochysia gardneri Warm."
"8","","","SPF","220753","Vochysia gardneri Warm.","","Vochysiaceae","Vochysia","gardneri","","Warm.","Shimizu, GH","2015-02-01","","758","","Antar, GM","2015","1","31","brazil","Tocantins","Mateiros","Próximo à comunidade do Rio Novo.","-46.762361","-10.555278","Arbusto muito ramificado ca. 1,7 m alt. Flores amarelas.; Cerrado sensu stricto. Solo arenoso seco.","","original coordinates","GBIF","Vochysia gardneri Warm."
"9","","","HUEFS","216589","Vochysia gardneri Warm.","","Vochysiaceae","Vochysia","gardneri","","Warm.","","","","13085","","Melo, E.","2015","6","5","brazil","Bahia","Formosa do Rio Preto","Em direção a Coaceral, estrada de terra ramal à direita.","-45.568333","-10.546944","","","original coordinates","GBIF","Vochysia gardneri Warm."
"10","","","CEN","97549","Vochysia gardneri Warm.","","Vochysiaceae","Vochysia","gardneri","","Warm.","B. M. T. Walter","","","5381","","Anderson Cássio Sevilha","2015","10","19","brazil","Ma","CAROLINA","Parque Nacional Chapada das Mesas. Sítio Buenos Aires. Ponto 4 de coleta. Face de exposição norte..","-47.352777","-6.956944","","","original coordinates","GBIF","Vochysia gardneri Warm."
