"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"UNEMAT","HERBAM","3693","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu",NA,"2010-05-09T00:00:00.000+0000",NA,"2784",NA,"Soares, CRA; Rodrigues, L; Cabral, FF; Piva, JH",2010,5,9,"Brazil","Mato Grosso","Paranaíta","Corredeira do macaco, Rio Teles Pires, margem direita. Habitat aluvial.",-57.036667,-9.201889,"Projeto Flora Mantega; Àrvore com folhas de cor discolor de consistência coriácea. Fruto carnoso, indeiscente de formato oval. Resina escura em volta da semente.","BRA:UNEMAT:HERBAM:0000003693","Qualea megalocarpa Stafleu"
"2",NA,"UNICAMP","UEC","152132","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","Shimizu, G.H.","2008-04-01T00:00:00.000+0000",NA,"67",NA,"Bosquete, L.B.; Pereira, O.L.; Lopes, M.M.M.; Paixão, C.M.S.",2003,2,19,"Brazil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce",0,0,"Àrvore de 25m com flores secas ou murchas e frutos imaturos. Segundo dizem morcego poliniza estas flores.","BRA:UNICAMP:UEC:0000152132","Qualea megalocarpa Stafleu"
"3",NA,"UEFS","HUEFS","79292","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","D.J.P.Gonçalves & G.H.Shimizu","2014-07-01T00:00:00.000+0000",NA,"406",NA,"França, G.S.",2003,6,3,"Brazil","Minas Gerais","Dionísio","Morro do Gavião.",-42.551944,-19.834167,NA,"BRA:UEFS:HUEFS:0000079292","Qualea megalocarpa Stafleu"
"4",NA,"Instituto Plantarum de Estudos da Flora Ltda (HPL)","HPL","8735","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","E.R. Salviani & H. Lorenzi","2000-11-23T00:00:00.000+0000",NA,"1815",NA,"E.R. Salviani & H. Lorenzi",2000,11,21,"Brazil","Es","São Gabriel da Palha","Coletado na Fazenda Dona Zeni.",NA,NA,NA,"BRA:JBP:HPL:0000008735","Qualea megalocarpa Stafleu"
"5",NA,"Instituto Plantarum de Estudos da Flora Ltda (HPL)","HPL","8736","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu",NA,NA,NA,"147",NA,"E. R. Salviani",1998,7,23,"Brazil","Es","São Gabriel da Palha","Coletado no Sítio Cobra.",NA,NA,NA,"BRA:JBP:HPL:0000008736","Qualea megalocarpa Stafleu"
"6",NA,"UNICAMP","UEC","155597","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","Mori, S.","1992-06-30T00:00:00.000+0000",NA,"1497",NA,"Folli, D.A.",1991,1,20,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, Mata de Tabuleiro. Estrada: Orelha de Macaco.",0,0,"Porte: Arbóreo&nf;Forme de vida: Terrrestre&nf;Cor botão: Verde escuro&nf;Cor flor: Branco&nf;Cor fruto exsudação: Incolor&nf;Descamação: Em ripas&nf;Forma fuste: Cilíndrico&nf;Superficie casca: Aspéra&nf;Altura total (m): 21,00&nf;Altura fuste (m): 11,","BRA:UNICAMP:UEC:0000155597","Qualea megalocarpa Stafleu"
"7",NA,"NY","NY","424495","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","S. A. Mori","1992-01-01T00:00:00.000+0000",NA,"1494",NA,"D. A. Folli",1991,11,20,"Brazil","EspÃ­rito Santo",NA,"Reserva Florestal da CVRD.  Est. ORELHA DE MACACO, km 1,150",-40.071853011446,-19.3949002236543,NA,"8ac7d163-441f-42d8-a1ce-71c020785720","Qualea megalocarpa Stafleu"
"8",NA,"UNICAMP","UEC","64697","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","Shimizu, G.H.","2011-10-01T00:00:00.000+0000",NA,"1494",NA,"Folli, D.A.",1991,11,20,"Brazil","Espírito Santo","Linhares","Reserva Florestal da C.V.R.D., Estrada Orelha de Onça, Km 1,150.",0,0,"Árvore em floresta alta, +/- 20m de altura e fuste de +/- 11m, DAP 38,2cm, diâm. da copa +/-8m.&nf;Com flor branca e botão verde-escuro. Fuste cilíndrico e casca áspera.","BRA:UNICAMP:UEC:0000064697","Qualea megalocarpa Stafleu"
"10",NA,"Reserva Natural Vale (CVRD)","CVRD","2969","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","Marcos de Souza Menandro","1990-11-22T00:00:00.000+0000",NA,"1237",NA,"Folli, D.A.",1990,11,22,"Brazil","Es","LINHARES","Próximo à quadra do Louro com Jequitibá rosa.",NA,NA,"<ll>dwc_commonname:</ll> Pequí preto","BRA:CVRD:CVRD:0000002969","Qualea megalocarpa Stafleu"
"11",NA,"UNICAMP","UEC","62897","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","Shimizu, G.H.","2017-03-01T00:00:00.000+0000",NA,"895",NA,"Lopes, M.A.",1986,5,7,"Brazil","Minas Gerais","Caratinga","Estação Biológica Caratinga",0,0,"Arbóreo. Com frutos verdes.; Mata Atlântica","BRA:UNICAMP:UEC:0000062897","Qualea megalocarpa Stafleu"
"12",NA,"NY","NY","1921149","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu",NA,NA,NA,"30/78",NA,"J. Spada",1978,1,24,"Brazil","EspÃ­rito Santo",NA,"Reserva Florestal da CVRD.  Est. ORELHA DE ONÃA, ant. 143-A6, km 0,33, talhao 601, lado dir",-40.071853011446,-19.3949002236543,NA,"a064b411-c662-4922-90ed-45ec96c19aed","Qualea megalocarpa Stafleu"
"13",NA,"Reserva Natural Vale (CVRD)","CVRD","147","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","Maria Lúcia Kawasaki","1990-08-04T00:00:00.000+0000",NA,"30",NA,"Spada, J.",1978,1,24,"Brazil","Es","LINHARES","Talhão 601. Próximo do 1º valão, 50m. Em frente a um Molembá.",NA,NA,"<ll>dwc_commonname:</ll> Pequí preto","BRA:CVRD:CVRD:0000000147","Qualea megalocarpa Stafleu"
"14","2015-12-10T15:05:13.000+0000","JBRJ","RB","RB00563139","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","M.C.Vianna","2002-01-01T00:00:00.000+0000",NA,"30/78",NA,"J.S.",1978,1,24,"Brazil","Espírito Santo","Linhares","Estrada Orelha-de-Onça,ant.143A6,Km0,0330,T.601,lado direito. Reserva Florestal C.V.R.D",NA,NA,"Árvore em Floresta Alta,+ou-20m de altura e fuste de +ou-15m,DAP 50cm,da copa +ou-11m.Com flor branca de base interna amarela,botão verde.Fuste cilíndrico e casca superficialmente sulcada.","urn:catalog:JBRJ:RB:563139","Qualea megalocarpa Stafleu"
"16",NA,"NY","NY","424499","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","M. L. Kawasaki","1990-01-01T00:00:00.000+0000",NA,"3078",NA,"J. Spada",1978,NA,NA,"Brazil","EspÃ­rito Santo",NA,"Reserva Florestal da CVRD.  Est. ORELHA DE ONÃA, ant. 143-A6, km 0,330, talhao 601, lado dir",-40.071853011446,-19.3949002236543,NA,"52ff0467-dd67-497f-b44a-cfaead91a2a4","Qualea megalocarpa Stafleu"
"17",NA,"NY","NY","424584","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu",NA,NA,NA,"27/77",NA,"J. Spada",1977,11,30,"Brazil","EspÃ­rito Santo",NA,"Reserva Florestal CVRD, estr. Louro, ant. 352, talhao 503, B-1-6-I, sitio 2",-40.071853011446,-19.3949002236543,NA,"4831feef-5f80-46ec-8838-e9040c41b118","Qualea megalocarpa Stafleu"
"20","2009-07-07T18:50:49.000+0000","JBRJ","RB","RB00563146","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","M.C.Vianna","2002-01-01T00:00:00.000+0000",NA,"27/77",NA,"J.S.",1977,11,30,"Brazil","Espírito Santo","Linhares","Estrada Louro ant.351,talhão 503,B-1-6-I,Sitio 2. Reserva Florestal C.V.R.D",NA,NA,"Árvore em Floresta Alta,+ou-28m de altura e fuste de +ou-18m,DAP 63cm,da copa +ou-13m.Com flor branca e botão verde claro.Fuste cilíndrico e casca super sulcada.","urn:catalog:JBRJ:RB:563146","Qualea megalocarpa Stafleu"
"21",NA,"Reserva Natural Vale (CVRD)","CVRD","116","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","Schott Mori","1992-06-30T00:00:00.000+0000",NA,"27",NA,"Spada, J.",1977,11,30,"Brazil","Es","LINHARES","Talhão 503. Lado esquerdo do B.1-6-1, Sítio 2. Próxima a Jataipeba, Angico branco, Tambor e Paineira",NA,NA,"<ll>dwc_commonname:</ll> Pequí preto","BRA:CVRD:CVRD:0000000116","Qualea megalocarpa Stafleu"
"23","2009-07-07T18:03:51.000+0000","JBRJ","RB","RB00563135","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","M.C.Vianna","2002-01-01T00:00:00.000+0000",NA,"149",NA,"J.Spada",1973,1,20,"Brazil","Espírito Santo","Espírito Santo","C.V.R.D.Proximo Estrada 143 Talhão 601. Reserva Florestal de Linhares",NA,NA,"Árvore com +ou-24 m de alturacom fuste de +ou-13m de altura,crescendo em mata de tabuleiro com flor amarelada e botão floral Aplicação:Caibros,ripas,tabuase etc.","urn:catalog:JBRJ:RB:563135","Qualea megalocarpa Stafleu"
"24","2009-07-08T12:29:55.000+0000","JBRJ","RB","RB00563186","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","M.C.Vianna","2002-01-01T00:00:00.000+0000",NA,"211",NA,"J.Spada",1973,2,24,"Brazil","Espírito Santo","Linhares","Próximo a Estrada 154 Talhão 507. Reserva Florestal C.V.R.D",NA,NA,"Árvore com +ou-24m de altura com fuste de +ou-15 m de altura.Crescendo em mata de tabuleiro,flor amarela e botão floral verde.Aplicação:tabuas,dormentes.","urn:catalog:JBRJ:RB:563186","Qualea megalocarpa Stafleu"
"25",NA,"NY","NY","424498","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","M. L. Kawasaki","1990-01-01T00:00:00.000+0000",NA,"19773",NA,"J. Spada",1973,2,16,"Brazil","EspÃ­rito Santo",NA,"Reserva Florestal da CVRD.  Est. FLAMENGO, ant. X-1, km 14,510, lado direito",-40.071853011446,-19.3949002236543,NA,"6428fe3d-bed9-4065-8239-e7a1e03b21e0","Qualea megalocarpa Stafleu"
"26","2009-07-08T12:20:11.000+0000","JBRJ","RB","RB00563184","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu","M.C.Vianna","2002-01-01T00:00:00.000+0000",NA,"197",NA,"J.Spada",1973,2,16,"Brazil","Espírito Santo","Linhares","Próximo a EStrada X-1 Talhão 407. Reserva Florestal C.V.R.D",NA,NA,"Árvore com +ou- 24 m de altura com fuste de +ou-16 m de altura.Crescendo em mata de tabuleiro com flor branca e botão floral verde claro.Apicação:dormente.","urn:catalog:JBRJ:RB:563184","Qualea megalocarpa Stafleu"
"27",NA,"Reserva Natural Vale (CVRD)","CVRD","276","Qualea megalocarpa Stafleu","Vochysiaceae","Qualea","megalocarpa","Stafleu",NA,NA,NA,"197",NA,"Spada, J.",1973,2,16,"Brazil","Es","LINHARES","Próxima a um Arixixá",NA,NA,"<ll>dwc_commonname:</ll> Pequí preto","BRA:CVRD:CVRD:0000000276","Qualea megalocarpa Stafleu"
