"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"30","2017-10-04T12:50:08.000+0000","JBRJ","RB","RB00477324","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","H.C.LIMA E F.NEGREIROS",NA,NA,"1847",NA,"S.J. Silva Neto; et al",2003,9,6,"Brazil","Rio de Janeiro","Itatiaia","Mata próximo a margem do Rio Campo Belo, onde atravessa para a parcela. Parque Nacional de Itatiaia",NA,NA,"Árvore ciófila ca. 22 m de altura; folhas discolores cartáceas; frutos imaturos verdes.","urn:catalog:JBRJ:RB:477324",NA,"Vochysia laurifolia Warm."
"31",NA,"Universidade Federal do Ceará, UFC","EAC","32182","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Vianna, M.C.","2002-01-04T00:00:00.000+0000",NA,"1942",NA,"Oliveira, C.A.L.",2002,1,4,"Brazil","Rio de Janeiro",NA,"Alto da Boa Vista, estrada da Vista Chinesa, à 200",0,0,"Árvore, ca. 22m; flor amarela.","BRA:UFC:EAC:0000032182",NA,"Vochysia laurifolia Warm."
"32","2017-10-13T18:24:24.000+0000","JBRJ","RB","RB00346776","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","H.C.LIMA","2015-11-23T00:00:00.000+0000",NA,"5917",NA,"H. C. de Lima; S. J. Silva Neto, L. Sylvestre & W. da Silva",2001,11,13,"Brazil","Rio de Janeiro","Nova Iguaçu","Estrada do Ouro, 4,7 km da sede. REBIO do Tinguá",-43.464444,-22.576111,"Árvore com 18 m de altura. Tronco com casca lisa e pardacenta, DAP ca. 50 cm. Flores amarelas. Frequente.","urn:catalog:JBRJ:RB:346776",NA,"Vochysia laurifolia Warm."
"33",NA,"NY","NY","1921150","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.",NA,NA,NA,"228",NA,"M. Spolidoro",2000,8,15,"Brazil","Rio de Janeiro",NA,"Distrito de BarÃ£o de JuparanÃ£. Fazenda Santa Monica. Alto do Baeta.",-43.72,-22.35,NA,"cdb08f47-28ed-4f55-8b9f-fecd72737976",NA,"Vochysia laurifolia Warm."
"34",NA,"UEFS","HUEFS","52446","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","D.J.P.Gonçalves & G.H.Shimizu","2014-07-01T00:00:00.000+0000",NA,"406",NA,"Nascimento, F.H.F.",2000,12,5,"Brazil","Bahia","Rio do Pires","Pedra Lisa Campo do Cigano. Mata do Cigano.",-41.924722,-13.261944,"Mata ombrófila montana.","BRA:UEFS:HUEFS:0000052446",NA,"Vochysia laurifolia Warm."
"35",NA,"NY","NY","1921145","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.",NA,NA,NA,"6",NA,"C. E. F. Araujo",1999,10,21,"Brazil","Rio de Janeiro",NA,"Parque Nacional da Tijuca. Museu do AÃ§ude.",0,0,NA,"668a1262-9fa6-47e6-927b-605f5d585fe4",NA,"Vochysia laurifolia Warm."
"36",NA,"UEFS","HUEFS","44096","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","D.J.P.Gonçalves & G.H.Shimizu","2014-07-01T00:00:00.000+0000",NA,"273",NA,"Nascimento, F.H.F.",1999,10,18,"Brazil","Bahia","Rio de Contas","Caiambola Fazenda Camburu, trilha Camburu-pico Itobira.",-41.866667,-13.5,"Mata ciliar antropizada.","BRA:UEFS:HUEFS:0000044096",NA,"Vochysia laurifolia Warm."
"37",NA,"MBM","MBM","276122","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.",NA,NA,NA,"273",NA,"Nascimento, FHF",1999,10,NA,"Brazil","Bahia","Rio de Contas","Fazenda Camburu",0,0,NA,"BRA:MBM:MBM:0000276122",NA,"Vochysia laurifolia Warm."
"38",NA,"MBM","MBM","276123","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.",NA,NA,NA,"300",NA,"Nascimento, FHF",1999,11,21,"Brazil","Bahia","Rio de Contas","Rio Camburu",0,0,NA,"BRA:MBM:MBM:0000276123",NA,"Vochysia laurifolia Warm."
"39",NA,"UEFS","HUEFS","44123","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","D.J.P.Gonçalves & G.H.Shimizu","2014-07-01T00:00:00.000+0000",NA,"300",NA,"Nascimento, F.H.F.",1999,11,21,"Brazil","Bahia","Rio de Contas","Caiambola Fazenda Camburu, margem do rio do Camburu.",-41.866667,-13.5,"Mata ciliar antropizada.","BRA:UEFS:HUEFS:0000044123",NA,"Vochysia laurifolia Warm."
