"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","municipality","comments","bibliographicCitation"
"1",NA,NA,"Botany","U  0007104","Erisma lanceolatum Stafleu","Vochysiaceae","Erisma","lanceolatum","Stafleu","Shimizu GH","2012-10-01T00:00:00.000+0000","ISOTYPE",NA,NA,"Lemos Fróes R de",1948,12,18,"Brazil","Amazonas","Estado do AmazonasRio Solimoes; Igarapé Belém.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200007104","Erisma lanceolatum Stafleu",NA,NA,NA,NA,NA
"2","2010-08-16T16:11:21.000+0000","Harvard University","A","barcode-00045204","Erisma lanceolatum Stafleu","Vochysiaceae","Erisma","lanceolatum","Stafleu",NA,NA,"HOLOTYPE","12527/221","12527/221","B. A. Krukoff",1942,4,27,"Brazil","Amazonas","Rio Castanha",NA,NA,NA,NA,"Erisma lanceolatum Stafleu",NA,NA,NA,NA,NA
