"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1","2016-07-13T00:00:00.000+0000","Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","50297","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke","Gonsalves, D.J.P.","2016-06-01T00:00:00.000+0000",NA,"15",NA,"Guerrero, C.",2001,12,15,"Colombia","Putumayo",NA,"serranía de Los Churumbelos, sector comprendido entre la bocana del río Ponchayaco a 600 msnm, hasta las cabeceras a 1250 msnm, vda. bajo Afán, vegetación de potreros, bosque intervenido y borde de camino.",-76.63056,1.16625,"Ejemplar botánico","SINCHI:COAH:50297","Vochysia pachyantha Ducke"
"2",NA,"Pontificia Universidad Javeriana (PUJ)","HPUJ","7751","Vochysia pachyantha Ducke","aff. pachyantha","Vochysiaceae","Vochysia","pachyantha","Ducke","Jiménez L.C.",NA,NA,"10",NA,"Aislant L. M.",1996,3,18,"Colombia","Putumayo","Vereda San José del Pepino","Centro Experimental Amazonico",-76.626565,1.082625,NA,"PUJ:HPUJ:007751","Vochysia pachyantha Ducke"
"3",NA,"Pontificia Universidad Javeriana (PUJ)","HPUJ","14344","Vochysia pachyantha Ducke","aff. pachyantha","Vochysiaceae","Vochysia","pachyantha","Ducke","Jiménez L.C.",NA,NA,"10",NA,"Aislant L. M.",1996,3,18,"Colombia","Putumayo","Vereda San José del Pepino","Centro Experimental Amazonico",-76.63221,1.082009,NA,"PUJ:HPUJ:014344","Vochysia pachyantha Ducke"
"4",NA,"UDFJC","UDBC","UDBC000986","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke","Acero, E.",NA,NA,"609",NA,"Roa, A.",1977,2,22,"Colombia","Caquetá",NA,"Río Coemaní",NA,NA,NA,"UDBC:UDBC:UDBC000986","Vochysia pachyantha Ducke"
"5",NA,NA,"Botany","U.1769651","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke",NA,NA,NA,NA,NA,"Silva NT; Brazão U",1966,2,3,"Brazil",NA,NA,"Plants of Third Serra da Neblina, Rio Negro, rio Cauaburi, Rio Maturaca in high forest on terra firma, between Rio Maturaca and Rio Ya.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1769651","Vochysia pachyantha Ducke"
"6",NA,"US","Botany","2883964","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke",NA,NA,NA,"60963",NA,"N. T. Silva & U. Brazão",1966,2,3,"Brazil","Amazonas",NA,"Along margin of Rio Cauaburí, between Rio Maturacá and Rio Ya",NA,NA,NA,"http://n2t.net/ark:/65665/36da37cac-5f58-41c0-9016-f00ac581c96d","Vochysia pachyantha Ducke"
"7","2015-01-06T00:00:00.000+0000","K","Herbarium","K001108584","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke",NA,NA,NA,"60963",NA,"Silva, N.T. da; Brazão, U.",1966,2,3,"Brazil",NA,NA,"Along margin of Rio Cauaburí, betwen Rio Maturacá and Rio Yá.",NA,NA,"Plants of the Third Serra da Neblina Expedition 1965-1966. Field work conducted with the collaboration of the Universidade de Brasília and the Instituto de Pesquisas e Experimentação do Norte, the instituto Nacional de Pesquisas da Amazonia, and The New Y","http://specimens.kew.org/herbarium/K001108584","Vochysia pachyantha Ducke"
"8",NA,"NY","NY","02027219","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke",NA,NA,NA,"60963",NA,"N. T. da Silva",1966,2,3,"Brazil","Amazonas",NA,"Between MaturacÃ¡ and Rio YÃ¡; Rio Negro, Rio CauaburÃ­, Rio MaturacÃ¡",0,0,NA,"95641fa9-7103-49a5-ba81-100248ff148a","Vochysia pachyantha Ducke"
"9",NA,"NY","NY","02027220","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke",NA,NA,NA,"60963",NA,"N. T. da Silva",1966,2,3,"Brazil","Amazonas",NA,"Between MaturacÃ¡ and Rio YÃ¡; Rio Negro, Rio CauaburÃ­, Rio MaturacÃ¡",0,0,NA,"33829a35-b640-4986-b65c-45656da98fc0","Vochysia pachyantha Ducke"
"10","2007-03-29T10:27:49.000+0000","JBRJ","RB","RB00458236","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke",NA,NA,NA,"23782",NA,"R.L. Fróes",1948,12,26,"Brazil","Amazonas","Amazonas","Rio Solimões; igarapé Belém.",NA,NA,NA,"urn:catalog:JBRJ:RB:458236","Vochysia pachyantha Ducke"
"11",NA,"IAC","IAC","15816","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke","R.L. Fróes","1948-12-26T00:00:00.000+0000",NA,"23782",NA,"R.L. Fróes",1948,12,26,"Brazil","Amazonas",NA,"Rio Solimões, igarapé Belém, perto da floresta alta da vila Belém",NA,NA,NA,"BRA:IAC:IAC:0000015816","Vochysia pachyantha Ducke"
"12","2017-10-18T11:07:48.000+0000","JBRJ","RB","RB00662324","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke",NA,NA,"HOLOTYPE",NA,NA,"Ducke, A.",1936,2,21,"Brazil","Amazonas","Amazonas","Rio Curicuriary afluente Rio Negro, baixo da cachoeira bocu.",NA,NA,"árvore pequena, inflorescencia toda ferruginosa clara , flores internamente amarelas.","urn:catalog:JBRJ:RB:662324","Vochysia pachyantha Ducke"
"13",NA,"G","Geneva Herbarium – General Collection (G)","G-G-245553/1","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke","Stafleu, F. A. (1947)",NA,"TYPE",NA,NA,"Ducke, A. (Coll. Delessert 1938)",1936,2,21,"Brazil",NA,NA,"Amazonas - Rio Curicuriary affl. Rio Negro",-65.08583,-4.14444,NA,NA,"Vochysia pachyantha Ducke"
"14",NA,"US","Botany","1740273","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke",NA,NA,"ISOTYPE","34653",NA,"A. Ducke",1936,2,21,"Brazil","Amazonas",NA,"Rios Curicuriary and Negro.",NA,NA,NA,"http://n2t.net/ark:/65665/3632801d3-f937-4fa8-9162-e11f15dbc3b8","Vochysia pachyantha Ducke"
"15","2010-01-11T16:00:50.000+0000","K","Herbarium","K000566046","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke","Stafleu, F.A.",NA,NA,"RB 34653",NA,"Ducke, A.",1936,2,21,"Brazil",NA,NA,"Rio Curicuriary, affl. Rio Negro (civ. Amazonas)",NA,NA,NA,"http://specimens.kew.org/herbarium/K000566046","Vochysia pachyantha Ducke"
"16","2017-10-18T10:28:38.000+0000","JBRJ","RB","RB00544518","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke",NA,NA,"HOLOTYPE",NA,NA,"Ducke, A.",1936,2,21,"Brazil","Amazonas","Amazonas","Rio Curicuriary afluente Rio Negro, baixo da cachoeira bocu.",NA,NA,"árvore pequena, inflorescencia toda ferruginosa clara , flores internamente amarelas.","urn:catalog:JBRJ:RB:544518","Vochysia pachyantha Ducke"
"17","2015-04-11T10:14:24.000+0000","S","VascularPlants","S-R-10191","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke",NA,NA,NA,"34653","34653","A. Ducke",1936,2,21,"Brazil","Amazonas",NA,"[Brazil] Amazonas, Rio Curicuriary affl. Rio Negro, infra cataractam Bucú",NA,NA,NA,"S:VascularPlants:S-R-10191","Vochysia pachyantha Ducke"
"18",NA,NA,"Botany","U  0007163","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke","Stafleu FA",NA,"ISOTYPE",NA,NA,"Ducke A",1936,2,21,"Brazil","Amazonas",NA,"Rio curicuriary affl. R. Negro (civ. Amazonas), infra cataractam Bucú",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200007163","Vochysia pachyantha Ducke"
"19","2017-10-18T10:54:31.000+0000","JBRJ","RB","RB00662430","Vochysia pachyantha Ducke",NA,"Vochysiaceae","Vochysia","pachyantha","Ducke",NA,NA,"HOLOTYPE",NA,NA,"Ducke, A.",1936,2,21,"Brazil","Amazonas","Amazonas","Rio Curicuriary afluente Rio Negro, baixo da cachoeira bocu.",NA,NA,"árvore pequena, inflorescencia toda ferruginosa clara , flores internamente amarelas.","urn:catalog:JBRJ:RB:662430","Vochysia pachyantha Ducke"
