"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","29135","Erisma lanceolatum Stafleu","Vochysiaceae","Erisma","lanceolatum","Stafleu","Suárez, S.","2002-11-01T00:00:00.000+0000",NA,"1012",NA,"Defler, S.",1997,12,21,"Colombia","Vaupés","estación biológica Mosiro Itajura (Caparú), SE del departamento de Vaupés, límite con Amazonas y Brasil",-69.525,-1.09583,"Ejemplar botánico","SINCHI:COAH:29135","Erisma lanceolatum Stafleu"
"2",NA,NA,"Botany","U  0007103","Erisma lanceolatum Stafleu","Vochysiaceae","Erisma","lanceolatum","Stafleu","Shimizu GH","2012-10-01T00:00:00.000+0000","HOLOTYPE",NA,NA,"Lemos Fróes R de",1948,12,18,"Brazil","Amazonas","Estado do AmazonasRio Solimoes; Igarapé Belém.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200007103","Erisma lanceolatum Stafleu"
"3",NA,NA,"Botany","U  0007104","Erisma lanceolatum Stafleu","Vochysiaceae","Erisma","lanceolatum","Stafleu","Shimizu GH","2012-10-01T00:00:00.000+0000","ISOTYPE",NA,NA,"Lemos Fróes R de",1948,12,18,"Brazil","Amazonas","Estado do AmazonasRio Solimoes; Igarapé Belém.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200007104","Erisma lanceolatum Stafleu"
"4","2010-08-16T16:10:38.000+0000","Harvard University","A","barcode-00045205","Erisma lanceolatum Stafleu","Vochysiaceae","Erisma","lanceolatum","Stafleu",NA,NA,"ISOTYPE","12527/221","12527/221","B. A. Krukoff",1942,4,27,"Brazil","Amazonas","Rio Castanha",NA,NA,NA,NA,"Erisma lanceolatum Stafleu"
"5","2010-08-16T16:11:21.000+0000","Harvard University","A","barcode-00045204","Erisma lanceolatum Stafleu","Vochysiaceae","Erisma","lanceolatum","Stafleu",NA,NA,"HOLOTYPE","12527/221","12527/221","B. A. Krukoff",1942,4,27,"Brazil","Amazonas","Rio Castanha",NA,NA,NA,NA,"Erisma lanceolatum Stafleu"
"6",NA,"F","Botany","V0074793F","Erisma lanceolatum Stafleu","Vochysiaceae","Erisma","lanceolatum","Stafleu",NA,NA,"ISOTYPE","12527",NA,"R. de Lemos Fróes",1941,4,27,"Brazil",NA,NA,-52.8731,-10.8339,NA,"827b0141-334a-4958-acec-b69137141670","Erisma lanceolatum Stafleu"
