"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceID","acceptedNameUsage"
"1","US","Botany","2608086","Vochysia inundata Duche","Vochysiaceae","Vochysia","inundata","Duche",NA,NA,"1158","A. Ducke",1943,1,7,"Brazil","Amazonas",NA,"Estrada da Raiz",NA,NA,"http://n2t.net/ark:/65665/366f23aef-1ad8-4921-b0c0-e35d7d9fa92b","Vochysia inundata Duche"
"2","US","Botany","1441895","Vochysia inundata Duche","Vochysiaceae","Vochysia","inundata","Duche",NA,NA,"s.n.","A. Ducke",1923,2,8,"Brazil","Pará",NA,NA,NA,NA,"http://n2t.net/ark:/65665/3c6094782-c9ea-4c56-80ba-87750c2c027a","Vochysia inundata Duche"
