"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2017-10-15T14:06:56.000+0000","JBRJ","RB","RB01219417","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","D. Araújo",NA,NA,"2000",NA,"D. Araújo; et al",2012,3,20,"Brazil","Minas Gerais","Rio Pardo de Minas","Parque Estadual Serra Nova, Areinha",-42.731111,-15.653889,NA,"urn:catalog:JBRJ:RB:1219417",NA,"Qualea selloi Warm."
"2","2017-04-17T14:26:01.000+0000","JBRJ","RB","RB01307308","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","G.H. Shimizu",NA,NA,"829",NA,"P. Fiaschi; F.S. Berchez",2001,6,4,"Brazil","São Paulo","Águas de Lindóia","Morro Pedado.",NA,NA,NA,"urn:catalog:JBRJ:RB:1307308",NA,"Qualea selloi Warm."
"3",NA,"UNICAMP","UEC","185043","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Shimizu, G.H.","2015-04-01T00:00:00.000+0000",NA,"s.n.",NA,"Sajo, M.G.",2000,11,22,"Brazil","São Paulo","Botucatu","horto florestal de botucatu",0,0,"árvore flores amarelas e frutos escuros","BRA:UNICAMP:UEC:0000185043",NA,"Qualea selloi Warm."
"4",NA,"IAC","IAC","38554","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","K. Yamamoto","2002-11-13T00:00:00.000+0000",NA,"790",NA,"R.B. Torres; E.V. Franceschinelli; G.F. Árbocz & C.S. Figueiredo",1999,10,13,"Brazil","Minas Gerais","Camanducaia","Mata dos Mota",-46.1447,-22.7553,"coordenadas do material: 22°44#?#S, 46°08#?#W, 1000 m.s.m.","BRA:IAC:IAC:0000038554",NA,"Qualea selloi Warm."
"5",NA,"Universidade Estadual de Londrina, UEL","FUEL","16216","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Yamamoto, K","2002-11-01T00:00:00.000+0000",NA,"790",NA,"Torres, RB; Franceschinelli, EV; et al.",1999,10,13,"Brazil","Minas Gerais","Camanducaia","Mata dos Mota",-46.133333,-22.733333,"Árvore ca. 12m alt, botões florais verdes, anteras amarelas. Flor com pétalas maiores rosadas com guias de nectarios vinosos; Mata de altitude, área de mata desbastada","BRA:UEL:FUEL:0000016216",NA,"Qualea selloi Warm."
"6",NA,"NY","NY","823352","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","F. FranÃ§a","1994-01-01T00:00:00.000+0000",NA,"4173",NA,"A. M. V. de Carvalho",1993,2,20,"Brazil","Bahia",NA,"Serra do Tombador. Ca. 25 km na estrada Jacobina/Morro do ChapÃ©u.",-40.5180837747994,-11.1844226250214,NA,"629f8f96-d35b-4f0c-b87b-5dc26825bf95",NA,"Qualea selloi Warm."
"7",NA,"UNICAMP","UEC","82759","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Lisboa, M.L.G.","2000-08-07T00:00:00.000+0000",NA,"4741",NA,"Souza, V.C.; Yamamoto, K.; Stehmann, J.R.; Dutilh, J.H.A.",1993,11,27,"Brazil","São Paulo","Itararé","Fazenda Santa Andréia. Escarpa rochosa recoberta por campo graminoso, formando escrubes esparsos e com mata em direçãoao vale.",0,0,"Arbusto, 2 m de altura, pétalas róseas. Escrube.","BRA:UNICAMP:UEC:0000082759",NA,"Qualea selloi Warm."
"8",NA,"MBM","MBM","196716","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Kawasaki, ML",NA,NA,"4741",NA,"Souza, VC; et al.",1993,11,27,"Brazil","São Paulo","Itararé","Fazenda Santa Andréia",0,0,NA,"BRA:MBM:MBM:0000196716",NA,"Qualea selloi Warm."
"9",NA,"NY","NY","424558","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","M. L. Kawasaki","1990-01-01T00:00:00.000+0000",NA,"26298",NA,"R. M. Harley",1988,11,26,"Brazil","Bahia",NA,"Pico das Almas.  vertente N.  Area de campos e mata, NO do Campo do Queiroz",-41.97,-13.52,NA,"37e27329-8dd3-40d7-89f7-3d1b6ed134cd",NA,"Qualea selloi Warm."
"10",NA,"Universidade Estadual de Londrina, UEL","FUEL","14019","Qualea selloi subsp. pubescens Stafleu","Vochysiaceae","Qualea","selloi","pubescens","subsp. pubescens Stafleu","Lisboa, M","1997-11-11T00:00:00.000+0000",NA,"1230",NA,"Tamashiro, JY; et al.",1981,10,14,"Brazil","Minas Gerais","Poços de Caldas","Estrada da Mata da Colina",-46.564722,-21.838889,"Arvore de 10m.; calice verde, petala roseo-lilas, com manchas vinosas.","BRA:UEL:FUEL:0000014019",NA,"Qualea selloi subsp. pubescens Stafleu"
