"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments","bibliographicCitation"
"1",NA,NA,"Botany","U.1769265","Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke",NA,NA,NA,NA,NA,"Ducke A",1919,12,31,"Brazil",NA,NA,"Procedencia: In silva paludosa rivali County regione camporum ad orentem oppids. Faro ( civ. Para).",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1769265","Vochysia eximia Ducke",NA,NA,NA,NA
"2",NA,NA,"Botany","U.1769267","Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke",NA,NA,NA,NA,NA,"Ducke A",1919,12,31,"Brazil",NA,NA,"Procedencia: In silva paludosa rivali County regione camporum ad orentem oppids. Faro ( civ. Para).",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1769267","Vochysia eximia Ducke",NA,NA,NA,NA
"3","2015-01-06T00:00:00.000+0000","K","Herbarium","K001108582","Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke",NA,NA,NA,"s.n.",NA,"Ducke, A.",1919,12,31,"Brazil",NA,NA,".",NA,NA,"[Multiple sheets K001108583]","http://specimens.kew.org/herbarium/K001108582","Vochysia eximia Ducke",NA,NA,NA,NA
"4",NA,"US","Botany","1040692","Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke",NA,NA,"SYNTYPE","15678",NA,"A. Ducke",1915,2,19,"Brazil","Pará",NA,"East of Faro.",NA,NA,NA,"http://n2t.net/ark:/65665/3fd2a617d-0a7c-4e67-b890-3aafff02b620","Vochysia eximia Ducke",NA,NA,NA,NA
"5",NA,"G","Geneva Herbarium – General Collection (G)","G-G-244787/1","Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke",NA,NA,"TYPE",NA,NA,"Ducke, A. (Coll. Delessert 1920)",1915,2,19,"Brazil",NA,NA,"Pará - Faro/Estado do Pará",-52.53,-5.64861,NA,NA,"Vochysia eximia Ducke",NA,NA,NA,NA
"6",NA,"F","Botany",NA,"Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke",NA,NA,"SYNTYPE","MG15678",NA,"A. Ducke",NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"964d4ca3-fe8e-4962-9343-ce2e280fef27","Vochysia eximia Ducke",NA,NA,NA,NA
"7",NA,"F","Botany","V0360312F","Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke",NA,NA,"ISOSYNTYPE","MG15678",NA,"A. Ducke",NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"d2d2ff14-f44d-4ff1-8886-99acb959c664","Vochysia eximia Ducke",NA,NA,NA,NA
"8",NA,"F","Botany",NA,"Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke",NA,NA,"ISOSYNTYPE","MG15678",NA,"A. Ducke",NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"8dcc7e96-009c-4d74-9e74-dd57a54679e1","Vochysia eximia Ducke",NA,NA,NA,NA
"9",NA,NA,"Botany","U.1769268","Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke",NA,NA,NA,NA,NA,"Ducke A",1919,12,31,"Brazil",NA,NA,"Procedencia: In silva paludosa rivali County regione camporum ad orentem oppids. Faro ( civ. Para).",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1769268","Vochysia eximia Ducke",NA,NA,NA,NA
"10","2015-01-06T00:00:00.000+0000","K","Herbarium","K001108583","Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke",NA,NA,NA,"s.n.",NA,"Ducke, A.",1919,12,31,"Brazil",NA,NA,".",NA,NA,"[Multiple sheets K001108582]","http://specimens.kew.org/herbarium/K001108583","Vochysia eximia Ducke",NA,NA,NA,NA
"11",NA,"US","Botany","1441896","Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke",NA,NA,NA,"s.n.",NA,"A. Ducke",1919,12,21,"Brazil","Pará",NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/3f36db131-5dc1-4d60-b306-37da6f96b045","Vochysia eximia Ducke",NA,NA,NA,NA
"12",NA,"US","Botany","1040751","Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke",NA,NA,NA,"s.n.",NA,"A. Ducke",1916,1,8,"Brazil","Pará",NA,"Region de campos à l´ est du lac",NA,NA,NA,"http://n2t.net/ark:/65665/3395cc0a0-5f18-4cd3-910d-a61c6b7f88ab","Vochysia eximia Ducke",NA,NA,NA,NA
"13","2015-09-05T05:21:56.000+0000","MNHN","P","P04726696","Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke",NA,NA,NA,NA,15903,"Ducke, A.",1916,1,8,"Brazil","Pará",NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p04726696","Vochysia eximia Ducke",NA,NA,NA,NA
"14","1995-11-28T13:07:54.000+0000","MNHN","P","P00733890","Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke","Mori",NA,"SYNTYPE",NA,15678,"Ducke, A.",1915,2,19,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733890","Vochysia eximia Ducke",NA,NA,NA,NA
"15","2018-05-16T16:41:11.000+0000","JBRJ","RB","RB00458017","Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke",NA,NA,NA,NA,NA,"A. Ducke",1910,1,21,"Brazil","Pará","Faro","Matas do Riacho Cauhy, nos campos a leste de Faro.",NA,NA,NA,"urn:catalog:JBRJ:RB:458017","Vochysia eximia Ducke",NA,NA,NA,NA
"16",NA,"B","FMNH-B-Types","12911","Vochysia eximia Ducke","Vochysiaceae","Vochysia","eximia","Ducke",NA,NA,"TYPE","s.n.",NA,"A. Ducke",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Vochysia eximia Ducke",NA,NA,NA,NA
