"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","municipality","comments","bibliographicCitation"
"1",NA,NA,"Botany","U  0007103","Erisma lanceolatum Stafleu","Vochysiaceae","Erisma","lanceolatum","Stafleu","Shimizu GH","2012-10-01T00:00:00.000+0000","HOLOTYPE",NA,NA,"Lemos Fróes R de",1948,12,18,"Brazil","Amazonas","Estado do AmazonasRio Solimoes; Igarapé Belém.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200007103","Erisma lanceolatum Stafleu",NA,NA,NA,NA,NA
"3","2010-08-16T16:10:38.000+0000","Harvard University","A","barcode-00045205","Erisma lanceolatum Stafleu","Vochysiaceae","Erisma","lanceolatum","Stafleu",NA,NA,"ISOTYPE","12527/221","12527/221","B. A. Krukoff",1942,4,27,"Brazil","Amazonas","Rio Castanha",NA,NA,NA,NA,"Erisma lanceolatum Stafleu",NA,NA,NA,NA,NA
"5",NA,"F","Botany","V0074793F","Erisma lanceolatum Stafleu","Vochysiaceae","Erisma","lanceolatum","Stafleu",NA,NA,"ISOTYPE","12527",NA,"R. de Lemos Fróes",1941,4,27,"Brazil",NA,NA,-52.8731,-10.8339,NA,"827b0141-334a-4958-acec-b69137141670","Erisma lanceolatum Stafleu",NA,NA,NA,NA,NA
