"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"1",NA,NA,"HDJF","4643","Qualea selloi Warm.",NA,"Vochysiaceae","Qualea","selloi",NA,"Warm.","Faria, JEQ","2017-01-01",NA,"s.n.",NA,"Oliveira, JLA",2017,1,16,"brazil","Minas Gerais","Esmeraldas","Distrito de Caracóis",-44.254167,-19.796667,"Árvore ca. 12 m, frutos quase maduros marrons","Qualea selloi Warm.",NA,"original coordinates OK","GBIF"
"2",NA,NA,"BOTU","31205","Qualea selloi Warm.",NA,"Vochysiaceae","Qualea","selloi",NA,"Warm.","","",NA,"26",NA,"Giles, A.L.O.",2014,11,26,"brazil","São Paulo","Pardinho","Fazenda Águas de Janeiro",-48.40162,-23.10177,"","Qualea selloi Warm.",NA,"centroide mpo OK","GBIF"
"3",NA,NA,"MBM","410652","Qualea selloi Warm.",NA,"Vochysiaceae","Qualea","selloi",NA,"Warm.","Araújo, D","",NA,"2000",NA,"Araújo, D; Portugal-Santana, A; Miranda, PLS; Góes-Neto, LAA; Bünger, MO",2012,3,20,"brazil","Minas Gerais","Rio Pardo de Minas","Parque Estadual Serra Nova, Areinha",-42.731111,-15.653889,"Árvore com cerca de 3 m; frutos marrons. Prensado em álcool.; Campo rupestre quartzito, solo arenoso.","Qualea selloi Warm.",NA,"original coordinates OK","GBIF"
"4",NA,NA,"HDJF","598","Qualea selloi Warm.",NA,"Vochysiaceae","Qualea","selloi",NA,"Warm.","Santos, RM","2011-09-29",NA,"s.n.",NA,"Oliveira, PA; Amaral, WG",2010,5,27,"brazil","Minas Gerais","Diamantina","Parque Estadual do Biribiri (PEB), próximo à cascalheira e do campus JK e à MGT 367.",-43.5875,-18.198611,"Cerrado. Campo Rupestre.","Qualea selloi Warm.",NA,"original coordinates OK","GBIF"
"5",NA,NA,"MBM","307432","Qualea selloi Warm.",NA,"Vochysiaceae","Qualea","selloi",NA,"Warm.","Shimizu, GH","2009-11-01",NA,"1111",NA,"Barbosa, E; Costa, EF; Linsingen, L von",2005,7,14,"brazil","Paraná","Jaguariaíva","Fazenda Cerca do Grande",-49.705016,-24.330567,"Área do cerrado, flor alva, nervuras violeta","Qualea selloi Warm.",NA,"centroide mpo (0) OK","GBIF"
"6",NA,NA,"UEC","180835","Qualea selloi Warm.",NA,"Vochysiaceae","Qualea","selloi",NA,"Warm.","Shimizu, G.H.","2016-02-01",NA,"624",NA,"Guarçoni, E.A.E.; Sartori, M.A.",2003,10,18,"brazil","Minas Gerais","","Cadeia do Espinhaço, Serra da Moeda, Congonhas, RPPN Poço Fundo - CVRD",NA,NA,"Árvore de 14 m, frequente, folha verde discolor, sépala verde, pétala branca com estrias vinho. Fruto cápsula.; Mata terciária.","Qualea selloi Warm.",NA,NA,"GBIF"
"7",NA,NA,"UEC","133087","Qualea selloi Warm.",NA,"Vochysiaceae","Qualea","selloi",NA,"Warm.","Shimizu, G.H.","2008-02-01",NA,"12",NA,"Menini Neto, L.; Assis, L.C.S.; Magalhães, M.S.; Ladeira, M.K.",2002,5,24,"brazil","Minas Gerais","Barroso","Mata do Baú",-43.958433,-21.183739,"Árvore ca. 6m de alt., na borda da mata. Folhas discolores, pecíolo verde acastanhado com indumento levemente alvacento. Frutos imaturos verde-escuros, maduros castanhos.","Qualea selloi Warm.",NA,"centroide mpo (0) OK","GBIF"
"8",NA,NA,"IAC","43157","Qualea selloi Warm.",NA,"Vochysiaceae","Qualea","selloi",NA,"Warm.","L.C. Bernacci et al.","2001-01-09",NA,"3450",NA,"L.C. Bernacci; G. Durigan; G.F. Árbocz & E. Furlan",2001,1,9,"brazil","São Paulo","Ibiúna","próximo ao distrito de Caucaia do Alto (Cotia - SP), fragmento Reizinho, indivíduo R 12.1",-47.092403,-23.689749,"","Qualea selloi Warm.",NA,"original coordinates OK","GBIF"
"9",NA,NA,"UEC","133086","Qualea selloi Warm.",NA,"Vochysiaceae","Qualea","selloi",NA,"Warm.","Shimizu, G.H.","2008-02-01",NA,"116",NA,"Assis, L.C.S.",2001,4,30,"brazil","Minas Gerais","Barroso","Mata do Baú",-43.958433,-21.183739,"Árvore com aproximadamente 12m encontrada na borda da mata, apresentando tronco amarronzado e fortemente sulcado, folhas discolores. Havia apenas esse indivíduo no local.","Qualea selloi Warm.",NA,"centroide mpo (0) OK","GBIF"
"10",NA,NA,"SPF","147692","Qualea selloi Warm.",NA,"Vochysiaceae","Qualea","selloi",NA,"Warm.","Shimizu, GH","2008-01-01",NA,"829",NA,"Fiaschi, P",2001,6,4,"brazil","São Paulo","Águas de Lindóia","",-46.603631,-22.474784,"","Qualea selloi Warm.",NA,"centroide mpo (0) OK","GBIF"
