"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"Cenargen","CEN","82071","Vochysia fontellae Paula","Vochysiaceae","Vochysia","fontellae","Paula","B. M. T. Walter",NA,1578,"Marcelo Fragomeni Simon",2012,6,26,"Brazil","Ro","PORTO VELHO","1 km E de Jaci Paraná, próximo à ponte.",-64.380833,-9.254167,"Árvore com 8 m de altura x 10 cm de DAP. Folhagem vistosa. Flores amarelas, frutos imaturos verdes. Frequente na beira do rio.","BRA:Cenargen:CEN:0000082071","Vochysia fontellae Paula"
"2",NA,"UEFS","HUEFS","194434","Vochysia fontellae Paula","Vochysiaceae","Vochysia","fontellae","Paula","D.J.P.Gonçalves & G.H.Shimizu","2014-07-01T00:00:00.000+0000",3532,"Santos, A.A.",2011,9,5,"Brazil","Rondônia","Porto Velho","Margem esquerda do rio Mutumparaná.",-64.937222,-9.615278,NA,"BRA:UEFS:HUEFS:0000194434","Vochysia fontellae Paula"
"4",NA,"Cenargen","CEN","81016","Vochysia fontellae Paula","Vochysiaceae","Vochysia","fontellae","Paula","D. J. P. Gonçalves & G. H. Shimizu",NA,3532,"Aécio Amaral-Santos",2011,9,5,"Brazil","Ro","PORTO VELHO","Margem esquerda do rio Mutumparaná.",-64.937222,-9.615278,"(Det. in dupl. HUEFS). Área de influência direta da UHE Jirau.","BRA:Cenargen:CEN:0000081016","Vochysia fontellae Paula"
"5",NA,"Cenargen","CEN","73479","Vochysia fontellae Paula","Vochysiaceae","Vochysia","fontellae","Paula","D. J. P. Gonçalves & G. H. Shimizu",NA,14999,"Glocimar Pereira-Silva",2010,3,18,"Brazil","Ro","PORTO VELHO","Estrada de acesso ao porto Prainha (balsa da mineradora) próximo ao povoado Mutum Paraná.",-64.941944,-9.614722,"(Det. in dupl. HUEFS). Área de influência direta (lago).","BRA:Cenargen:CEN:0000073479","Vochysia fontellae Paula"
"6","2017-10-14T11:41:40.000+0000","JBRJ","RB","RB00837172","Vochysia fontellae Paula","Vochysiaceae","Vochysia","fontellae","Paula","G.H. Shimizu",NA,14999,"G. Pereira-Silva; et al",2010,3,18,"Brazil","Rondônia","Jaci Paraná","Estrada de acesso ao porto Prainha (balsa da mineradora) próximo ao povoado Mutum Paraná.",-64.941944,-9.614722,"Árvore com cerca de 12m de altura; flor amarela; ocasional","urn:catalog:JBRJ:RB:837172","Vochysia fontellae Paula"
"8",NA,"Cenargen","CEN","77565","Vochysia fontellae Paula","Vochysiaceae","Vochysia","fontellae","Paula","D. J. P. Gonçalves & G. H. Shimizu",NA,15544,"Glocimar Pereira-Silva",2010,6,28,"Brazil","Ro","PORTO VELHO","Saída leste de Mutum Paraná, margem esquerda do rio Mutum Paraná.",-64.937222,-9.625555,"(Det. in dupl. HUEFS). Área de influência direta (lago). Local antropizado.","BRA:Cenargen:CEN:0000077565","Vochysia fontellae Paula"
"9",NA,"UEFS","HUEFS","199475","Vochysia fontellae Paula","Vochysiaceae","Vochysia","fontellae","Paula","D.J.P.Gonçalves & G.H.Shimizu","2014-07-01T00:00:00.000+0000",15544,"Pereira-Silva, G.",2010,6,28,"Brazil","Rondônia","Porto Velho","Saída leste de Mutum Paraná, margem esquerda do rio Mutum Paraná.",-64.870556,-9.625556,"Floresta Ombrófila Aberta de terra baixa.","BRA:UEFS:HUEFS:0000199475","Vochysia fontellae Paula"
"11","2014-09-10T08:53:36.000+0000","JBRJ","RB","RB00459545","Vochysia fontellae Paula","Vochysiaceae","Vochysia","fontellae","Paula","Gustavo Hiroaki Shimuzi",NA,193,"Andrea Costa",1988,6,18,"Brazil","Rondônia","Porto Velho","Área de influência da Usina Hidrelétrica de Samuel, Rio Jamari, Lago de Espanha.",NA,NA,"Árvore; folhas verde claras; flores amarelas.","urn:catalog:JBRJ:RB:459545","Vochysia fontellae Paula"
