"","institutionCode","catalogNumber","recordedBy"
"1","Instituto Nacional de Pesquisas da Amazônia (INPA)","230455","Braga, JMA"
"2","Instituto Nacional de Pesquisas da Amazônia (INPA)","221910","Luchiari, C"
