"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","comments","FID","new_Lat","new_Lon","notes"
"55","2008-05-27T22:02:00.000+0000","MO","MO","2904583","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","L. Marcano-Berti","1985-01-01T00:00:00.000+0000",NA,"Heringer 14865",NA,"Ezechias P. Heringer",1975,NA,NA,"brazil","distrito federal",NA,"Catetinho. Mata de galeria, fechada sombreada.",NA,NA,NA,"urn:catalog:MO:Tropicos:2904583","http://www.tropicos.org/Specimen/2904583","Qualea selloi Warm.",NA,NA,NA,-15.78050687,-15.78050687,"centroide estado"
"56",NA,"MBM","MBM","68254","Qualea selloi subsp. pubescens Stafleu","Vochysiaceae","Qualea","selloi","pubescens","subsp. pubescens Stafleu","Balslev, H",NA,NA,"30427",NA,"Irwin, HS; et al.",1971,1,15,"brazil","minas gerais",NA,"Serra da Piedade",0,0,NA,"BRA:MBM:MBM:0000068254",NA,"Qualea selloi subsp. pubescens Stafleu",NA,NA,NA,-18.45539008,-44.67333254,"centroide estado (0)"
"57","2008-05-27T22:02:00.000+0000","MO","MO","2904490","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","L. Marcano-Berti","1985-01-01T00:00:00.000+0000",NA,"Irwin 25924",NA,"Howard S. Irwin",1970,2,3,"brazil","minas gerais",NA,"Rocky hillside, ca. 2km N. of Paracatú.",NA,NA,NA,"urn:catalog:MO:Tropicos:2904490","http://www.tropicos.org/Specimen/2904490","Qualea selloi Warm.",NA,NA,NA,-18.45539008,-18.45539008,"centroide estado"
"58",NA,NA,"Botany","U.1768992","Qualea selloi subsp. pubescens Stafleu","Vochysiaceae","Qualea","selloi","pubescens","subsp. pubescens Stafleu",NA,NA,NA,NA,NA,"Haas Sr de; Haas JH de; Belém RP",1967,9,23,"brazil",NA,NA,"Rio De Janeiro - Brasil. Goias, Parque Nacional do Tocantins, estrada Veadeiros-Colinas, km W de Veadeiros. Arvoreta de Cerrado.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1768992",NA,"Qualea selloi subsp. pubescens Stafleu",NA,NA,NA,NA,NA,"no coordinates, municipality or state provided"
"59",NA,"UFV","VIC","008117","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.",NA,NA,NA,"s.n.",NA,"Barroso, G.",1955,9,1,"brazil","minas gerais","paraopeba",NA,0,0,"Cerrado.","BRA:UFV:VIC:0000008117",NA,"Qualea selloi Warm.",NA,NA,2581,-19.272381,-44.45296,"centroide mpo (0)"
"60",NA,"NY","NY","584305","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","W. Hoehne",NA,NA,"13277",NA,"W. Hoehne",1946,11,30,"brazil","sao paulo",NA,"Caieiras",-46.740798,-23.374672,NA,"534fc4e0-b894-4ee6-8306-e49b092fba60",NA,"Qualea selloi Warm.",NA,NA,NA,-23.374672,-46.740798,"original coordinates"
"61",NA,"USP","SPF","13277","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Hoehne, W",NA,NA,"s.n.",NA,"Hoehne, W",1946,11,30,"brazil","sao paulo","caieiras",NA,0,0,NA,"BRA:USP:SPF:0000013277",NA,"Qualea selloi Warm.",NA,NA,1218,-23.376509,-46.744617,"centroide mpo (0)"
"62",NA,"MBM","MBM","153217","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Lisboa, M","1999-10-01T00:00:00.000+0000",NA,"1096",NA,"Koscinski, M",1944,11,NA,"brazil","sao paulo","sao paulo","Vila Amália",0,0,"Floração novembro.","BRA:MBM:MBM:0000153217",NA,"Qualea selloi Warm.",NA,NA,1130,-23.64989,-46.647014,"centroide mpo (0)"
"63",NA,"UEFS","HUEFS","19567","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","F.França","1997-07-01T00:00:00.000+0000",NA,NA,NA,"Krieger, L.",1942,1,8,"brazil","sao paulo","santo amaro",NA,NA,NA,NA,"BRA:UEFS:HUEFS:0000019567",NA,"Qualea selloi Warm.",NA,NA,NA,NA,NA,"centroide mpo"
"64",NA,"IPA","IPA","9651","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.",NA,NA,NA,"5690",NA,"Pickel, B.",1942,5,4,"brazil","sao paulo","sao paulo","linha Santo Amaro - Chácara dos PP de Stevl., na capoeira.",0,0,NA,"BRA:IPA:IPA:0000009651",NA,"Qualea selloi Warm.",NA,NA,1130,-23.64989,-46.647014,"centroide mpo (0)"
