"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","comments"
"1","2018-07-27T17:39:19.000+0000","JBRJ","RB","RB01389030","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","G.H. Schimizu",NA,NA,"1672",NA,"C. Baez; E.P. Fernandez, R. Gomes, M. Verdi",2018,5,17,"Brazil","Rio de Janeiro","Valença","Estrada para as torres. Parque Estadual da Serra da Concórdia",-43.782222,-22.364167,"Árvore matriz nº 118; CAP 164 cm; Folhas discolores. Frutos verde-amarelados.","urn:catalog:JBRJ:RB:1389030",NA,"Vochysia schwackeana Warm.",NA,NA
"2","2018-07-27T17:35:46.000+0000","JBRJ","RB","RB01389032","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","G.H. Schimizu",NA,NA,"1674",NA,"C. Baez; E.P. Fernandez, R. Gomes, M. Verdi",2018,5,17,"Brazil","Rio de Janeiro","Valença","Estrada para as torres. Parque Estadual da Serra da Concórdia",-43.781389,-22.364722,"Árvore matriz nº ; 121; CAP 102 cm; Folhas discolores. Frutos verde-amarelados.","urn:catalog:JBRJ:RB:1389032",NA,"Vochysia schwackeana Warm.",NA,NA
"3","2016-02-19T05:24:00.000+0000","MO","MO","100176144","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"Meireles 569",NA,"José E. Meireles|F. Filardi",2008,1,31,"Brazil","Rio de Janeiro",NA,"Friburgo. Macaé de Cima. Estrada para o Rio das Flores, antes do Hotel São João.",NA,NA,NA,"urn:catalog:MO:Tropicos:100176144","http://www.tropicos.org/Specimen/100176144","Vochysia schwackeana Warm.",NA,NA
"4","2014-02-04T13:35:56.000+0000","JBRJ","RB","RB00522344","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"569",NA,"J.E.Meireles; F.Filardi",2008,1,31,"Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima. Estrada para o Rio das Flores, antes do Hotel São João.",NA,NA,"Árvore de 14 metros. Flores de cálice verde e corola amarelo-ovo. Muito frequente.","urn:catalog:JBRJ:RB:522344",NA,"Vochysia schwackeana Warm.",NA,NA
"6",NA,"USP","SPF","198136","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","Yamamoto, K","2008-01-01T00:00:00.000+0000",NA,"513",NA,"Santos, MF",2008,3,17,"Brazil","Minas Gerais","Itambé do Mato Dentro","APA Morro da Pedreira",0,0,NA,"BRA:USP:SPF:0000198136",NA,"Vochysia schwackeana Warm.",NA,NA
"8",NA,"USP","SPF","198137","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","Shimizu, GH","2008-01-01T00:00:00.000+0000",NA,"239",NA,"Santos, MF",2008,3,13,"Brazil","Minas Gerais","Itambé do Mato Dentro","Parque Nacional da Serra do Cipó",0,0,NA,"BRA:USP:SPF:0000198137",NA,"Vochysia schwackeana Warm.",NA,NA
"12","2017-10-18T14:26:46.000+0000","JBRJ","RB","RB00703572","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","H. Serafim","2009-01-01T00:00:00.000+0000",NA,"341",NA,"H. Serafim",2007,3,21,"Brazil","São Paulo","São José do Barreiro","Fazenda Atibaia, acesso pelo Km. 258 da rodovia dos Tropeiros (SP-068).",-44.656667,-22.642778,"Árvore de 18 m. alt.; 67,5 cm. de perímetro à altura do peito.","urn:catalog:JBRJ:RB:703572",NA,"Vochysia schwackeana Warm.",NA,NA
"14","2017-10-19T21:57:21.000+0000","JBRJ","RB","RB00459212","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","O. Thier",NA,NA,"241",NA,"O. Thier",2005,10,17,"Brazil","Rio de Janeiro","Rio de Janeiro","Teresópolis/Sebastiana, between residential area ""Paraiso"" and bigget Eukalyptus- plantistig.",-42.843611,-22.276111,"Tree, about 10 m high.","urn:catalog:JBRJ:RB:459212",NA,"Vochysia schwackeana Warm.",NA,NA
"15",NA,"UEFS","HUEFS","184227","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","D.J.P.Gonçalves & G.H.Shimizu","2014-07-01T00:00:00.000+0000",NA,"1845",NA,"Silva-Neto, S.J.",2003,2,22,"Brazil","Rio de Janeiro","Itatiaia","Estrada para o Hotel Simon, próximo ao bambuzal, 10m das estradas.",-44.566667,-22.25,NA,"BRA:UEFS:HUEFS:0000184227",NA,"Vochysia schwackeana Warm.",NA,NA
"16",NA,"UEFS","HUEFS","184214","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","D.J.P.Gonçalves & G.H.Shimizu","2014-07-01T00:00:00.000+0000",NA,"1847",NA,"Silva-Neto, S.J.",2003,9,6,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Mata próximo a margem do Rio Campo Belo, onde atravessa para a parcela.",NA,NA,NA,"BRA:UEFS:HUEFS:0000184214",NA,"Vochysia schwackeana Warm.",NA,NA
"17",NA,"UEFS","HUEFS","184213","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","D.J.P.Gonçalves & G.H.Shimizu","2014-07-01T00:00:00.000+0000",NA,"4535",NA,"Braga, J.M.A.",1997,11,5,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Estrada próxima a Ponte do Maromba.",NA,NA,"Mata densa","BRA:UEFS:HUEFS:0000184213",NA,"Vochysia schwackeana Warm.",NA,NA
"18","2017-10-15T15:28:49.000+0000","JBRJ","RB","RB00477328","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"9",NA,"M.R. Carrara; et al",1995,1,17,"Brazil","Rio de Janeiro","Itatiaia","Estrada principal doo Parque. Parque Nacional de Itatiaia",-44.566667,-22.25,"Árvore com ca. de 10m, com folhas levemente discolores verdes. Inflorescência com raque esverdeada, flores com corola amarela, cálice amarelo, gineceu com estilete amarelo e estigma marrom.","urn:catalog:JBRJ:RB:477328",NA,"Vochysia schwackeana Warm.",NA,NA
"19",NA,"UNICAMP","UEC","54454","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"1366",NA,"Silva, A.F.; Capellari Jr, L.",1986,1,11,"Brazil","São Paulo","São José dos Campos","Flora da Reserva Florestal da Boa Vista",-45.9375,-23.075,"Árvore de até 10 metros de altura; flores amarelo-ouro.","BRA:UNICAMP:UEC:0000054454",NA,"Vochysia schwackeana Warm.",NA,NA
"20",NA,"UNICAMP","UEC","54397","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"1355",NA,"Silva, A.F.; Capellari Jr, L.",1986,1,9,"Brazil","São Paulo","São José dos Campos","Reserva Florestal da Boa Vista",-45.9375,-23.075,"Árvore até 30m, flores amarelo-ouro, casca fina laranja, lenho creme, suber com placas grandes, escamoso.","BRA:UNICAMP:UEC:0000054397",NA,"Vochysia schwackeana Warm.",NA,NA
"21",NA,"NY","NY","424328","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","M. C. Vianna","1982-01-01T00:00:00.000+0000",NA,"268",NA,"M. R. de V. Barbosa",1982,2,13,"Brazil","Rio de Janeiro",NA,"Estrada para MauÃ¡, prÃ³ximo aos ChalÃ©s Planalto (9km)",-44.4469532690448,-22.4730511714091,NA,"a1d66454-d789-49cc-b754-283971091773",NA,"Vochysia schwackeana Warm.",NA,NA
"22",NA,"UNICAMP","UEC","25769","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","Yamamoto, K.","1992-01-01T00:00:00.000+0000",NA,"8715",NA,"Occhioni, P.",1979,1,18,"Brazil","Rio de Janeiro",NA,"Parque Nacional do Itatiaia",0,0,"Árvore grande 15m, alt. flor amarela ornamental. Da mata.","BRA:UNICAMP:UEC:0000025769",NA,"Vochysia schwackeana Warm.",NA,NA
"24",NA,"MBM","MBM","60220","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","Occhioni, P",NA,NA,"8674",NA,"Occhioni, P",1979,1,15,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia",0,0,NA,"BRA:MBM:MBM:0000060220",NA,"Vochysia schwackeana Warm.",NA,NA
"25","2015-01-15T00:00:00.000+0000","K","Herbarium","K001108441","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"1171",NA,"Vianna, M.V.",1977,10,30,"Brazil",NA,"Teresópolis",".",NA,NA,NA,"http://specimens.kew.org/herbarium/K001108441",NA,"Vochysia schwackeana Warm.",NA,NA
"26","2007-03-29T15:02:29.000+0000","JBRJ","RB","RB00459214","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","MCVianna",NA,NA,NA,NA,"José L. Ladeira",1975,3,7,"Brazil","Minas Gerais","Viçosa","Mata da Prefeitura.",NA,NA,NA,"urn:catalog:JBRJ:RB:459214",NA,"Vochysia schwackeana Warm.",NA,NA
"27",NA,"UnB","UB","164190","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","Shimizu, GH","2014-12-05T00:00:00.000+0000",NA,"2783",NA,"Gomes, V",1968,1,2,"Brazil","Minas Gerais","Juiz de Fora","Fazenda de São Mateus.",0,0,"Árvore de 25 metros de altura e diâmetro de 20 cm.","BRA:UnB:UB:0000164190",NA,"Vochysia schwackeana Warm.",NA,NA
"28","2007-06-04T09:05:37.000+0000","JBRJ","RB","RB00477759","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","Matianes","1977-01-01T00:00:00.000+0000",NA,"179",NA,"Sócrates V. de Andrade",1963,12,16,"Brazil","Rio de Janeiro","Itatiaia","Sede do PNI.",NA,NA,NA,"urn:catalog:JBRJ:RB:477759",NA,"Vochysia schwackeana Warm.",NA,NA
"29","2017-10-17T16:44:13.000+0000","JBRJ","RB","RB00459218","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","MCVianna","1976-01-01T00:00:00.000+0000",NA,"91",NA,"A. Mattos Filho",1958,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Área do Jardim, talhão 18.",NA,NA,"Árvore cerca de 30 m alt., por 0,40 m diam., flores amarelas ouro.","urn:catalog:JBRJ:RB:459218",NA,"Vochysia schwackeana Warm.",NA,NA
"30","2007-03-29T15:14:34.000+0000","JBRJ","RB","RB00459225","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","MCVianna","1976-01-01T00:00:00.000+0000",NA,"2527",NA,"Vasco Gomes",1955,2,28,"Brazil",NA,"Brasil","Sitio Paulo Macedo.",NA,NA,NA,"urn:catalog:JBRJ:RB:459225",NA,"Vochysia schwackeana Warm.",NA,NA
"31","2017-10-11T00:58:15.000+0000","JBRJ","RB","RB00459227","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","MCVianna","1976-01-01T00:00:00.000+0000",NA,NA,NA,"Luiz Lanstyack",1938,1,NA,"Brazil",NA,"Brasil","Serra de Itatiaia: Monte Serrat. Itatiaia",NA,NA,"Árvore grande, fl. amarela.","urn:catalog:JBRJ:RB:459227",NA,"Vochysia schwackeana Warm.",NA,NA
"32","2017-10-11T04:08:41.000+0000","JBRJ","RB","RB00477767","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","M.C.Vianna",NA,NA,"31",NA,"L.Lanstyak",1938,2,NA,"Brazil","Rio de Janeiro","Itatiaia","Monte Serrat.",NA,NA,"Arvore grande","urn:catalog:JBRJ:RB:477767",NA,"Vochysia schwackeana Warm.",NA,NA
