"","scientificName","new_Lon","new_Lat","municipality","county.shape","status"
"153","Vochysia acuminata subsp. quadrangulata (Warm.) Stafleu",-43.68,-18.57,NA,"gouvea","original municipality not informed"
"154","Vochysia acuminata subsp. quadrangulata (Warm.) Stafleu",-43.548872,-19.278562,NA,"santana do riacho","original municipality not informed"
"155","Vochysia acuminata Bong.",-42.5,-22,NA,"duas barras","original municipality not informed"
"157","Vochysia acuminata Bong.",-19.437288,-19.437288,"sete lagoas","not found","outside Brazil"
"158","Vochysia acuminata Bong.",-51.77,-12.82,NA,"ribeirao cascalheira","original municipality not informed"
"159","Vochysia acuminata Bong.",-51.76666,-12.81666,NA,"ribeirao cascalheira","original municipality not informed"
"160","Vochysia acuminata Bong.",-43.610232,-17.993337,"diamantina","diamantina","Ok"
"161","Vochysia acuminata Bong.",-19.437288,-19.437288,"sete lagoas","not found","outside Brazil"
"162","Vochysia acuminata subsp. quadrangulata (Warm.) Stafleu",-43.548872,-19.278562,NA,"santana do riacho","original municipality not informed"
"163","Vochysia acuminata Bong.",-17.993337,-17.993337,"diamantina","not found","outside Brazil"
"164","Vochysia acuminata subsp. quadrangulata (Warm.) Stafleu",-43.539757,-19.388386,NA,"jaboticatubas","original municipality not informed"
"165","Vochysia acuminata Bong.",-19.437288,-19.437288,"sete lagoas","not found","outside Brazil"
"166","Vochysia acuminata Bong.",-19.745115,-19.745115,"santa luzia","not found","outside Brazil"
"167","Vochysia quadrangulata Warm.",-43.610232,-17.993337,"diamantina","diamantina","Ok"
"169","Vochysia quadrangulata Warm.",-43.837428,-19.745115,"santa luzia","santa luzia","Ok"
"170","Vochysia acuminata Bong.",-53.08982,-10.773109,NA,"sao jose do xingu","original municipality not informed"
"171","Vochysia acuminata Bong.",-22.924471,-22.924471,"rio de janeiro","not found","outside Brazil"
"172","Vochysia acuminata var. quadrangulata (Warm.) Stafleu",-53.08972,-10.77306,NA,"sao jose do xingu","original municipality not informed"
"173","Vochysia acuminata Bong.",-43.610232,-17.993337,"diamantina","diamantina","Ok"
"174","Vochysia quadrangulata Warm.",-43.837428,-19.745115,"santa luzia","santa luzia","Ok"
"175","Vochysia quadrangulata Warm.",-43.610232,-17.993337,"diamantina","diamantina","Ok"
"176","Vochysia acuminata Bong.",-41.983333,-13.5,"agua quente","erico cardoso","outside municipality"
"178","Vochysia acuminata Bong.",-41.95,-13.533333,"rio de contas","rio de contas","Ok"
"179","Vochysia quadrangulata Warm.",-43.837428,-19.745115,"santa luzia","santa luzia","Ok"
"180","Vochysia acuminata Bong.",-41.763611,-13.156667,"piata","piata","Ok"
"181","Vochysia quadrangulata Warm.",-43.837428,-19.745115,"santa luzia","santa luzia","Ok"
"182","Vochysia acuminata Bong.",-22.924471,-22.924471,"rio de janeiro","not found","outside Brazil"
"183","Vochysia acuminata Bong.",-43.71839,-19.441166,"jaboticatubas","jaboticatubas","Ok"
"184","Vochysia acuminata Bong.",-13.586451,-13.586451,"rio de contas","not found","outside Brazil"
