"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1","2017-10-19T13:51:09.000+0000","JBRJ","RB","RB00688119","Qualea decorticans Ducke","Vochysiaceae","Qualea","decorticans","Ducke",NA,"HOLOTYPE",NA,NA,"Ducke, A.",1935,9,22,"Brazil","Amazonas","Amazonas","Cucuhy. Rio Negro.",NA,NA,NA,"urn:catalog:JBRJ:RB:688119","Qualea decorticans Ducke"
"2","2017-10-19T14:12:36.000+0000","JBRJ","RB","RB00702362","Qualea decorticans Ducke","Vochysiaceae","Qualea","decorticans","Ducke",NA,"HOLOTYPE",NA,NA,"Ducke, A.",1935,9,22,"Brazil","Amazonas","Amazonas","Cucuhy. Rio Negro.",NA,NA,NA,"urn:catalog:JBRJ:RB:702362","Qualea decorticans Ducke"
"3",NA,"NY","NY","1842918","Qualea decorticans Ducke","Vochysiaceae","Qualea","decorticans","Ducke",NA,"ISOTYPE","1937[= herb. RB 34667]",NA,"W. A. Ducke",1935,9,22,"Brazil","Amazonas",NA,"Curuhy, Rio Negro",0,0,NA,"71726e32-4d5e-49ea-8c25-413ef19e481a","Qualea decorticans Ducke"
"4","2014-11-06T09:13:02.000+0000","K","Herbarium","K001096157","Qualea decorticans Ducke","Vochysiaceae","Qualea","decorticans","Ducke",NA,NA,"34667",NA,"Ducke, A.",1935,9,22,"Brazil",NA,NA,"Cucuhy. Rio Negro",NA,NA,"RB 34667; Jardim Botanico Do Rio De Janeiro","http://specimens.kew.org/herbarium/K001096157","Qualea decorticans Ducke"
"5","2008-07-21T15:56:23.000+0000","K","Herbarium","K000494661","Qualea decorticans Ducke","Vochysiaceae","Qualea","decorticans","Ducke","Ducke, A.",NA,"34667",NA,"Ducke, A.",1935,9,22,"Brazil",NA,NA,"Cucuhy, Rio Negro",NA,NA,NA,"http://specimens.kew.org/herbarium/K000494661","Qualea decorticans Ducke"
"6","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","246859","Qualea decorticans Ducke","Vochysiaceae","Qualea","decorticans","Ducke",NA,NA,"s.n.",NA,"Mike Hopkins",1935,9,22,"Brazil","Amazonas",NA,"Cucuí, Rio Negro.",NA,NA,NA,"urn:catalog:inpa:herbarium:230028","Qualea decorticans Ducke"
"7","2017-10-19T14:12:36.000+0000","JBRJ","RB","RB00544482","Qualea decorticans Ducke","Vochysiaceae","Qualea","decorticans","Ducke",NA,"HOLOTYPE",NA,NA,"Ducke, A.",1935,9,22,"Brazil","Amazonas","Amazonas","Cucuhy. Rio Negro.",NA,NA,NA,"urn:catalog:JBRJ:RB:544482","Qualea decorticans Ducke"
"8","2015-06-01T12:21:33.000+0000","S","VascularPlants","S-R-10212","Qualea decorticans Ducke","Vochysiaceae","Qualea","decorticans","Ducke",NA,NA,"34667","34667","A. Ducke",1935,9,22,"Brazil","Amazonas",NA,"[Brazil] Amazonas, Cucuhy, Rio Negro",NA,NA,NA,"S:VascularPlants:S-R-10212","Qualea decorticans Ducke"
"9",NA,"Instituto de Botânica, IBT","SP","444442","Qualea decorticans Ducke","Vochysiaceae","Qualea","decorticans","Ducke",NA,"ISOTYPE","s.n.",NA,"Ducke, A",1935,9,22,"Brazil","Amazonas",NA,"Cucuhy, Rio Negro",0,0,NA,"BRA:IBt:SP:0000444442","Qualea decorticans Ducke"
"10",NA,NA,"Botany","U  0007116","Qualea decorticans Ducke","Vochysiaceae","Qualea","decorticans","Ducke","Stafleu FA","ISOTYPE",NA,NA,"Ducke A",1935,9,22,"Brazil","Amazonas",NA,"Cucuhy, Rio Negro (civ. Amazonas)",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200007116","Qualea decorticans Ducke"
