"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","locality","decimalLongitude","decimalLatitude","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","municipality","occurrenceRemarks","comments"
"1",NA,"NY","NY","1146788","Funifera ericiflora (Gilg & Markgr.) Domke","Thymelaeaceae","Funifera","ericiflora","(Gilg & Markgr.) Domke","Z. S. Rogers","2009-01-01T00:00:00.000+0000",NA,"12024",NA,"W. W. Thomas",1999,2,6,"Brazil","Bahia","Parque Nacional Monte Pascoal, 3 km S of entrance along road on N side of park.",-39.4133,-16.863333,"afe964c1-48b2-4fa8-bc8e-979b58eb0288",NA,"Funifera ericiflora (Gilg & Markgr.) Domke",NA,NA,NA,NA,NA
"2",NA,"NY","NY","1182470","Funifera ericiflora (Gilg & Markgr.) Domke","Thymelaeaceae","Funifera","ericiflora","(Gilg & Markgr.) Domke","L. Rossi","1997-01-01T00:00:00.000+0000",NA,"6274",NA,"J. M. Pires",1956,12,15,"Brazil","ParÃ¡","Serra do Cachimbo",-55.972862,-8.308925,"6290e331-9592-449f-95ba-1e29c6cdf845",NA,"Funifera ericiflora (Gilg & Markgr.) Domke",NA,NA,NA,NA,NA
"3","2012-08-18T05:19:00.000+0000","MO","MO","100270358","Funifera ericiflora (Gilg & Markgr.) Domke","Thymelaeaceae","Funifera","ericiflora","(Gilg & Markgr.) Domke","L. Rossi","1997-01-01T00:00:00.000+0000",NA,"Pires 6274",NA,"João Murça Pires",1956,12,15,"Brazil","Pará","Serra do Cachimbo",-55.5,-8.5,"urn:catalog:MO:Tropicos:100270358","http://www.tropicos.org/Specimen/100270358","Funifera ericiflora (Gilg & Markgr.) Domke",NA,NA,NA,NA,NA
"4","2010-08-16T16:30:41.000+0000","Harvard University","GH","barcode-00286007","Funifera ericiflora (Gilg & Markgr.) Domke","Thymelaeaceae","Funifera","ericiflora","(Gilg & Markgr.) Domke",NA,NA,NA,"5504",5504,"F. C. Hoehne",1911,6,NA,"Brazil","Mato Grosso","Juruena",NA,NA,NA,NA,"Funifera ericiflora (Gilg & Markgr.) Domke",NA,NA,NA,NA,NA
"5","2010-04-29T13:41:00.000+0000","MO","MO","3583231","Funifera ericiflora (Gilg & Markgr.) Domke","Thymelaeaceae","Funifera","ericiflora","(Gilg & Markgr.) Domke","Nevling","1965-01-01T00:00:00.000+0000",NA,"Hoehne 5504",NA,"F.C. Hoehne",1911,11,NA,"Brazil","Mato Grosso","Juruena",-58.933333,-12.85,"urn:catalog:MO:Tropicos:3583231","http://www.tropicos.org/Specimen/3583231","Funifera ericiflora (Gilg & Markgr.) Domke",NA,NA,NA,NA,NA
"6","2010-10-28T10:20:00.000+0000","MO","MO","3622466","Funifera ericiflora (Gilg & Markgr.) Domke","Thymelaeaceae","Funifera","ericiflora","(Gilg & Markgr.) Domke","L. Nevling","1965-01-01T00:00:00.000+0000","HOLOTYPE","Hoehne 2112",NA,"F.C. Hoehne",1909,6,NA,"Brazil","Mato Grosso","Margena do Rio Sacre. M. Grosso",-58.166667,-12.95,"urn:catalog:MO:Tropicos:3622466","http://www.tropicos.org/Specimen/3622466","Funifera ericiflora (Gilg & Markgr.) Domke",NA,NA,NA,NA,NA
"7",NA,"MN","R-TIPOS","27302","Daphnopsis ericiflora Gilg & Markgraf","Thymelaeaceae","Funifera","ericiflora","Gilg & Markgraf","Nevling, Jr., L.I.","1959-01-01T00:00:00.000+0000","LECTOTYPE","2112",NA,"Hoehne, F.C.",1909,6,NA,"Brazil","Mato Grosso","margens do Rio Sacre",NA,NA,"BRA:MN:R-TIPOS:0000027302",NA,"Daphnopsis ericiflora Gilg & Markgraf",NA,NA,NA,NA,NA
