"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","comments","bibliographicCitation"
"1",NA,"UNITINS","HUTO","7128","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.",NA,NA,NA,"124",NA,"Lemos, H.L.",2017,8,21,"Brazil","Tocantins","Pindorama do Tocantins","Bacia do rio Tocantins. Sub-bacia do rio Bagagem",-47.547778,-11.359444,"Árvore com cerca de 3,50 m de altura. Flores e estames amarelos; Cerrado s.s. típico em latossolo.","BRA:UNITINS:HUTO:0000007128","Ouratea ovalis Engl.",NA,NA
"2",NA,"UnB","UB","214580","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.","Chacon, RG","2015-08-01T00:00:00.000+0000",NA,"5095",NA,"Faria, JEQ",2015,8,24,"Brazil","Goiás","Alto Horizonte","Região da Sururuca, fazenda Cajás, proprietário senhor Jair Eustáquio",-49.292222,-14.198333,"Arvoreta ca. 3 m de altura, botões florais amarelos pálidos, flores amarelas com odor adocicado; Cerrado sensu stricto","BRA:UnB:UB:0000214580","Ouratea ovalis Engl.",NA,NA
"3",NA,"Jardim Botânico de Brasília (JBB)","HEPH","32042","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.","Chacon, RG","2015-08-01T00:00:00.000+0000",NA,"5095",NA,"Faria, JEQ",2015,8,24,"Brazil","Goiás","Alto Horizonte","Região da Sururuca, fazenda Cajás, proprietário senhor Jair Eustáquio",-49.292222,-14.198333,"Arvoreta ca. 3 m de altura, botões florais amarelos pálidos, flores amarelas com odor adocicado; Cerrado sensu stricto","BRA:JBB:HEPH:0000032042","Ouratea ovalis Engl.",NA,NA
"4",NA,"Jardim Botânico de Brasília (JBB)","HEPH","32067","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.","Chacon, RG","2018-08-20T00:00:00.000+0000",NA,"5147",NA,"Faria, JEQ",2015,9,26,"Brazil","Goiás","Alto Horizonte","Região da Sururuca, fazenda Cajás, proprietário senhor Jair Eustáquio",-49.292222,-14.198333,"Subarbusto ca. 0,8 m de altura, frutos e receptáculos vináceos; Cerrado sensu stricto","BRA:JBB:HEPH:0000032067","Ouratea ovalis Engl.",NA,NA
"5",NA,"UNITINS","HUTO","2738","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.","Chacon, R.G.","2013-04-01T00:00:00.000+0000",NA,"2313",NA,"Santos, E.R.",2011,2,17,"Brazil","Tocantins","Palmas","Fazenda Ecológica, Centro Ecotropical (Serra do Lajeado)",-48.145,-10.263611,"Arbusto com cerca de 3 m de altura. Frutos jovens de cor verde e roxo quando madurosne receptáculo floral amarelo/ alaranjado.; Cerrado stricto sensu sobre solo pedregoso","BRA:UNITINS:HUTO:0000002738","Ouratea ovalis Engl.",NA,NA
"6",NA,"Jardim Botânico de Brasília (JBB)","HEPH","29379","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.","Chacon, RG","2013-01-01T00:00:00.000+0000",NA,"18",NA,"Françoso, RD",2011,6,1,"Brazil","Goiás","Minaçu","Ilha do Reservatório de Serra da Mesa",-48.330556,-13.852778,"Arbusto; Cerrado típico","BRA:JBB:HEPH:0000029379","Ouratea ovalis Engl.",NA,NA
"7",NA,"UnB","UB","170517","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.","Chacon, RG","2013-07-01T00:00:00.000+0000",NA,"1525",NA,"Faria, JEQ; Faria, DM",2011,8,5,"Brazil","Goiás","Alto Horizonte","Margem da estrada de Alto Horizonte para a localidade do Jacaré, fazenda do senhor Bráulio",0,0,"Arvoreta ca. 2 m de altura, botões amarelados e flores amarelas; Cerrado sensu stricto pedregoso","BRA:UnB:UB:0000170517","Ouratea ovalis Engl.",NA,NA
"8",NA,"UnB","UB","170518","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.","Chacon, RG","2013-07-01T00:00:00.000+0000",NA,"1526",NA,"Faria, JEQ; Faria, DM",2011,8,5,"Brazil","Goiás","Alto Horizonte","Margem da estrada de Alto Horizonte para a localidade do Jacaré, fazenda do senhor Bráulio",0,0,"Arvoreta ca. 3 m de altura, botões amarelados e flores amarelas; Cerrado sensu stricto pedregoso","BRA:UnB:UB:0000170518","Ouratea ovalis Engl.",NA,NA
"9","2017-10-18T14:20:11.000+0000","JBRJ","RB","RB00717367","Ouratea ovalis Engl.","cf.","Ochnaceae","Ouratea","ovalis",NA,"Engl.","F.O. Silva",NA,NA,"14179",NA,"M. Sobral",2011,8,21,"Brazil","Minas Gerais","Minas Gerais","BR-383, trecho sem asfalto entre Minduri e trevo para São Vicente de Minas.",-44.45,-21.666667,"Arbusto de 1,8 m. alt.; Flores amarelas.","urn:catalog:JBRJ:RB:717367","Ouratea ovalis Engl.",NA,NA
"10",NA,"Cenargen","CEN","80055","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.","R. G. Chacon",NA,NA,"1525",NA,"Jair Eustáquio Quintino de Faria Jr.",2011,8,5,"Brazil","Go","ALTO HORIZONTE","Margem da estrada de Alto Horizonte para a localidade de Jacaré, na fazenda do Sr. Bráulio.",NA,NA,"Botões amarelados. HERBÁRIO UB - Goiás.","BRA:Cenargen:CEN:0000080055","Ouratea ovalis Engl.",NA,NA
