"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","comments","bibliographicCitation"
"1",NA,"Jardim Botânico de Brasília (JBB)","HEPH","32042","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.","Chacon, RG","2015-08-01T00:00:00.000+0000",NA,"5095",NA,"Faria, JEQ",2015,8,24,"Brazil","Goiás","Alto Horizonte","Região da Sururuca, fazenda Cajás, proprietário senhor Jair Eustáquio",-49.292222,-14.198333,"Arvoreta ca. 3 m de altura, botões florais amarelos pálidos, flores amarelas com odor adocicado; Cerrado sensu stricto","BRA:JBB:HEPH:0000032042","Ouratea ovalis Engl.",NA,NA
"2",NA,"UNITINS","HUTO","2649","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.","Fonseca, M.L.",NA,NA,"6194",NA,"Fonseca, M.L.",2009,7,9,"Brazil","Tocantins","Palmeirópolis","Bacia do Tocantins. Sub-bacia: Tocantins. Solo argilo-arenoso. Relevo ingreme",-48.5275,-12.959722,"Arvoreta 3,50 m de altura e 6 cm de DAP. Casca amarelada. Folhas cartáceas, discolores. Botões florais avermelhadas. Rara; Cerrado","BRA:UNITINS:HUTO:0000002649","Ouratea ovalis Engl.",NA,NA
"3",NA,"UNICAMP","UEC","169130","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.","Chacon, R.G.","2010-07-01T00:00:00.000+0000",NA,"3521",NA,"Cavalcanti, T.B.; Sinigaglia, C.; Silva, G.P.",2004,8,30,"Brazil","Goiás","Cavalcante","Ponte sobre o rio Tocantis - Cavalcante, Km 79.&nf;Ambiente: cerrado aberto.&nf;Relevo: montanhoso.&nf;Substrato: solo pedregoso.",-47.876389,-13.680556,"Material coletado: Exsicatas, folhas em sílica.&nf;Uso: &nf;Frequência relativa: &nf;Cor da flor: amarela.&nf;Cor do fruto: &nf;Hábito de crescimento: &nf;Folhas glaucas. crescendo ao lado de O. hexasperma (Cavalcanti et al. 3520)","BRA:UNICAMP:UEC:0000169130","Ouratea ovalis Engl.",NA,NA
"4",NA,"UFG","UFG","43508","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.","Chacon, R.G.","2009-09-28T00:00:00.000+0000",NA,"23937",NA,"V.C. Souza; Souza, J.P. & Romão, G.O.",2000,7,15,"Brazil","Goiás","Niquelândia",NA,-48.697778,-14.539444,NA,"BRA:UFG:UFG:0000043508","Ouratea ovalis Engl.",NA,NA
"5",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA066479","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.","Chacon, R.G.","2009-09-28T00:00:00.000+0000",NA,"23937",NA,"Souza, V.C. et al.",2000,7,15,"Brazil","Goiás","Niquelândia",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA066479","Ouratea ovalis Engl.",NA,NA
"6","2015-09-05T08:01:34.000+0000","MNHN","P","P04780747","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.",NA,NA,NA,NA,20804,"Glaziou, A.",1894,11,26,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p04780747","Ouratea ovalis Engl.",NA,NA
"7","2015-09-05T08:01:34.000+0000","MNHN","P","P04780746","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.",NA,NA,NA,NA,3635,"Gardner",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p04780746","Ouratea ovalis Engl.",NA,NA
"8",NA,"NY","NY","428930","Gomphia ovalis Pohl",NA,"Ochnaceae","Ouratea","ovalis",NA,"Pohl",NA,NA,"ISOTYPE","3635",NA,"G. Gardner",NA,NA,NA,"Brazil","GoiÃ¡s",NA,NA,0,0,NA,"a652fa86-680c-4d85-b551-fa3b4fb72523","Gomphia ovalis Pohl",NA,NA
"9",NA,"W","Herbarium W","0017009","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.","C. Sastre (P) 2008-02",NA,NA,NA,NA,"Pohl,J.B.E.",NA,NA,NA,"Brazil",NA,NA,"Goyaz",NA,NA,NA,NA,"Ouratea ovalis Engl.",NA,NA
"10",NA,"W","Herbarium W","0017008","Gomphia ovalis Pohl",NA,"Ochnaceae","Ouratea","ovalis",NA,"Pohl",NA,NA,NA,NA,NA,"REFLORA provisional entry",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Gomphia ovalis Pohl",NA,NA
"11","2011-09-01T00:00:00.000+0000","BR",NA,"BR0000005739844","Ouratea ovalis Engl.",NA,"Ochnaceae","Ouratea","ovalis",NA,"Engl.",NA,NA,"TYPE","S.N.",NA,"Pohl J.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000005739844","Ouratea ovalis Engl.",NA,NA
