"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","municipality","comments"
"1",NA,"W","Herbarium W","2006-0016388","Ouratea pendulosepala Sastre","Ochnaceae","Ouratea","pendulosepala","Sastre","Anonymous",NA,NA,NA,NA,"Ferreira,C.A.C.",1986,9,19,NA,NA,"Mun. Pres. Figueredo, AM. 08 km da Vila Residêncal Atroari. Canteiro de obras de Balbina. 1°30'-2°00'S, 59°30'-60°00'W. Mata de terra firme, solo agriloso",NA,NA,NA,NA,NA,"Ouratea pendulosepala Sastre",NA,NA,NA,NA
"2","2/06/17 16:03","INPA","INPA","148536","Ouratea pendulosepala","Ochnaceae","Ouratea",NA,"Sastre",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas","8 Km da Vila Residencial Atroar�_. Canteiro de obras de Balbina.",NA,NA,NA,NA,NA,"Ouratea pendulosepala Sastre",NA,NA,NA,NA
