"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","modified","identificationQualifier","infraspecificEpithet","typeStatus","fieldNumber","comments","bibliographicCitation"
"1","Universidade Federal da Bahia (UFBA)","ALCB",126425,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","Guedes, ML","2017-02-01T00:00:00.000+0000","25182","Guedes, ML; Alunos de Botânica BIO C05",2016,10,22,"Brazil","Bahia","Mata de São João","Ponto 01.",-38.283333,-12.516667,"Folhas cartáceas, discolores, face abaxial vilosa, com pêlos ferrugíneos. Inflorescência cimosa, flores em botões.","BRA:UFBA:ALCB:0000126425","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"2","Universidade Federal da Bahia (UFBA)","ALCB",120936,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","Guedes, ML","2015-05-01T00:00:00.000+0000","23409","Guedes, ML; Costa, MA; Costa, TF",2015,5,1,"Brazil","Bahia","Cardeal da Silva","Cardeal da Silva.",-37.933333,-11.933333,"Folhas cartáceas, discolores, vilosas. Inflorescência cimosa, flores em botões vilosos. Frutos jovens, vilosos.","BRA:UFBA:ALCB:0000120936","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"4","UFPB","JPB",57814,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","Melo, JIM","2016-05-04T00:00:00.000+0000","3984","Nusbaumer, L; Spichiger, R",2014,4,30,"Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada, Localité de Quebrangulo.",-36.44886,-9.253072,"arbuste, 3 m; calice persistant se déchirant, fr. mature blancs charnus; récolte photographiée in situ; échantillon séché à l'air chaud.; Forêt ombrophile submontagnarde partiellement dégradée, arête;","BRA:UFPB:JPB:0000057814","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"5","Universidade Federal da Bahia (UFBA)","ALCB",105350,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","Guedes, ML; Queiroz, EP","2012-09-01T00:00:00.000+0000","63","Mattos Andrade, PE de; Texeira, SR; Oliveira, D; Guedes, ML",2012,7,17,"Brazil","Bahia","Salvador","Região Metropolitana Salvador, Ilha dos Frades",-38.5,-12.966667,"de ca 12m de altura. Folhas discolores. Frutos imaturos verdes.","BRA:UFBA:ALCB:0000105350","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"6","Universidade Federal da Bahia (UFBA)","ALCB",105281,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","Guedes, ML","2012-09-01T00:00:00.000+0000","19896","Guedes, ML; Queiroz, EP; Teixeira, SR; Mattos Andrade, PE de",2012,7,3,"Brazil","Bahia","Salvador","Região Metropolitana Salvador, Plataforma, Morro do Oitero. Área antropizada",-38.5,-12.966667,"de ca 9 m de altura. Folhas coriáceas, discolores, face abaxial pubescente. Inflorescência passada.","BRA:UFBA:ALCB:0000105281","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"7","UEFS","HUEFS",182467,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf",NA,NA,"951","Popovkin, A.V.",2011,10,26,"Brazil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.",-38.05,-12.016667,"Atlantic forest.","BRA:UEFS:HUEFS:0000182467","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"8","UEFS","HUEFS",167983,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf",NA,NA,"816","Popovkin, A.V.",2010,12,22,"Brazil","Bahia","Entre Rios","Azevedo.",-38.016667,-12.033333,"Riparian Forest.","BRA:UEFS:HUEFS:0000167983","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"9","NY","NY",1163877,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf",NA,NA,"533","M. N. SÃ¡nchez de Stapf",2006,3,26,"Brazil","Bahia",NA,"Estrada Esplanada. BA 235",-37.82,-12.3,NA,"4eee0cdf-b9e7-4746-a7b0-748916ca68ff","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"11","UEFS","HUEFS",92645,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","M.N.S.Stapf","2007-10-01T00:00:00.000+0000","378","Carvalho-Sobrinho, J.G.de",2005,3,13,"Brazil","Bahia","Salvador","Estrada do Cia.",-38.366667,-12.85,"Mata higrófila secundária.","BRA:UEFS:HUEFS:0000092645","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"12","UEFS","HUEFS",49357,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","M.N.S.Stapf","2007-10-01T00:00:00.000+0000","1136","Jesus, N.G.",2000,3,23,"Brazil","Bahia","Entre Rios","RPPN Fazenda Lontra/Saudade.",-40.215556,-12.915278,"Floresta subperenifolia.","BRA:UEFS:HUEFS:0000049357","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
