"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"NY","NY","1043643","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","M. N. SÃ¡nchez de Stapf","2007-01-01T00:00:00.000+0000","ISOTYPE","s.n.","N. T. Ranga",2003,2,21,"Brazil","SÃ£o Paulo",NA,"EstaÃ§ao EcolÃ³logica.",-49.3805814430544,-20.0340978441335,NA,"962563f0-d361-4f00-ad71-75009d041721","Cordia tarodae M.Stapf"
"2",NA,"UNICAMP","UEC","82557","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","Taroda, N.",NA,NA,"489","Stranghetti, V.",1995,4,12,"Brazil","São Paulo","Paulo de Faria","Estação ecológica de Paulo de Faria, perto da entrada (estação de coleta 1)",-49.516667,-19.916667,"Árvore, ca. 8m, fruto.; Beira da mata.","BRA:UNICAMP:UEC:0000082557","Cordia tarodae M.Stapf"
"3",NA,"UNESPSJRP","SJRP","12921","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf",NA,NA,NA,"5749","Souza, V.C.",1994,4,15,"Brazil","São Paulo","Pindorama","est. Do IAC",-48.924444,-21.223611,"Geografia: Árvore, 12m alt., frutos imaturos verdes.;","BRA:UNESPSJRP:SJRP:0000012921","Cordia tarodae M.Stapf"
"4",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA015684","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","Ranga, N.T.",NA,NA,"5749","Souza, V.C. et al.",1994,4,15,"Brazil","São Paulo","Pindorama",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA015684","Cordia tarodae M.Stapf"
"5",NA,"Universidade Estadual de Londrina, UEL","FUEL","9516","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","Vieira, AOS","2015-05-07T00:00:00.000+0000","PARATYPE","1477","Francisco das Chagas e Silva; et al.",1991,12,18,"Brazil","Paraná","Ibiporã","Fazenda Doralice",0,0,"Árvore com 15m altura, botões florais esverdeados, flores brancas, bastante meliferas, pouco frequente","BRA:UEL:FUEL:0000009516","Cordia tarodae M.Stapf"
"6",NA,"UNESPSJRP","SJRP","18634","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","F. das Chagas e Silva","1995-01-01T00:00:00.000+0000",NA,"1477","F. Chagas e Silva",1991,12,18,"Brazil","Paraná","Ibiporã","fazenda doralice",NA,NA,"Geografia: árvore com 15 m, botões florais esverdeados, flores brancas.;","BRA:UNESPSJRP:SJRP:0000018634","Cordia tarodae M.Stapf"
"7",NA,"UEFS","HUEFS","221271","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf",NA,NA,NA,"1477","Chagas e Silva, F.",1991,12,18,"Brazil","Paraná","Ibiporã","Fazenda Doralice.",NA,NA,NA,"BRA:UEFS:HUEFS:0000221271","Cordia tarodae M.Stapf"
"8",NA,"UTFPR","DVPR","844","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","Stapf, M.",NA,NA,"1477","Chagas-e-Silva, F.; et al.; et al.",1991,12,18,"Brazil","Paraná","Ibiporã","Fazenda Doralice",0,0,"Árvore 15 m, botões florais esverdeados, flores brancas, bastante melíferas, pouco frequente.","BRA:UTFPR:DVPR:0000000844","Cordia tarodae M.Stapf"
"9",NA,"Fundação Universidade Federal de Mato Grosso do Sul (UFMS)","CGMS","63845","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","M. Stapf",NA,"PARATYPE","1477","F. de Chagas e Silva",1991,12,18,"Brazil","Paraná","Ibiporã","Fazenda Doralice.",NA,NA,"Botões florais esverdeados. Bastante meliferas, pouco frequente. HABITO:Árvore. 15 m de altura.;FLOR:Flores brancas.;","BRA:UFMS:CGMS:0000063845","Cordia tarodae M.Stapf"
"10",NA,"UNICAMP","UEC","188658","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","Stapf, M.N.S.",NA,NA,"1477","Chagas e Silva, F.; et al.",1991,12,18,"Brazil","Paraná","Ibiporã","Fazenda Doralice",0,0,"Árvore com 15m de altura, botões florais esverdeados, flores brancas, bastante meliferas, pouco frequente.","BRA:UNICAMP:UEC:0000188658","Cordia tarodae M.Stapf"
"11",NA,"UEFS","HUEFS","88414","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","M.N.S.Stapf","2007-10-01T00:00:00.000+0000",NA,"132","Pirani, J.R.",1981,12,27,"Brazil","São Paulo","Penápolis","Próximo do Rio Lajeado.",NA,NA,NA,"BRA:UEFS:HUEFS:0000088414","Cordia tarodae M.Stapf"
"12",NA,"Universidade Estadual de Londrina, UEL","FUEL","11440","Cordia tarodae M.Stapf","Ehretiaceae","Cordia","tarodae","M.Stapf","Vieira, AOS","2015-05-07T00:00:00.000+0000",NA,"1586","Francisco das Chagas e Silva",1992,1,16,"Brazil","Paraná","Ibiporã","Fazenda Doralice",0,0,"Árvore 15 m alt.; botões florais esverdeados, flores brancas, melifera, pouco frequente.","BRA:UEL:FUEL:0000011440","Cordia tarodae M.Stapf"
