"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceID","acceptedNameUsage","modified","identificationQualifier","infraspecificEpithet","fieldNumber","occurrenceRemarks","comments","bibliographicCitation"
"1","Universidade Federal de Minas Gerais (UFMG)","BHCB","176189","Ocotea grandifructa L.C.S.Assis & M.F.Santos","Lauraceae","Ocotea","grandifructa","L.C.S.Assis & M.F.Santos",NA,"2014-01-01T00:00:00.000+0000",NA,415,"Santos, MF; Marques, JBC",2008,10,25,"Brazil","Minas Gerais","Itambé do Mato Dentro","APA do Parque Nacional da Serra do Cipó, Cabeça de Boi, Mata do Cachoeirão",-43.432786,-19.431667,"BRA:UFMG:BHCB:0000176189","Ocotea grandifructa L.C.S.Assis & M.F.Santos",NA,NA,NA,NA,NA,NA,NA
"2","USP","SPF","199539","Ocotea grandifructa L.C.S.Assis & M.F.Santos","Lauraceae","Ocotea","grandifructa","L.C.S.Assis & M.F.Santos","Santos, MF","2014-01-01T00:00:00.000+0000","PARATYPE",415,"Santos, MF",2008,10,25,"Brazil","Minas Gerais","Itambé do Mato Dentro","APA Parque Nacional da Serra do Cipó, Distrito de Santana do Rio Preto (Cabeça de Boi). Mata do Cachoeirão.",-43.432861,-19.431861,"BRA:USP:SPF:0000199539","Ocotea grandifructa L.C.S.Assis & M.F.Santos",NA,NA,NA,NA,NA,NA,NA
