"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","dateIdentified","day","comments"
"1","2015-09-30T08:40:54.000+0000","MNHN","P","P00128530","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.","Kopp","ISOTYPE",NA,2766,"Spruce, R.",1852,10,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128530",NA,"Persea benthamiana Meisn.",NA,NA,NA,NA,NA
"2","2010-08-16T16:07:20.000+0000","Harvard University","GH","barcode-00042155","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"ISOTYPE","2766",2766,"R. Spruce",1852,10,"Brazil",NA,NA,"Prope Panure ad Rio Uaupes",NA,NA,NA,NA,NA,"Persea benthamiana Meisn.",NA,NA,NA,NA,NA
"3",NA,"W","Herbarium W","1889-0279270","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.","C. K. Allen 1967",NA,NA,NA,"Spruce,R.",1852,10,"Brazil",NA,NA,"Prope Panurè ad Rio Uaupés [Río Vaupés].",NA,NA,NA,NA,NA,"Persea benthamiana Meisn.",NA,NA,NA,NA,NA
"4","2013-03-04T00:00:00.000+0000","AWH",NA,"BR0000080019206","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"ISOLECTOTYPE","2766",NA,"Spruce R.",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000080019206",NA,"Persea benthamiana Meisn.",NA,NA,NA,NA,NA
"5","2009-03-05T18:12:58.000+0000","K","Herbarium","K000602087","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,NA,"2766",NA,"Spruce, R.",NA,NA,"Brazil",NA,NA,"In [illegible] secus cataractas fl. Uaupés",NA,NA,"Associated with K000602088","http://specimens.kew.org/herbarium/K000602087",NA,"Persea benthamiana Meisn.",NA,NA,NA,NA,NA
"6",NA,"NHMUK","BOT","BM000993943","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"ISOTYPE","2766",2766,"Richard Spruce",NA,NA,"Brazil",NA,NA,NA,-53.08982,-10.773109,NA,"f5f38d29-390b-4c5d-814b-4450da891676",NA,"Persea benthamiana Meisn.",NA,NA,NA,NA,NA
"7",NA,"B","FMNH-B-Types","3558","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"HOLOTYPE","2766",NA,"R. Spruce",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Persea benthamiana Meisn.",NA,NA,NA,NA,NA
"8","2009-03-05T18:15:09.000+0000","K","Herbarium","K000602088","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,NA,"2766",NA,"Spruce, R.",NA,NA,"Brazil",NA,NA,"Prope Panuré ad Rio Uaupés",NA,NA,"Associated with K000602087","http://specimens.kew.org/herbarium/K000602088",NA,"Persea benthamiana Meisn.",NA,NA,NA,NA,NA
"9",NA,"G","Geneva Herbarium – General Collection (G)","G-G-266768/2","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"ISOTYPE",NA,NA,"Spruce, R. (Coll. Delessert)",NA,NA,"Brazil",NA,NA,"Brésil - ad Rio Maupès prope Panurè",-53.08972,-10.77306,NA,NA,NA,"Persea benthamiana Meisn.",NA,NA,NA,NA,NA
"10",NA,"NY","NY","355808","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"ISOTYPE","2766",NA,"R. Spruce",1822,10,"Brazil","Amazonas",NA,"Prope Panuré ad Rio Uaupés.",-68.512137,0.225176,NA,"ffc66b0b-237e-4103-9e95-0a8424952ac0",NA,"Persea benthamiana Meisn.",NA,NA,NA,NA,NA
