"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"IF","SPSF","51152","Mezilaurus glabriantha F.M.Alves & V.C.Souza",NA,"Lauraceae","Mezilaurus","glabriantha","F.M.Alves & V.C.Souza","P.L.R. de Moraes","2015-01-21T00:00:00.000+0000",NA,"4577A","P.L.R.Moraes et al.",2015,1,21,"Brazil","Es","Linhares","Reserva Natural Vale, Marco de Ferro",-39.968889,-19.097778,"COLETA: Árvore 20m, flores esverdeadas.;","BRA:IF:SPSF:0000051152",NA,"Mezilaurus glabriantha F.M.Alves & V.C.Souza"
"2","2016-03-31T05:15:00.000+0000","MO","MO","100873111","Mezilaurus glabriantha F.M.Alves & V.C.Souza","cf.","Lauraceae","Mezilaurus","glabriantha","F.M.Alves & V.C.Souza","P. L. R. de Moraes","2015-01-01T00:00:00.000+0000",NA,"Moraes 4637","Pedro L.R. de Moraes|H. van der Werff|M. Vergne|Tiago Arruda Pontes|M. Cruz",2015,1,23,"Brazil","Espírito Santo",NA,"Reserva Natural Vale.",-39.903722,-19.085722,NA,"urn:catalog:MO:Tropicos:100873111","http://www.tropicos.org/Specimen/100873111","Mezilaurus glabriantha F.M.Alves & V.C.Souza"
"3",NA,"IF","SPSF","51134","Mezilaurus glabriantha F.M.Alves & V.C.Souza",NA,"Lauraceae","Mezilaurus","glabriantha","F.M.Alves & V.C.Souza","P.L.R. de Moraes","2015-01-23T00:00:00.000+0000",NA,"4637","P.L.R.Moraes et al.",2015,1,23,"Brazil","Es","Linhares","Reserva Natural Vale",-39.970278,-19.1075,"COLETA: Tree 20m, flowers greenish.&nf;Árvore de 20m com flores esverdeadas.;","BRA:IF:SPSF:0000051134",NA,"Mezilaurus glabriantha F.M.Alves & V.C.Souza"
"4",NA,"IF","SPSF","51137","Mezilaurus glabriantha F.M.Alves & V.C.Souza",NA,"Lauraceae","Mezilaurus","glabriantha","F.M.Alves & V.C.Souza","P.L.R.de Moraes","2015-01-21T00:00:00.000+0000",NA,"4577","P.L.R.Moraes et al.",2015,1,21,"Brazil","Es","Linhares","Reserva Natural Vale, Marco de Ferro",-39.968889,-19.097778,"COLETA: Árvore 20m, flores esverdeadas.;","BRA:IF:SPSF:0000051137",NA,"Mezilaurus glabriantha F.M.Alves & V.C.Souza"
"5","2016-03-31T05:15:00.000+0000","MO","MO","100871160","Mezilaurus glabriantha F.M.Alves & V.C.Souza",NA,"Lauraceae","Mezilaurus","glabriantha","F.M.Alves & V.C.Souza","P.L. R. de Moraes","2015-01-01T00:00:00.000+0000",NA,"Moraes 4577","Pedro L.R. de Moraes|H. van der Werff|M. Vergne|Tiago Arruda Pontes|M.A.V. Cruz",2015,1,21,"Brazil","Espírito Santo",NA,"Reserva Natural Vale, Marco de Ferro.",-39.968889,-19.097778,NA,"urn:catalog:MO:Tropicos:100871160","http://www.tropicos.org/Specimen/100871160","Mezilaurus glabriantha F.M.Alves & V.C.Souza"
"6",NA,"Universidade Estadual Paulista, UNESP","HRCB","61497","Mezilaurus glabriantha F.M.Alves & V.C.Souza",NA,"Lauraceae","Mezilaurus","glabriantha","F.M.Alves & V.C.Souza","Moraes, P.","2013-10-26T00:00:00.000+0000",NA,"865","Siqueira, G.S.",2013,3,18,"Brazil","ESão Pauloírito Santo","Linhares",NA,-39.968917,-19.09775,"Árvore, altura total 12 m., fuste cilíndrico, Fruto imaturo verde, Fruto maduro preto, Exsudação seiva incolor. <ll>dwc_commonname:</ll> Canela de pombo","BRA:UNESPRC:HRCB:0000061497",NA,"Mezilaurus glabriantha F.M.Alves & V.C.Souza"
"7",NA,"Universidade Estadual Paulista, UNESP","HRCB","56146","Mezilaurus glabriantha F.M.Alves & V.C.Souza",NA,"Lauraceae","Mezilaurus","glabriantha","F.M.Alves & V.C.Souza",NA,NA,NA,"3251","Moraes, P.L.R. de",2011,9,12,"Brazil","ESão Pauloírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia",NA,NA,"Árvore nº450, 10m, botões florais verdes.","BRA:UNESPRC:HRCB:0000056146",NA,"Mezilaurus glabriantha F.M.Alves & V.C.Souza"
"8",NA,"Universidade Estadual Paulista, UNESP","HRCB","56147","Mezilaurus glabriantha F.M.Alves & V.C.Souza",NA,"Lauraceae","Mezilaurus","glabriantha","F.M.Alves & V.C.Souza",NA,NA,NA,"3252","Moraes, P.L.R. de",2011,9,12,"Brazil","ESão Pauloírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia",NA,NA,"Árvore nº293, 15m, estéril.","BRA:UNESPRC:HRCB:0000056147",NA,"Mezilaurus glabriantha F.M.Alves & V.C.Souza"
"9",NA,"UNICAMP","UEC","150768","Mezilaurus glabriantha F.M.Alves & V.C.Souza",NA,"Lauraceae","Mezilaurus","glabriantha","F.M.Alves & V.C.Souza","Alves, F.M.","2014-03-17T00:00:00.000+0000",NA,"1012","Barbosa, T.D.M.; Alves, F.M.",2008,11,11,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia., Trilha Seca depois do entroncamento com a trilha do Sagui.",0,0,"Árvore 13 m. Corte sem cheiro. Tronco avermelhado. Botões estragados.","BRA:UNICAMP:UEC:0000150768",NA,"Mezilaurus glabriantha F.M.Alves & V.C.Souza"
"10",NA,"UNICAMP","UEC","150769","Mezilaurus glabriantha F.M.Alves & V.C.Souza",NA,"Lauraceae","Mezilaurus","glabriantha","F.M.Alves & V.C.Souza","Alves, F.M.","2014-03-17T00:00:00.000+0000",NA,"1013","Barbosa, T.D.M.; Alves, F.M.",2008,11,11,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia., Trilha Seca depois do entroncamento com a trilha do Sagui.",0,0,"Árvore 15 m. Corte sem cheiro. Tronco avermelhado. Apenas folhas jovens e poucas inflorescências. Botões.","BRA:UNICAMP:UEC:0000150769",NA,"Mezilaurus glabriantha F.M.Alves & V.C.Souza"
