"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"18",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","176684","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello",NA,"2010-01-01T00:00:00.000+0000","ISOTYPE","447","Brotto, ML; Mancinelli, WS",2010,5,7,"Brazil","Paraná","Morretes","Serra da Prata, Torre da Prata",-48.698333,-25.618611,NA,"BRA:UFMG:BHCB:0000176684",NA,"Ocotea marumbiensis Brotto & Baitello"
"20",NA,"IF","SPSF","44628","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","J.B.Baitello",NA,NA,"439","M.L.Brotto",2010,5,2,"Brazil","Pr","Morretes","Pico Marumbi",-48.914444,-25.448611,"COLETA: Floresta Ombrófila Densa Montana&nf;Árvore 4m altura, flores alvo-esverdeadas.; GEOGRAFIA: Trilha Noroeste.&nf;Árvore 03.;","BRA:IF:SPSF:0000044628",NA,"Ocotea marumbiensis Brotto & Baitello"
"22",NA,"IF","SPSF","44626","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","M.L.Brotto",NA,NA,"437","M.L.Brotto",2010,5,2,"Brazil","Pr","Morretes","Pico Marumbi",-48.914444,-25.448611,"COLETA: Floresta Ombrófila Densa Montana&nf;Árvore 6m altura, flores alvo-esverdeadas e frutos imaturos.; GEOGRAFIA: Trilha Noroeste.&nf;Árvore 01.;","BRA:IF:SPSF:0000044626",NA,"Ocotea marumbiensis Brotto & Baitello"
"23","2017-10-07T19:22:11.000+0000","JBRJ","RB","RB00722493","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","M.L. Brotto",NA,NA,"437","M.L. Brotto",2010,5,2,"Brazil","Paraná","Morretes","Trilha noroeste. Parque Estadual do Pico do Marumbi",-48.914444,-25.448611,"Árvore de 6 metros de altura, flores esverdeadase frutos imaturos.","urn:catalog:JBRJ:RB:722493",NA,"Ocotea marumbiensis Brotto & Baitello"
"24",NA,"Universidade Regional de Blumenau, FURB","FURB","33925","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, ML","2013-06-14T00:00:00.000+0000",NA,"364","Stival-Santos, A.",2010,5,21,"Brazil","Santa Catarina","Santo Amaro da Imperatriz","Parque Estadual do Tabuleiro.",-48.78,-27.72,"Fito IFFSC 286 /L/87","BRA:FURB:FURB:0000033925",NA,"Ocotea marumbiensis Brotto & Baitello"
"25",NA,"IF","SPSF","44625","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","J.B.Baitello",NA,NA,"447","M.L.Brotto & W.Mancinelli",2010,5,7,"Brazil","Pr","Morretes","Serra da Prata",-48.698333,-25.618611,"COLETA: Floresta Ombrófila Densa Montana&nf;Árvore 10m altura, DAP 18cm; casca lenticelada, madeira odorífera, flores esverdeadas e frutos imaturos.; GEOGRAFIA: Torre da Prata;","BRA:IF:SPSF:0000044625",NA,"Ocotea marumbiensis Brotto & Baitello"
"31",NA,"UFPR","UPCB","77921","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, M.L.","2012-10-02T00:00:00.000+0000",NA,"438","Brotto, M.L.",2010,5,2,"Brazil","Paraná","Morretes","P.E. Pico do Marumbi, Trilha Noroeste.",-48.914444,-25.448611,"Árvore de 6m de alt., flores esverdeadas. Floresta Ombrófila Densa Montana, altitude 1230m.s.n.m..","BRA:UFPR:UPCB:0000077921",NA,"Ocotea marumbiensis Brotto & Baitello"
"32",NA,"UFPR","UPCB","77920","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, M.L.","2012-10-02T00:00:00.000+0000",NA,"439","Brotto, M.L.",2010,5,2,"Brazil","Paraná","Morretes","P.E. Pico do Marumbi, Trilha Noroeste.",-48.914444,-25.448611,"Árvore de 4m de altura, flores esverdeadas e frutos imaturos. Floresta Ombrófila Densa Montana, alt: 1230m.s.n.m..","BRA:UFPR:UPCB:0000077920",NA,"Ocotea marumbiensis Brotto & Baitello"
"33",NA,"Universidade Regional de Blumenau, FURB","FURB","28835","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, ML","2013-06-14T00:00:00.000+0000",NA,"2598","Schmitt, J.L.",2010,6,1,"Brazil","Santa Catarina","São Martinho","Chicão - Vargem do Cedro/Parque Estadual da Serra do Tabuleiro.",-48.87,-28.08,"Coleta Extra IFFSC (Arbórea)","BRA:FURB:FURB:0000028835",NA,"Ocotea marumbiensis Brotto & Baitello"
"34",NA,"Universidade Regional de Blumenau, FURB","FURB","30461","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, ML","2013-06-14T00:00:00.000+0000",NA,"5040","Verdi, M.",2010,6,15,"Brazil","Santa Catarina","São Martinho","Hoepers/Vargem do Cedro/Parque Estadual da Serra do Tabuleiro.",-48.87,-28.08,"Fito IFFSC 173 /S/1","BRA:FURB:FURB:0000030461",NA,"Ocotea marumbiensis Brotto & Baitello"
