"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","comments"
"1","2017-10-18T00:47:38.000+0000","JBRJ","RB","RB00466876","Persea splendens Meisn.","Lauraceae","Persea","splendens",NA,"Meisn.","HENRIQUE LAUAND RIBEIRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indeterminado",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:466876",NA,"Persea splendens Meisn.",NA,NA
"2","2006-03-02T14:23:36.000+0000","JBRJ","RB","RB00134548","Persea splendens Meisn.","Lauraceae","Persea","splendens",NA,"Meisn.","I de Vattimo","1964-01-01T00:00:00.000+0000",NA,NA,NA,NA,1950,5,29,"Brazil","Minas Gerais","Ituiutaba","S. Vicente.",NA,NA,"Árvore campestre à margem de regato. Flores amareladas.","urn:catalog:JBRJ:RB:134548",NA,"Persea splendens Meisn.",NA,NA
