"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","comments","bibliographicCitation","acceptedNameUsage"
"34","","","SPF","18672","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","Werff, H van der","1990-01-01","","CFSC7080","","Cordeiro, I","1981","3","1","brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Mata ciliar do Córrego Três Pontinhas.","-43.645093","-19.189098","","","centroide mpo (0)","GBIF","Persea splendens Meisn."
"35","","","SPSF","10908","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","","","","","","I.Cordeiro","1981","3","1","brazil","Mg","Santana do Riacho","mata ciliar","-43.645093","-19.189098","COLETA: XLS: SPSFAntigo;","","centroide mpo","GBIF","Persea splendens Meisn."
"36","","","RB","RB00134562","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","Lucille E Kopp","1958-01-01","","","","J G Kuhlmann","1981","","","brazil","Mato Grosso","Mato Grosso","Utiarity, rio Papagaio.","","","Árvoreta de flores alvas, margens de rio: a resina desta planta e usada para lustrar a ceramica dos Indios Parecis.","","centroide mpo","GBIF","Persea splendens Meisn."
"37","","","SPSF","08586","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","","","","4943","","M.G.Silva & C.Rosario","1979","6","18","brazil","Mt","rodovia Cuiaba-Santarem","campo alagado","","","COLETA: XLS: SPSFAntigo;","","centroide mpo","GBIF","Persea splendens Meisn."
"38","","","UEC","6079","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","Baitello, J.B.","2000-04-15","","3755","","Semir, J.; Joly, A.B.","1973","1","6","brazil","Minas Gerais","Jaboticatubas","km 137 ao longo da Rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.71839","-19.441166","Altura 2,00m. Flores brancas. Árvore. (antigo 138).","","centroide mpo (0)","GBIF","Persea splendens Meisn."
"39","","","UEC","6116","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","Baitello, J.B.","2000-04-15","","4124","","Semir, J.; Sazima, M.; Menezes, N.; Giulietti, A.M.","1973","4","29","brazil","Minas Gerais","Jaboticatubas","Km 115 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina","-43.71839","-19.441166","Pequena árvore.; Mata ciliar","","centroide mpo (0)","GBIF","Persea splendens Meisn."
"40","","","ENCB","NO DISPONIBLE","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","van der Werff","","","","","H. S. Irwin; G. L. Smith; R. M. Harley","1971","3","21","brazil","Goias","","20 km N of Alto do Paraíso","-47.504444","-13.935556","NO DISPONIBLE","","original coordinates","GBIF","Persea splendens Meisn."
"41","","","MO","1901809","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","H. van der Werff (MO)","1984-01-01","","Irwin 32841","","Howard S. Irwin|R.M. Harley|Gary L. Smith","1971","3","21","brazil","Goiás","","Chapada dos Veadeiros. Outcrops. Cerrado on sandstone outcrops with adjacent wet campo (brejo), ca. 20km N. of Alto do Paraíso.","","","","","","GBIF","Persea splendens Meisn."
"42","","","UB","92609","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","Moraes, PLR","","","32841","","Irwin, HS","1971","3","","brazil","Goiás","Alto Paraíso de Goiás","Alto Paraíso de Goiás, 20km ao N de Alto Paraíso de Goiás","-47.516667","-14.116667","","","original coordinates","GBIF","Persea splendens Meisn."
"43","","","RB","RB00134538","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","Henk van der Werff","1984-01-01","","89","","Antônio Eupunino.","1971","12","11","brazil","Bahia","Santa Cruz de Cabrália","Res. Bio. do Pau-Brasil.","","","Árvore de 10m. de alt., fl. amarela.","","centroide mpo","GBIF","Persea splendens Meisn."
