"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"F","Botany",NA,"Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"HOLOTYPE","2766",NA,"R. Spruce",1852,10,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"83b326d3-a784-4713-9c9b-c6b4d3010478",NA,"Persea benthamiana Meisn."
"2","2011-03-24T08:54:00.000+0000","MO","MO","1559982","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"ISOTYPE","Spruce 2766",NA,"Richard Spruce",1852,10,"Brazil","Amazonas",NA,"Prope Panuré ad Rio Vaupés.",NA,NA,NA,"urn:catalog:MO:Tropicos:1559982","http://www.tropicos.org/Specimen/1559982","Persea benthamiana Meisn."
"3","2008-10-28T13:07:17.000+0000","JBRJ","RB","RB00539279","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"ISOTYPE","2766",NA,"Spruce, R.",1852,10,"Brazil","Amazonas","Amazonas","Panuré, rio Uaupés.",NA,NA,NA,"urn:catalog:JBRJ:RB:539279",NA,"Persea benthamiana Meisn."
"4","2015-09-16T19:12:32.000+0000","MNHN","P","P00128531","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.","Kopp","ISOTYPE",NA,"2766","Spruce, R.",1852,10,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128531",NA,"Persea benthamiana Meisn."
"5","2015-09-30T08:40:54.000+0000","MNHN","P","P00128530","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.","Kopp","ISOTYPE",NA,"2766","Spruce, R.",1852,10,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128530",NA,"Persea benthamiana Meisn."
"6","2010-08-16T16:07:20.000+0000","Harvard University","GH","barcode-00042155","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"ISOTYPE","2766","2766","R. Spruce",1852,10,"Brazil",NA,NA,"Prope Panure ad Rio Uaupes",NA,NA,NA,NA,NA,"Persea benthamiana Meisn."
"7",NA,"W","Herbarium W","1889-0279270","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.","C. K. Allen 1967",NA,NA,NA,"Spruce,R.",1852,10,"Brazil",NA,NA,"Prope Panurè ad Rio Uaupés [Río Vaupés].",NA,NA,NA,NA,NA,"Persea benthamiana Meisn."
"8",NA,"NY","NY","355808","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"ISOTYPE","2766",NA,"R. Spruce",1822,10,"Brazil","Amazonas",NA,"Prope Panuré ad Rio Uaupés.",-68.512137,0.225176,NA,"ffc66b0b-237e-4103-9e95-0a8424952ac0",NA,"Persea benthamiana Meisn."
"9","2009-10-15T00:00:00.000+0000","BR",NA,"BR0000008766366","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"TYPE","2766",NA,"Spruce R.",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000008766366",NA,"Persea benthamiana Meisn."
"10","2013-03-04T00:00:00.000+0000","AWH",NA,"BR0000080019206","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"ISOLECTOTYPE","2766",NA,"Spruce R.",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000080019206",NA,"Persea benthamiana Meisn."
