"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","fieldNumber","comments"
"1","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","218293","Iryanthera dialyandra Ducke",NA,"Myristicaceae","Iryanthera","dialyandra","Ducke","Formiga, K.M.","2005-05-01T00:00:00.000+0000",NA,"2840","Amaral, IL do",2004,3,31,"Brazil","Amazonas",NA,"Rio Urucu, base da Petrobras, Igarapé da Onça, floresta de restinga alta na margem do igarapé.",-65,-4,NA,"urn:catalog:inpa:herbarium:6407",NA,"Iryanthera dialyandra Ducke",NA,NA,NA
"2",NA,"Instituto de Botânica, IBT","SP","331541","Iryanthera dialyandra Ducke",NA,"Myristicaceae","Iryanthera","dialyandra","Ducke","Rodrigues, WA","1994-07-01T00:00:00.000+0000",NA,"2849","Ramos, JF; Silva, CF",1994,6,17,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Trilha da estação meteorológica à lateral norte.",-59.966667,-2.883333,NA,"BRA:IBt:SP:0000331541",NA,"Iryanthera dialyandra Ducke",NA,NA,NA
"3",NA,"NY","NY","01479900","Iryanthera dialyandra Ducke",NA,"Myristicaceae","Iryanthera","dialyandra","Ducke",NA,NA,NA,"2849","J. F. Ramos",1994,6,17,"Brazil","Amazonas",NA,"Trilha da estaÃ§Ã£o meteorolÃ³gica Ã  lateral norte.",-59.966667,-2.883333,NA,"3b1a09f1-e380-4bf3-87a7-a8cdd074fe18",NA,"Iryanthera dialyandra Ducke",NA,NA,NA
"4",NA,"UFPR","UPCB","25185","Iryanthera dialyandra Ducke",NA,"Myristicaceae","Iryanthera","dialyandra","Ducke","Rodrigues, W.A.","1994-07-01T00:00:00.000+0000",NA,"2849","Ramos, J.F.",1994,6,17,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26",-59.966667,-2.883333,"Arvoreta, 6m, resina creme, flor verde-amarelada. Trilha da estação meteorológica à lateral norte..","BRA:UFPR:UPCB:0000025185",NA,"Iryanthera dialyandra Ducke",NA,NA,NA
"5",NA,"Universidade Federal do Ceará, UFC","EAC","40033","Iryanthera dialyandra Ducke",NA,"Myristicaceae","Iryanthera","dialyandra","Ducke",NA,NA,NA,"417","Tavares, A.S.",1991,7,16,"Brazil","Amazonas","Tefé","Estrada do Luc 3 - Porto Urucú.",0,0,"Árvore de 12m; inflorescência feminina; pétala branca; botões florais com flores ferrugíneas; fruto verde, muito jovem.","BRA:UFC:EAC:0000040033",NA,"Iryanthera dialyandra Ducke",NA,NA,NA
"6",NA,"NY","NY","01067902","Iryanthera dialyandra Ducke",NA,"Myristicaceae","Iryanthera","dialyandra","Ducke","W. A. Rodrigues","1994-01-01T00:00:00.000+0000",NA,"8494","C. A. Cid Ferreira",1986,11,21,"Brazil","Amazonas",NA,"MunicÃ­pio de AmaturÃ¡, rio Solimoes, margem direita, prÃ³ximo a localidade Sao Domingos",-67.92,-3.32,NA,"7c8e0f94-1c3c-4f75-82bb-c49dc88a445c",NA,"Iryanthera dialyandra Ducke",NA,NA,NA
"7",NA,"UFPR","UPCB","31501","Iryanthera dialyandra Ducke",NA,"Myristicaceae","Iryanthera","dialyandra","Ducke","Rodrigues, W.A.","1997-09-01T00:00:00.000+0000",NA,NA,"Henderson, A.J.",1985,5,9,"Brazil","Amazonas","Borba","BR 230, estrada Transamazonica, 9km E of Sucunduri.",-59,-6.833333,"Tree, 3m, inflorescence white. Terra firme forest..","BRA:UFPR:UPCB:0000031501",NA,"Iryanthera dialyandra Ducke",NA,NA,NA
"8","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","202011","Iryanthera dialyandra Ducke",NA,"Myristicaceae","Iryanthera","dialyandra","Ducke","Rodrigues, W.A.","1985-01-01T00:00:00.000+0000",NA,"1109423","Ackerly, DD",1985,6,20,"Brazil","Amazonas",NA,"Distrito Agropecuário, ZF3, Distrito Agropecuário da SUFRAMA, Rodovia BR-174, km 64, depois 34 km leste na ZF-3, Fazenda Esteio.",-59.83,-2.416667,NA,"urn:catalog:inpa:herbarium:1722",NA,"Iryanthera dialyandra Ducke",NA,NA,NA
"9","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","142538","Iryanthera dialyandra Ducke",NA,"Myristicaceae","Iryanthera","dialyandra","Ducke","Rodrigues, W.A.","1985-01-01T00:00:00.000+0000",NA,"1102.1","Ackerly, DD",1985,6,26,"Brazil","Amazonas",NA,"""Distrito Agropecuário, ZF3, Distrito Agropecuário da SUFRAMA, rodovia BR-174, Km 64, depois 27 Km leste no ZF-3, Fazenda Esteio. Reserva No. 1102 do projeto """"Dinamicas Biologicas de Fragmentos Florestais"""".""",-59.83,-2.416667,NA,"urn:catalog:inpa:herbarium:1709",NA,"Iryanthera dialyandra Ducke",NA,NA,NA
"10",NA,"NY","NY","1479901","Iryanthera dialyandra Ducke",NA,"Myristicaceae","Iryanthera","dialyandra","Ducke",NA,NA,NA,"s.n.","D. D. Ackerly",1985,6,26,"Brazil","Amazonas",NA,"Manaus.  Distrito Agropecuário da Suframa, Rodovia BR-174, km 64, depois 34 km Leste na ZF-3, Fazenda Esteio. Reserva nº 1302. Árvore nº 4421.",-59.81096,-2.435061,NA,"a25e3314-ab7e-4689-9626-fc06f805bdd9",NA,"Iryanthera dialyandra Ducke",NA,NA,NA
