"","institutionCode","catalogNumber","recordedBy"
"1","Instituto Nacional de Pesquisas da Amazônia (INPA)","176883","Mac̻do, M"
"2","Instituto Nacional de Pesquisas da Amazônia (INPA)","164592","Mac̻do, M"
"3","Instituto Nacional de Pesquisas da Amazônia (INPA)","151010","Thomas, WW"
"4","Instituto Nacional de Pesquisas da Amazônia (INPA)","98346","Pires, JM"
"5","Instituto Nacional de Pesquisas da Amazônia (INPA)","42790","Prance, GT"
"6","Instituto Nacional de Pesquisas da Amazônia (INPA)","36266","Maguire, B"
