"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","occurrenceRemarks","comments"
"1","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","207254a","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","Costa, M.A.S. da","2013-06-04T00:00:00.000+0000",NA,"82",NA,"Lima, D de A.L.",2000,8,15,"Brazil","Amazonas",NA,"Rio Aiuanã, Margem direita.",NA,NA,"urn:catalog:inpa:herbarium:241664",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","209780","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski",NA,NA,NA,"53",NA,"Lima, D de A.L.",2000,8,12,"Brazil","Amazonas",NA,"Rio Uneiuxi. Igapó.",-64.93,-0.5,"urn:catalog:inpa:herbarium:82309",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"3","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","207457","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","Costa, M.A.S.","2013-05-08T00:00:00.000+0000",NA,"1402",NA,"Roosmalen, MGM van",1999,8,16,"Brazil","Amazonas",NA,NA,-65,-0.4,"urn:catalog:inpa:herbarium:166153",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"4","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","206540","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","Vicentini, A.","1996-04-01T00:00:00.000+0000",NA,"1171",NA,"Vicentini, A",1996,4,3,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Igarapé do Barro Branco próximo a piscina.",-59.97,-2.883333,"urn:catalog:inpa:herbarium:201870",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"5","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","210538","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","Vicentini, A.",NA,NA,"913",NA,"Sothers, CA",1996,10,NA,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Igarapé do Barro Branco próximo a piscina.",-59.97,-2.883333,"urn:catalog:inpa:herbarium:188448",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"6",NA,"US","Botany","3393815","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","Vicentini, A.",NA,NA,"1202",NA,"A. Vicentini & P. A. Assunçao",1996,12,4,"Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26; Igarapé do Barro Branco próximo a piscina.  Floresta de Baixio.",-59.97,-2.88,"http://n2t.net/ark:/65665/34ee878c3-3d61-48dd-99c4-92e0980681d8",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"10",NA,"NY","NY","1183328","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","B. M. Boom","1992-01-01T00:00:00.000+0000",NA,"91/92",NA,"M. do C. E. Amaral",1991,8,28,"Brazil","Amazonas",NA,"Near Manaus. Igapó of Tarumã-mirim, ca. 20 min per motorboat from Rio Negro.",-60.207481,-2.95914,"411120ff-58be-4e99-8c92-df71d5792b00",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"11",NA,"NY","NY","1183353","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","B. M. Boom","1990-01-01T00:00:00.000+0000",NA,"9140",NA,"C. A. Cid Ferreira",1987,8,23,"Brazil","Roraima",NA,"Estrada Manaus-CaracaraÃ­ (BR-174), km 357, prÃ³ximo ao Equador.",-60.652685,-0.004935,"fe4a5a13-3d21-4b6d-a5a6-d914f13c612c",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"12",NA,"NY","NY","1183348","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","B. M. Boom","1990-01-01T00:00:00.000+0000",NA,"9082",NA,"C. A. Cid Ferreira",1987,8,21,"Brazil","Roraima",NA,"Entre os Km 350 e 355 da estrada Manaus-CaracaraÃ­ (BR 174) prÃ³ximo ao Equador.",-60.688991,-0.05343,"61cf5e4d-ac5a-4bb5-9de0-fa78399c3809",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"14","2009-07-24T16:01:00.000+0000","MO","MO","3076982","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","B Boom","1990-01-01T00:00:00.000+0000",NA,"Cid Ferreira 9082",NA,"C.A. Cid Ferreira",1987,NA,NA,"Brazil","Roraima",NA,"Mun. Sao Luiz do Anuauá, Entre kms. De Estrada Manaus-Caracarai proximo ao Equador. Campina fechada, solo arenoso.",-60.75,0,"urn:catalog:MO:Tropicos:3076982","http://www.tropicos.org/Specimen/3076982","Ternstroemia urophora Kobuski",NA,NA,NA,NA
"15",NA,"NY","NY","1183369","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski",NA,NA,NA,"17906",NA,"G. T. Prance",1973,9,14,"Brazil","Amazonas",NA,"Rio Cuieras, 2 Km from Rio Cuieras at 2 Km. below mouth of Rio Branquinho.",-60.3208,-2.5636,"9a327fbf-9619-498a-a2a4-98dc60e1c6ee",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"16","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","21280","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","Rodrigues, W.A.","1972-01-01T00:00:00.000+0000",NA,"39",NA,"Souza, JA de",1968,7,9,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke.",-59.97,-2.883333,"urn:catalog:inpa:herbarium:190557",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"18","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","15417","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski",NA,NA,NA,"6868",NA,"Rodrigues, WA",1965,2,13,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, ao lado da piscina.",-59.97,-2.883333,"urn:catalog:inpa:herbarium:161851",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"21",NA,"F","Botany","V0401645F","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","RRC ID Flag","1972-01-01T00:00:00.000+0000",NA,"6006","6006","W. A. Rodrigues",1964,8,21,"Brazil","Amazonas",NA,"Manaus, Reserva Florestal Ducke",NA,NA,"6129ee8c-d62d-44d7-8fe0-a2d62d410bde",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"23",NA,"NY","NY","1183405","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","W. A. Rodrigues","1972-01-01T00:00:00.000+0000",NA,"4991",NA,"W. A. Rodrigues",1963,2,28,"Brazil","Amazonas",NA,"Reserva Florestal Ducke",-59.928188,-2.95487,"f3beccdf-cfc7-4a33-b198-96195c13dc55",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"29",NA,"NY","NY","1183415","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","W. A. Rodrigues","1972-01-01T00:00:00.000+0000",NA,"s.n.",NA,"J. LuÃ­s",1955,12,28,"Brazil","Amazonas",NA,"Margem do igarapÃ© da BolÃ­var, BR-17, km 19.",-60.0262053899244,-3.1053211279086,"ea38a729-9c06-4316-a820-46f936e4a365",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"30","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","3211","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","Rodrigues, W.A.","1972-01-01T00:00:00.000+0000",NA,"INPA3211",NA,"Co̻lho, LF",1955,12,28,"Brazil","Amazonas",NA,"Margem do igarapé da Bolívia-BR 17.",NA,NA,"urn:catalog:inpa:herbarium:233696",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"34",NA,"NY","NY","1239901","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski",NA,NA,"ISOTYPE","1288",NA,"W. A. Ducke",1943,7,17,"Brazil","Amazonas",NA,"Manaos. Rio TucurmÃ¡,",-60.0262053899244,-3.1053211279086,"91458a43-d6c0-4d6e-bfc6-f8605954d0cb",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"39",NA,"F","Botany","V0401644F","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","RRC ID Flag","1991-01-01T00:00:00.000+0000",NA,"12173/84","12173 /84","B. A. Krukoff",1941,8,3,"Brazil","Amazonas",NA,"basin of Rio Solimoes, Tonantins",NA,NA,"2b3b05c0-bc9c-411d-969e-fcf3055b2980",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"40",NA,"US","Botany","1830968","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","Boom, B. M.",NA,NA,"12173 /84",NA,"R. L. Fróes",1941,8,3,"Brazil","State of Amazonas",NA,"basin of Rio Solimoes, Tonantins.",NA,NA,"http://n2t.net/ark:/65665/3e8637cbf-5ae1-458f-a3b7-147053406305",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"41",NA,"MBM","MBM","238186","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","Boon, B",NA,NA,"9082",NA,"Cid Ferreira, CA",NA,NA,NA,"Brazil","Rondônia","São Luís do Anauá","Rod. BR-174",0,0,"BRA:MBM:MBM:0000238186",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
"42",NA,"MBM","MBM","238185","Ternstroemia urophora Kobuski","Pentaphylacaceae","Ternstroemia","urophora","Kobuski","Boon, B",NA,NA,"9140",NA,"Cid Ferreira, CA",NA,NA,NA,"Brazil","Rondônia","São Luís do Anauá","Rod. BR-174",0,0,"BRA:MBM:MBM:0000238185",NA,"Ternstroemia urophora Kobuski",NA,NA,NA,NA
