"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","modified","identificationQualifier","infraspecificEpithet","identifiedBy","fieldNumber","comments","bibliographicCitation"
"1","MA","MA","716702-1","Cnidoscolus monsanto Fern.Casas","Euphorbiaceae","Cnidoscolus","monsanto","Fern.Casas",NA,NA,"9166","P. H. A. Melo, N. F. O. Mota, R. C. Mota & A. Salino",2003,8,10,"Brazil",NA,NA,"Bahia: Itarantium: Serra da Felicissima, facenda Bom Jardim",-40.09,-15.81,"Floresta estacional semidecidual submontana; fragmento florestal com muitos matacôes de granito no interior",NA,"Cnidoscolus monsanto Fern.Casas",NA,NA,NA,NA,NA,NA,NA
"2","Universidade Federal de Minas Gerais (UFMG)","BHCB","85021","Cnidoscolus monsanto Fern.Casas","Euphorbiaceae","Cnidoscolus","monsanto","Fern.Casas","2004-01-01T00:00:00.000+0000","ISOTYPE","9166","Salino, A; Mota, RC da; Mota, NFO; Melo, PHA de",2003,10,8,"Brazil","Bahia","Itarantim","Serra da Felicissima, fazenda Bom Jardim. Fragmento florestal com muitos matacões de granito no interior",-40.115972,-15.817,NA,"BRA:UFMG:BHCB:0000085021","Cnidoscolus monsanto Fern.Casas",NA,NA,NA,NA,NA,NA,NA
