"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments","bibliographicCitation"
"1",NA,"UFV","VIC","23817","Croton pseudopopulus Baill.","Euphorbiaceae","Croton","pseudopopulus","Baill.","Bival, L.","2013-11-13T00:00:00.000+0000",NA,"2291",NA,"Mota, A.L.P.",1994,11,25,"Brazil","Minas Gerais","Uberlândia","Área 23 Vasco, Mata Mesófila.",0,0,"Casca interna rosa salmão, alburno bege; presença de exsudato aquoso. Botões florais e flores. CAP 36 cm - H 10 m. Indivíduo 2557.","BRA:UFV:VIC:0000023817","Croton pseudopopulus Baill.",NA,NA,NA,NA
"2",NA,"UFV","VIC","23815","Croton pseudopopulus Baill.","Euphorbiaceae","Croton","pseudopopulus","Baill.","Riina, R.","2013-11-13T00:00:00.000+0000",NA,"2276",NA,"Mota, A.L.P.",1994,11,1,"Brazil","Minas Gerais","Uberlândia","Área 23 Vasco",0,0,"Casca interna rosa-salmão, alburno bege, exsudato aquoso presente. Botões florais esverdeados, flores brancas. CAP 36 cm; H 10 m.","BRA:UFV:VIC:0000023815","Croton pseudopopulus Baill.",NA,NA,NA,NA
"3",NA,"UFV","VIC","23816","Croton pseudopopulus Baill.","Euphorbiaceae","Croton","pseudopopulus","Baill.","Bival, L.","2013-11-13T00:00:00.000+0000",NA,"2284",NA,"Mota, A.L.P.",1994,11,16,"Brazil","Minas Gerais","Uberlândia","Indianápolis",0,0,"Casca lisa bege, lenticelada; base do tronco sulcada; casca inerna rosa-vinosa; alburno bege com odor agradável. Flores brancas e botões florais.","BRA:UFV:VIC:0000023816","Croton pseudopopulus Baill.",NA,NA,NA,NA
"4","2014-07-08T07:11:36.000+0000","JBRJ","RB","RB00083224","Croton pseudopopulus Baill.","Euphorbiaceae","Croton","pseudopopulus","Baill.","Inês Cordeiro",NA,NA,"2900",NA,"J. Fontella; R. Paixão 22, C. Farney e D. Garcia",1993,1,22,"Brazil","Rio de Janeiro","Saquarema",NA,NA,NA,"Arbusto ramificado desde o solo, heliofilo, de 1,70 a 2 metros de altura, inflorescências eretas, terminais, de flores amarelas, planta melifera","urn:catalog:JBRJ:RB:83224","Croton pseudopopulus Baill.",NA,NA,NA,NA
"5","2017-10-11T02:14:29.000+0000","JBRJ","RB","RB00083230","Croton pseudopopulus Baill.","Euphorbiaceae","Croton","pseudopopulus","Baill.","Maria Beatriz Rossi Caruzo",NA,NA,"3663",NA,"C. Farney; et al",1992,9,NA,"Brazil","Rio de Janeiro","Saquarema",NA,NA,NA,"Arbusto, estéril, resina alaranjada","urn:catalog:JBRJ:RB:83230","Croton pseudopopulus Baill.",NA,NA,NA,NA
"6","2014-07-08T07:11:36.000+0000","JBRJ","RB","RB00083214","Croton pseudopopulus Baill.","Euphorbiaceae","Croton","pseudopopulus","Baill.","Inês Cordeiro",NA,NA,"3290",NA,"C. Farney; et al",1992,11,18,"Brazil","Rio de Janeiro","Saquarema",NA,NA,NA,"Arbusto com mais ou menos 3,0 metros de altura, folhas verdes discolores, resina amarela/avermelhada, flores amarelas","urn:catalog:JBRJ:RB:83214","Croton pseudopopulus Baill.",NA,NA,NA,NA
"7","2014-07-22T13:25:25.000+0000","JBRJ","RB","RB00339516","Croton pseudopopulus Baill.","Euphorbiaceae","Croton","pseudopopulus","Baill.","I.Cordeiro",NA,NA,"1195",NA,"Mello Barreto; Brade",1935,4,14,"Brazil","Minas Gerais","Minas Gerais","Serra do Cipó, km 131. Serra do Cipó",NA,NA,"Arbusto 1 m.","urn:catalog:JBRJ:RB:339516","Croton pseudopopulus Baill.",NA,NA,NA,NA
"8",NA,"IPA","IPA","4170","Croton pseudopopulus Baill.","Euphorbiaceae","Croton","pseudopopulus","Baill.","Killip.","1932-08-01T00:00:00.000+0000",NA,"2346",NA,"Pickel, B.",1930,5,23,"Brazil","Pernambuco","São Lourenço da Mata","Tapera, Margem da mata do Triângulo.",0,0,"Arb. 3 m.","BRA:IPA:IPA:0000004170","Croton pseudopopulus Baill.",NA,NA,NA,NA
"9",NA,"F","Botany",NA,"Croton pseudopopulus Baill.","Euphorbiaceae","Croton","pseudopopulus","Baill.",NA,NA,"TYPE",NA,NA,"A. Saint-Hilaire",1816,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"e589b86c-7d8c-4303-af0d-c8f7bd3a232f","Croton pseudopopulus Baill.",NA,NA,NA,NA
"10",NA,"F","Botany","V0056186F","Croton pseudopopulus Baill.","Euphorbiaceae","Croton","pseudopopulus","Baill.",NA,NA,"TYPE","s.n.",NA,"A. Saint-Hilaire",1816,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"f7cf53af-e1fd-4f4d-8041-1eb40b327b37","Croton pseudopopulus Baill.",NA,NA,NA,NA
