"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1","Universidade Federal da Bahia (UFBA)","ALCB","132446","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins","Guedes, ML","2018-05-01T00:00:00.000+0000",NA,"30376","Guedes, ML; Gama, HC; Lopes, R",2018,4,20,"Brazil","Bahia","Conceição do Coité","Serrote, Faz. do Sr. Oscar.",-39.466667,-11.933333,"Folhas cartáceas, lobadas. Inflorescência racemosa. Fruto cápsula, oblongas. Sementes oblongas carúncula alva.","BRA:UFBA:ALCB:0000132446","Manihot elongata P.Carvalho & M.Martins"
"2","UFRB","HURB","11358","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins",NA,NA,NA,"1657","Costa, G.; Moraes, A. C. S.",2016,2,22,"Brazil","Bahia","Irecê","Área do CETEP;",-41.830278,-11.316667,"estérilHábito: arbusto","BRA:UFRB:HURB:0000011358","Manihot elongata P.Carvalho & M.Martins"
"3","UFRB","HURB","11448","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins",NA,NA,NA,"1749","Costa, G.; Moraes, A. C. S.",2016,2,25,"Brazil","Bahia","Irecê","CETEP;",-41.828333,-11.316667,"Hábito: arbusto","BRA:UFRB:HURB:0000011448","Manihot elongata P.Carvalho & M.Martins"
"4","UEFS","HUEFS","223681","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins",NA,NA,NA,"1749","Costa, G.",2016,2,25,"Brazil","Bahia","Irecê","CETEP.",-41.828333,-11.316667,"Caatinga arbórea.","BRA:UEFS:HUEFS:0000223681","Manihot elongata P.Carvalho & M.Martins"
"5","UFRB","HURB","4765","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins","M. Martins","2013-01-01T00:00:00.000+0000",NA,"1828","Aona, L.Y.S.; Costa, G; Fonseca, W.; Jardim, J.G.; et al",2013,1,5,"Brazil","Bahia","Boa Nova","P.N. de Boa Nova; Fazenda Lajedão, Setor Oeste",-40.210278,-14.331667,"Flores: esverdeadas; Hábito: arbusto","BRA:UFRB:HURB:0000004765","Manihot elongata P.Carvalho & M.Martins"
"6","UFRB","HURB","8954","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins",NA,NA,NA,"2115","Martins, M.L.L.",2013,12,10,"Brazil","Bahia","Licinio de Almeida","borda da estrada",NA,NA,"Hábito: arvoreta","BRA:UFRB:HURB:0000008954","Manihot elongata P.Carvalho & M.Martins"
"7","UFRB","HURB","5157","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins",NA,NA,"HOLOTYPE","1738","Martins, M.L.L.; Carvalho, P.C.L.",2010,3,9,"Brazil","Bahia","Sento Sé",NA,-42.09975,-10.104861,"látex branco, próximo a M. glazioviiFlores: disco nectarífero alaranjado na flor; Hábito: árvore","BRA:UFRB:HURB:0000005157","Manihot elongata P.Carvalho & M.Martins"
"8","Universidade Federal da Bahia (UFBA)","ALCB","90902","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins","Mendonza, M","2014-10-23T00:00:00.000+0000",NA,"16171","Guedes, ML; Gomes, FS; Melo, E; Silva, BM da",2009,10,27,"Brazil","Bahia","Lapão","Irecê, Morro Pelado",-41.822778,-11.406111,"de ca 1,80 m de altura. Folhas cartáceas, discolores. Inflorescência com botões verde-vináceos.","BRA:UFBA:ALCB:0000090902","Manihot elongata P.Carvalho & M.Martins"
"9","Universidade Federal da Bahia (UFBA)","ALCB","94422","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins","Mendonza, M","2014-10-23T00:00:00.000+0000",NA,"6932","Melo, E; Silva, BM; Guedes, ML; Gomes, FS",2009,10,25,"Brazil","Bahia","São Gabriel","Irecê, Estrada para Jussara",-41.942778,-11.165,"1,5-2 m alt. Folhas membranáceas. Flores esverdeadas.; na beira da estrada.","BRA:UFBA:ALCB:0000094422","Manihot elongata P.Carvalho & M.Martins"
"10","Universidade Federal da Bahia (UFBA)","ALCB","94312","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins","Mendonza, M","2014-10-23T00:00:00.000+0000",NA,"7512","Melo, E; França, F; Silva, BM",2009,12,15,"Brazil","Bahia","Barra do Mendes","Irecê, Estrada para Canarina: localidade carretão.",-42.054722,-11.825833,"ca. 2 m alt. Folhas membranáceas. Botões verdes. Frutos verdes.; de encosta.","BRA:UFBA:ALCB:0000094312","Manihot elongata P.Carvalho & M.Martins"
