"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","infraspecificEpithet","fieldNumber","comments","bibliographicCitation"
"1",NA,"UnB","UB","200923","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,"Primulaceae","Myrsine","hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","Souza, VC","2013-01-01T00:00:00.000+0000",NA,"35030","Souza, CV; Flores, TB",2013,5,1,"Brazil","São Paulo","Tapiraí","Área da Companhia Votorantim. Trilha do Rio Dezembro",0,0,"Árvore 14m. Frutos imaturos verdes","BRA:UnB:UB:0000200923","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,NA,NA,NA
"2","2014-06-30T10:37:16.000+0000","JBRJ","RB","RB00857837","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,"Primulaceae","Myrsine","hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","V.C. Souza","2013-01-01T00:00:00.000+0000",NA,"35030","V.C. Souza; T.B. Flores",2013,5,1,"Brazil","São Paulo","Tapiraí","Área da Cia. Votorantim. Trilha do Rio Dezembro.",NA,NA,"Árvore, ca. 14m alt.; frutos imaturos verdes","urn:catalog:JBRJ:RB:857837","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,NA,NA,NA
"3",NA,"MBM","MBM","391182","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,"Primulaceae","Myrsine","hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","Souza, VC","2013-01-01T00:00:00.000+0000",NA,"35030","Souza, VC; Flores, TB",2013,5,1,"Brazil","São Paulo","Tapiraí","Área da Cia. Votorantim, Trilha do Rio Dezembro",0,0,"Árvore, ca. 14m de alt.; frutos imaturos verdes.","BRA:MBM:MBM:0000391182","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,NA,NA,NA
"4",NA,"UNICAMP","UEC","179838","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,"Primulaceae","Myrsine","hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,NA,NA,"35030","Souza, V.C.; Flores, T.B.",2013,5,1,"Brazil","São Paulo","Tapirai","Área da Cia. Votorantim. Trilha do Rio Dezembro.",0,0,"Árvore, ca. 14 m alt.; frutos imaturos verdes.","BRA:UNICAMP:UEC:0000179838","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,NA,NA,NA
"5",NA,"UFPR","UPCB","87932","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,"Primulaceae","Myrsine","hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","Freitas, M. F.","2013-01-01T00:00:00.000+0000",NA,"1537","Engels, M. E.",2013,9,7,"Brazil","Paraná","Guaratuba","Serra do Mar, Linha de transmissão elétrica Curitiba a Joinville.",-48.943056,-25.881944,"Arbórea. Caule castanho claro. Folhas verdes discolores. Frutos verdes com pintas alongadas castanhas esverdeadas. Floresta Ombrófila Densa..","BRA:UFPR:UPCB:0000087932","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,NA,NA,NA
"6",NA,"MBM","MBM","385288","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,"Primulaceae","Myrsine","hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","Freitas, MF","2013-09-11T00:00:00.000+0000",NA,"1537","Engels, ME",2013,9,7,"Brazil","Paraná","Guaratuba","Serra do Mar, Linha de transmissão elétrica Curitiba a Joinville",-48.943056,-25.881944,"Arbórea. Caule casatnho claro. Folhas verdes discolores. Frutos verdes com pintas alongadas castanhas esverdeadas.; Floresta Ombrófila Densa.","BRA:MBM:MBM:0000385288","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,NA,NA,NA
"7",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","134913","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,"Primulaceae","Myrsine","hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,NA,NA,"627","M.M. Coelho",2012,2,3,"Brazil","Bahia","Almadina","Serra do Corcovado, acesso pela Fazenda São José. Proprietário Senhor Francisco.",-39.603333,-14.705833,"Floresta Ombrófila Densa Montana","BRA:CEPLAC:CEPEC:0000134913","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,NA,NA,NA
"8",NA,"UFRGS","ICN","178493","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,"Primulaceae","Myrsine","hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","Molz, M",NA,NA,"s.n.","Molz, M; Grings, M; Seger, G",2012,12,8,"Brazil","Rs","Três Cachoeiras",NA,-49.920833,-29.4475,"WGS-84; Arvoreta com 8 m de altura, frutos violáceos","BRA:UFRGS:ICN:0000178493","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,NA,NA,NA
"9",NA,"Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul (MCN-FZBRS)","HAS","89610","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,"Primulaceae","Myrsine","hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","Molz, M. et Grings, M.","2012-12-08T00:00:00.000+0000",NA,"s.n.","Molz, M.",2012,12,NA,"Brazil","Rio Grande do Sul","Três Cachoeiras",NA,NA,NA,"Arvoreta. H = 8m. Frutos violáceos.","BRA:MCN/FZBRS:HAS:0000089610","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,NA,NA,NA
"10","2014-07-08T00:17:00.000+0000","JBRJ","RB","RB00722243","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,"Primulaceae","Myrsine","hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","M.F. Freitas","2012-05-24T00:00:00.000+0000",NA,"115","E. Matos; F. Espírito Santo; M. Fernandes",2011,6,8,"Brazil","Bahia","Porto Seguro","Sítio Gameleira.",-39.020278,-16.362778,"Árvore; 3,5m. Folhas cartáceas, margem revoluta. Flores brancas inconspícuas","urn:catalog:JBRJ:RB:722243","Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.",NA,NA,NA,NA
