"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"UEFS","HUEFS","174841","Catostemma milanezii Paula","Malvaceae","Catostemma","milanezii","Paula",NA,NA,"3116","Carvalho-Sobrinho, J.G.de",2011,6,16,"Brazil","Amazonas","Manaus","PDBFF, Reserva Porto Alegre, reserva de 100ha.",NA,NA,"Floresta de terra firme, solo argiloso.","BRA:UEFS:HUEFS:0000174841",NA,"Catostemma milanezii Paula"
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","190717","Catostemma milanezii Paula","Malvaceae","Catostemma","milanezii","Paula","Esteves, G.L.","1997-07-01T00:00:00.000+0000","5","Mike Hopkins",1997,7,31,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:43109",NA,"Catostemma milanezii Paula"
"3","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","202304","Catostemma milanezii Paula","Malvaceae","Catostemma","milanezii","Paula","Lemos, M.C.","1997-12-01T00:00:00.000+0000","10","Mike Hopkins",1997,NA,NA,"Brazil","Amazonas",NA,"Estação Esperimental de Silvicultura Tropical - ZF2.",NA,NA,NA,"urn:catalog:inpa:herbarium:81817",NA,"Catostemma milanezii Paula"
"4","2014-07-22T18:36:01.000+0000","JBRJ","RB","RB00059045","Catostemma milanezii Paula","Malvaceae","Catostemma","milanezii","Paula","G. Esteves",NA,"502","J. R. Nascimento; P.A. C. L. Assunção; Pereira, E. C. da ; Silva, C. F. da",1994,4,12,"Brazil","Amazonas","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Proximo a estação meteorologica. .",NA,NA,"Árvore 35m alt x 75 cm DAP. Tronca cílindrico, base reta. Ritidoma liso, com lenticelas dispostas verticalmente, com anéis imcompletos horizontais. Cacas viva vermelha com strias esbranqueçidas. Fruto cinza; somente avermelhado com cheiro forte de ""mari´","urn:catalog:JBRJ:RB:59045",NA,"Catostemma milanezii Paula"
"5","2014-04-05T06:07:00.000+0000","MO","MO","3054572","Catostemma milanezii Paula","Malvaceae","Catostemma","milanezii","Paula","Esteves, g.","1997-01-01T00:00:00.000+0000","Nascimento 4688-25","J.R. Nascimento|P. A. Costa Lima Assunção|E. da C. Pereira|C. Fernandes da Silva",1994,4,12,"Brazil","Amazonas",NA,"Proximo a estacao meteorologica. Floresta de plato. Arvore. Solo argiloso. 35 m de altura x 75 cm DAp. Tronco cilindrico, base reta. Ritidoma liso, com lenticelas dispostas verticlamente, comaneis incompletos horizontais. Casca viva vermelha com estrias esbranquicadas.",-59.96666,2.88333,NA,"urn:catalog:MO:Tropicos:3054572","http://www.tropicos.org/Specimen/3054572","Catostemma milanezii Paula"
"7","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","179385","Catostemma milanezii Paula","Malvaceae","Catostemma","milanezii","Paula","Esteves, G.L.","1997-07-01T00:00:00.000+0000","1478","Mike Hopkins",1994,8,5,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:71750",NA,"Catostemma milanezii Paula"
"8",NA,NA,"Botany","U.1380928","Catostemma milanezii Paula","Malvaceae","Catostemma","milanezii","Paula","Esteves GL","1997-07-01T00:00:00.000+0000",NA,"Hopkins MJG; Prance GT; Silva CF da; Sothers CA; Ribeiro JEL",1994,8,5,"Brazil","Amazonas",NA,NA,-59.966667,-2.883333,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1380928",NA,"Catostemma milanezii Paula"
"11","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","58592","Catostemma milanezii Paula","Malvaceae","Catostemma","milanezii","Paula",NA,NA,"INPA58592","Mike Hopkins",1976,8,26,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke. Parcela experimental 060B, E2, E3, F2, F3.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:151372",NA,"Catostemma milanezii Paula"
"12",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","5449","Catostemma milanezii Paula","Malvaceae","Catostemma","milanezii","Paula","Rodrigues, W.A.","1970-01-01T00:00:00.000+0000","8757","Rodrigues, W.A.",1970,3,10,"Brazil","Amazonas",NA,"BR174 km 27, num varadouro do l, Estrada Manaus-Caracaraí km 27, num varadouro do lado direito.",0,0,"Árvore de 12m de altura por 15cm de diâmetro, flores brancas, ocasional na mata de terra firme. Tronco cilíndrico, sem sapopemas. ; DE","BRA:IFAM - CMZL:EAFM:0000005449",NA,"Catostemma milanezii Paula"
"13","2008-06-20T11:37:00.000+0000","MO","MO","100138876","Catostemma milanezii Paula","Malvaceae","Catostemma","milanezii","Paula","W. Rodrigues","1970-01-01T00:00:00.000+0000","Rodrigues 8757","William A. Rodrigues",1970,3,10,"Brazil","Amazonas",NA,"Estrada Manaus-Caracaraí km 27, num varadouro do lado direito.",NA,NA,NA,"urn:catalog:MO:Tropicos:100138876","http://www.tropicos.org/Specimen/100138876","Catostemma milanezii Paula"
