"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","fieldNumber","comments","bibliographicCitation"
"1","2016-06-28T10:08:44.000+0000","JBRJ","RB","RB00678862","Eriotheca longipes (A.Robyns) M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","longipes",NA,"(A.Robyns) M.C.Duarte & G.L.Esteves","Marílai C. Duarte",NA,NA,"1547","M.G. Bovini",1998,10,28,"Brazil","Minas Gerais","Marliéria","Margem da Lagoa Bispo. Parque Estadual do Rio Doce",NA,NA,"Árvore heliófila com cerca de 10 metros de altura. Folhas cartáceas, discolores; face ventral brilhosas. Cálice ferrugíneo. Corola alva. Estames amarelos.","urn:catalog:JBRJ:RB:678862","Eriotheca longipes (A.Robyns) M.C.Duarte & G.L.Esteves",NA,NA,NA,NA
"2",NA,"Instituto de Botânica, IBT","SP","392045","Eriotheca longipes (A.Robyns) M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","longipes",NA,"(A.Robyns) M.C.Duarte & G.L.Esteves","Duarte, MC","2015-08-01T00:00:00.000+0000",NA,"159","Lopes, WP; Scudeller, VV",1996,10,15,"Brazil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce, Margem da Lagoa D. Helvécio",0,0,NA,"BRA:IBt:SP:0000392045","Eriotheca longipes (A.Robyns) M.C.Duarte & G.L.Esteves",NA,NA,NA,NA
"3",NA,"Instituto de Botânica, IBT","SP","392046","Eriotheca longipes (A.Robyns) M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","longipes",NA,"(A.Robyns) M.C.Duarte & G.L.Esteves","Duarte, MC","2015-08-01T00:00:00.000+0000",NA,"247","Lopes, WP; Scudeller, VV",1996,12,21,"Brazil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce, Margem da Lagoa D. Helvécio",0,0,NA,"BRA:IBt:SP:0000392046","Eriotheca longipes (A.Robyns) M.C.Duarte & G.L.Esteves",NA,NA,NA,NA
"4",NA,"UNICAMP","UEC","124962","Eriotheca longipes (A.Robyns) M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","longipes",NA,"(A.Robyns) M.C.Duarte & G.L.Esteves","Duarte, M.C.","2010-01-01T00:00:00.000+0000",NA,"s.n.","Stehmann, J.R.",1991,10,21,"Brazil","Minas Gerais","Marliéria","Parque Florestal do Rio Doce.",0,0,"Arbóreo.","BRA:UNICAMP:UEC:0000124962","Eriotheca longipes (A.Robyns) M.C.Duarte & G.L.Esteves",NA,NA,NA,NA
"5","2017-10-18T15:59:51.000+0000","JBRJ","RB","RB00601375","Eriotheca candolleana var. longipes A.Robyns","Malvaceae","Eriotheca","candolleana","longipes","var. longipes A.Robyns","V.L.C. Martins",NA,"HOLOTYPE",NA,"Duarte, A.P.",1951,5,15,"Brazil","Rio de Janeiro","Rio de Janeiro","Cultivada no Jardim Botânico.",NA,NA,NA,"urn:catalog:JBRJ:RB:601375","Eriotheca candolleana var. longipes A.Robyns",NA,NA,NA,NA
"8","2016-11-10T14:12:54.000+0000","JBRJ","RB","RB00059527","Eriotheca longipes (A.Robyns) M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","longipes",NA,"(A.Robyns) M.C.Duarte & G.L.Esteves","M.C. Duarte","2010-01-01T00:00:00.000+0000",NA,"4237","A P Duarte",NA,NA,NA,"Brazil","Minas Gerais","Minas Gerais","serra da mata garoa, estado de minas, Patos.",NA,NA,"arvore de tronco liso","urn:catalog:JBRJ:RB:59527","Eriotheca longipes (A.Robyns) M.C.Duarte & G.L.Esteves",NA,NA,NA,NA
"9",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","9033","Eriotheca longipes (A.Robyns) M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","longipes",NA,"(A.Robyns) M.C.Duarte & G.L.Esteves","M. C. Duarte",NA,NA,"2554","T. S. dos Santos",NA,NA,NA,"Brazil","Bahia","VITÓRIA DA CONQUISTA","Km 20 da Rod. Conquista/Barra do Choça.",NA,NA,"Ambiente: Mata de Cipó. Habito: Árvore, 14m X 30cm.","BRA:CEPLAC:CEPEC:0000009033","Eriotheca longipes (A.Robyns) M.C.Duarte & G.L.Esteves",NA,NA,NA,NA
"10",NA,"Universidade Federal de Juiz de Fora (UFJF)","CESJ","15275","Eriotheca longipes (A.Robyns) M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","longipes",NA,"(A.Robyns) M.C.Duarte & G.L.Esteves","M.C.Duarte","2010-01-01T00:00:00.000+0000",NA,"CESJ15275","L. Krieger",NA,NA,NA,"Brazil","Minas Gerais","Juiz de Fora","Sítio da Divina Providência",0,0,NA,"BRA:UFJF:CESJ:0000015275","Eriotheca longipes (A.Robyns) M.C.Duarte & G.L.Esteves",NA,NA,NA,NA
