"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","locality","decimalLongitude","decimalLatitude","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","municipality","occurrenceRemarks","comments"
"1",NA,"NY","NY","02210752","Mollia macrophylla Killip & Cuatrec.","Malvaceae","Mollia","macrophylla","Killip & Cuatrec.",NA,NA,NA,"60985",NA,"N. T. da Silva",1966,2,5,"Brazil","Amazonas","Along margin of Rio Cauaburi, between Cachoeira Manajos and Cachoeira Tomaz.",0,0,"4510782b-78ff-4086-bd7e-238c422d8b0a",NA,"Mollia macrophylla Killip & Cuatrec.",NA,NA,NA,NA,NA
"2",NA,"US","Botany","3097180","Mollia macrophylla Killip & Cuatrec.","Malvaceae","Mollia","macrophylla","Killip & Cuatrec.","Meijer, W.",NA,NA,"60985",NA,"N. T. Silva & U. Brazão",1966,2,5,"Brazil","Amazonas","Along margin of Rio Cauaburí, between Cachoeira Manajos and Cachoeira Tomaz",NA,NA,"http://n2t.net/ark:/65665/3f90c6fe6-471c-479f-bbe3-2a85eb439264",NA,"Mollia macrophylla Killip & Cuatrec.",NA,NA,NA,NA,NA
"3","2011-02-10T09:16:00.000+0000","MO","MO","3039764","Mollia macrophylla Killip & Cuatrec.","Malvaceae","Mollia","macrophylla","Killip & Cuatrec.","W. Meijer","1976-01-01T00:00:00.000+0000",NA,"Silva 60985",NA,"Nilo T. Silva|Umbelino Brazão",1966,2,5,"Brazil",NA,"Rio Negro, Rio Cauaburí, Rio Maturacá. Along margin of Rio Cauaburí, forest on terra firma, between Cachoeira Manajos and Cachoeira Tomaz.",NA,NA,"urn:catalog:MO:Tropicos:3039764","http://www.tropicos.org/Specimen/3039764","Mollia macrophylla Killip & Cuatrec.",NA,NA,NA,NA,NA
"4",NA,"F","Botany",NA,"Mollia macrophylla Killip & Cuatrec.","Malvaceae","Mollia","macrophylla","Killip & Cuatrec.",NA,NA,"TYPE","532",NA,"E. G. Holt & E. R. Blake",1930,12,10,"Brazil",NA,NA,-52.8731,-10.8339,"ee6ceb1a-bd5f-4edd-bb8e-347505c91d3a",NA,"Mollia macrophylla Killip & Cuatrec.",NA,NA,NA,NA,NA
"5",NA,"F","Botany",NA,"Mollia macrophylla Killip & Cuatrec.","Malvaceae","Mollia","macrophylla","Killip & Cuatrec.",NA,NA,"TYPE","532",NA,"E. G. Holt & E. R. Blake",1930,12,10,"Brazil",NA,NA,-52.8731,-10.8339,"36fd2c5c-0e44-4951-92bd-f9b3636ac199",NA,"Mollia macrophylla Killip & Cuatrec.",NA,NA,NA,NA,NA
"6",NA,"US","Botany","1804272","Mollia macrophylla Killip & Cuatrec.","Malvaceae","Mollia","macrophylla","Killip & Cuatrec.",NA,NA,"ISOTYPE","532",NA,"E. Holt & E. R. Blake",1930,12,10,"Brazil","Amazonas","Rio Maturaca, below Salto de Hua.",NA,NA,"http://n2t.net/ark:/65665/33bcae0da-e530-4ce7-b1e7-ad6412a656bc",NA,"Mollia macrophylla Killip & Cuatrec.",NA,NA,NA,NA,NA
"7",NA,"NY","NY","415509","Mollia macrophylla Killip & Cuatrec.","Malvaceae","Mollia","macrophylla","Killip & Cuatrec.",NA,NA,"ISOTYPE","532",NA,"E. G. Holt",1930,12,10,"Brazil","Amazonas","Rio MaturacÃ¡, elow Salto de HuÃ¡",0,0,"7c3d4c18-b150-4e8f-8548-cbae75ffa411",NA,"Mollia macrophylla Killip & Cuatrec.",NA,NA,NA,NA,NA
"8","2015-09-05T07:47:27.000+0000","MNHN","P","P00648216","Mollia macrophylla Killip & Cuatrec.","Malvaceae","Mollia","macrophylla","Killip & Cuatrec.","Dorr",NA,"ISOTYPE",NA,"532","Holt, E.G.|Blake, E.R.",1930,12,10,"Brazil",NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00648216",NA,"Mollia macrophylla Killip & Cuatrec.",NA,NA,NA,NA,NA
"9",NA,"US","Botany","1517915","Mollia macrophylla Killip & Cuatrec.","Malvaceae","Mollia","macrophylla","Killip & Cuatrec.",NA,NA,"HOLOTYPE","532",NA,"E. Holt & E. R. Blake",1930,12,10,"Brazil","Amazonas","Rio Maturaca, below Salto de Hua.",NA,NA,"http://n2t.net/ark:/65665/3df318428-df58-4851-8e6b-bb0b24bce480",NA,"Mollia macrophylla Killip & Cuatrec.",NA,NA,NA,NA,NA
"10","2015-12-08T00:00:00.000+0000","K","Herbarium","K001212132","Mollia macrophylla Killip & Cuatrec.","Malvaceae","Mollia","macrophylla","Killip & Cuatrec.",NA,NA,NA,"532",NA,"Holt, E.G.",1930,12,10,"Brazil",NA,"Rio Maturacá, below Salto de Huá.",NA,NA,"http://specimens.kew.org/herbarium/K001212132",NA,"Mollia macrophylla Killip & Cuatrec.",NA,NA,NA,NA,NA
