"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"23",NA,"Jardim Botânico de Brasília (JBB)","HEPH","14514","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Duarte, MC","2007-01-01T00:00:00.000+0000",NA,"951",NA,"Nóbrega, MGG",1998,8,12,"Brazil","Distrito Federal","Brasília","Estação Ecológica do Jardim Botânico de Brasília próximo a Caesb",-47.85,-15.866667,"Carpoteca n° 120; Árvore; fruto imaturo verde;","BRA:JBB:HEPH:0000014514",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"24",NA,"UNICAMP","UEC","097810","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Duarte, M.C.","2006-11-01T00:00:00.000+0000",NA,"270",NA,"Santos, K.",1997,7,19,"Brazil","São Paulo","Campinas","Sub-distrito de Sousas.",0,0,"Árvore, 15m de alt., botões brancos.; floresta semidecidual.","BRA:UNICAMP:UEC:0000097810",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"25",NA,"USP","SPF","148044","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Nobrega, MG","1996-10-18T00:00:00.000+0000",NA,"584",NA,"Nobrega, MG",1996,10,18,"Brazil","Distrito Federal","Brasília",NA,-47.85,-15.866667,NA,"BRA:USP:SPF:0000148044",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"26",NA,"MBM","MBM","261669","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Carvalho Sobrinho, JG",NA,NA,"584",NA,"Nobrega, MG",1996,10,18,"Brazil","Distrito Federal",NA,"Jardim Botânico, Brasília",0,0,NA,"BRA:MBM:MBM:0000261669",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"27",NA,"US","Botany","3316256","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"2764",NA,"B. A. S. Pereira, M. Pereira Neto & D. Alvarenga",1995,6,19,"Brazil","Goiás",NA,"Municipio de Agua Fria",-47.5,-15.25,NA,"http://n2t.net/ark:/65665/38d9e3e9c-e1b1-4343-a428-56bdfe72f35f",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"28",NA,"UFV","VIC","17004","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"s.n.",NA,"Lopes, W.P. de; et al.",1994,8,9,"Brazil","Minas Gerais","Viçosa","Campus da UFV, Jardim Botânico.",0,0,"Árvore com c.a. de 5,5 metros de altura; casca e alburno de coloração rósea; indivíduo 1435. Projeto JBII.","BRA:UFV:VIC:0000017004",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"29",NA,"UNICAMP","UEC","88809","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"1198",NA,"Tameirão Neto, E.; et al.",1994,10,27,"Brazil","Minas Gerais","Perdizes","Mata da Zilda; ?Unidade de conservação do Galheiro - CEMIG.",0,0,"Arbóreo.; Floresta Semidecídua.","BRA:UNICAMP:UEC:0000088809",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"30",NA,"UEFS","HUEFS","228796","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"3436",NA,"Farney, C.",1994,11,29,"Brazil","Rio de Janeiro","Macaé","Loteamento Lagomar. Mata de Restinga.",NA,NA,"Mata de Restinga remanescente periodicamente inundável.","BRA:UEFS:HUEFS:0000228796",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"31",NA,"UNICAMP","UEC","194297","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Semir, J.","2001-08-13T00:00:00.000+0000",NA,"2011",NA,"Folli, D.A.",1993,9,21,"Brazil","Espírito Santo","Linhares","Reserva Natural da CVRD. Estrada Mantegueira km 0,61.",0,0,"Fuste achatado, casca áspera, seiva incolor, fruto imaturo marrom. Terrestre, arbóreo, altura total 28, altura do fuste 22, CAP do fuste 298, diâmetro da copa 6. Descamação ausente.; Mata de tabuleiro","BRA:UNICAMP:UEC:0000194297",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"32",NA,"UFU","HUFU","4144","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"876",NA,"Araújo, G.M.; et al.",1992,5,22,"Brazil","Minas Gerais","Araguari","Bosque John Kennedy",0,0,"Arbóreo, ca. 25 m. Botões florais marrom.","BRA:UFU:HUFU:0000004144",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"33",NA,"UNICAMP","UEC","124976","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Duarte, M.C.","2004-06-01T00:00:00.000+0000",NA,"s.n.",NA,"Lemos Filho, J.P.",1992,8,1,"Brazil","Minas Gerais","Belo Horizonte","Próximo Unidade Administrativa II.",0,0,"Corola de cor creme.; Mata secundária.","BRA:UNICAMP:UEC:0000124976",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
