"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","comments","bibliographicCitation"
"1",NA,"UEFS","HUEFS","174840","Catostemma albuquerquei Paula","Malvaceae","Catostemma","albuquerquei","Paula",NA,NA,NA,"3115","Carvalho-Sobrinho, J.G.de",2011,6,16,"Brazil","Amazonas","Manaus","PDBFF, Reserva Porto Alegre, reserva de 100ha.",NA,NA,"Floresta de terra firme, solo argiloso.","BRA:UEFS:HUEFS:0000174840","Catostemma albuquerquei Paula",NA,NA,NA,NA,NA
"2",NA,"UEFS","HUEFS","174842","Catostemma albuquerquei Paula","Malvaceae","Catostemma","albuquerquei","Paula",NA,NA,NA,"3117","Carvalho-Sobrinho, J.G.de",2011,6,16,"Brazil","Amazonas","Manaus","PDBFF, Reserva Porto Alegre, reserva de 100ha.",NA,NA,"Floresta de terra firme, solo argiloso.","BRA:UEFS:HUEFS:0000174842","Catostemma albuquerquei Paula",NA,NA,NA,NA,NA
"3","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","237774","Catostemma albuquerquei Paula","Malvaceae","Catostemma","albuquerquei","Paula",NA,NA,NA,"GPP30","Camargo, JLC",2003,1,7,"Brazil","Amazonas",NA,"Reserva PDBFF (1202) - Colosso",NA,NA,NA,"urn:catalog:inpa:herbarium:222112","Catostemma albuquerquei Paula",NA,NA,NA,NA,NA
"4",NA,"USP","SPF","126596","Catostemma albuquerquei Paula","Malvaceae","Catostemma","albuquerquei","Paula","Oliveira, AA",NA,NA,"1111","Oliveira, AA",1993,3,NA,"Brazil","Amazonas","Manaus","Reserva 1501 (km 41) do PDBFF",-59.756667,-2.404333,NA,"BRA:USP:SPF:0000126596","Catostemma albuquerquei Paula",NA,NA,NA,NA,NA
"5",NA,"US","Botany","3339711","Catostemma albuquerquei Paula","Malvaceae","Catostemma","albuquerquei","Paula",NA,NA,NA,"INPA/WWF  1301.2322.2","A. P. Silva",1989,11,21,"Brazil","Amazonas",NA,"ca. 90 km N de Manaus, Distrito Agropecuario da Suframa, Rodovia BR 174, km 64, depois 23 km leste na ZF3, Fazenda Esteio.",-59.85,-2.38,NA,"http://n2t.net/ark:/65665/3916b6b8f-188e-494d-a750-5e30958ff5b4","Catostemma albuquerquei Paula",NA,NA,NA,NA,NA
"6","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","202135","Catostemma albuquerquei Paula","Malvaceae","Catostemma","albuquerquei","Paula","Nee, M.H.","1993-01-01T00:00:00.000+0000",NA,"1301.2322.2",NA,1989,11,21,"Brazil","Amazonas",NA,"Distrito Agropecuário, ZF3, Ca. 90 km N de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR-174, km 64, depois 23 km leste na ZF3, Fazenda Esteio.",-59.85,-2.383333,NA,"urn:catalog:inpa:herbarium:174803","Catostemma albuquerquei Paula",NA,NA,NA,NA,NA
"7",NA,"US","Botany","3338973","Catostemma albuquerquei Paula","Malvaceae","Catostemma","albuquerquei","Paula",NA,NA,NA,"INPA/WWF 1301.3789","N. I. Ahmad",1986,9,25,"Brazil","Amazonas",NA,"Distrito Agropecuario da Suframa, Rodovia BR-174, km 64 depois 23 Km Leste na ZF3, Fazenda Esteio.",-59.85,-2.3833,NA,"http://n2t.net/ark:/65665/39bce00be-883a-4e8a-bad0-9c4fd96d2d7a","Catostemma albuquerquei Paula",NA,NA,NA,NA,NA
"8","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","35965","Catostemma albuquerquei Paula","Malvaceae","Catostemma","albuquerquei","Paula","Silva, M.F. da","1973-01-01T00:00:00.000+0000",NA,"72-143","Monteiro, OP",1972,6,16,"Brazil","Amazonas",NA,"AM-1, km 139",NA,NA,"Árvore de 25m de altura por 35cm de diâmetro, em mata de terra firme, arenosa, flores passadas. Madeira mole, pesada, casca grossa.","urn:catalog:inpa:herbarium:237632","Catostemma albuquerquei Paula",NA,NA,NA,NA,NA
"9",NA,"UNICAMP","UEC","34049","Catostemma albuquerquei Paula","Malvaceae","Catostemma","albuquerquei","Paula","Silva, M.F.","1973-05-01T00:00:00.000+0000",NA,"1943","Monteiro, O.P.; Lima, J.",1972,6,14,"Brazil","Amazonas",NA,"Estrada Manaus - Itacoatiara, Km 139. Mata de terra firme. Solo arenoso.",0,0,"Árvore de 25 m de altura x 35 cm de diâmetro. Flores passadas. Madeira mole, pesada, casca grossa.","BRA:UNICAMP:UEC:0000034049","Catostemma albuquerquei Paula",NA,NA,NA,NA,NA
"10","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","27723","Catostemma albuquerquei Paula","Malvaceae","Catostemma","albuquerquei","Paula","Esteves, G.L.","1997-08-01T00:00:00.000+0000",NA,"INPA27723","Albuquerque, BWP de",1969,11,6,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, picada do Levantamento Diagnóstico.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:2172","Catostemma albuquerquei Paula",NA,NA,NA,NA,NA
