"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"US","Botany","3336133","Catostemma cavalcantei Paula","Malvaceae","Catostemma","cavalcantei","Paula",NA,NA,"7593","C. A. Cid Ferreira, E. Fiuza & W. Thomas",1986,7,16,"Brazil","Amazonas",NA,"Estrada do Canteiro de obras da Usina Hidrelétrica de Balbina, próximo ao aeroporto.",NA,NA,NA,"http://n2t.net/ark:/65665/3e930be68-6b88-437a-b17c-a88fb8ad692a",NA,"Catostemma cavalcantei Paula"
"2",NA,"MBM","MBM","235873","Catostemma cavalcantei Paula","Malvaceae","Catostemma","cavalcantei","Paula","Kallunki, J",NA,"7593","Cid Ferreira, CA",1986,7,16,"Brazil","Amazonas","Presidente Figueiredo","Usina Hidrelétrica de Balbina",0,0,NA,"BRA:MBM:MBM:0000235873",NA,"Catostemma cavalcantei Paula"
"3","2009-01-26T15:09:00.000+0000","MO","MO","100165620","Catostemma cavalcantei Paula","Malvaceae","Catostemma","cavalcantei","Paula","J. Kallunki","1990-01-01T00:00:00.000+0000","Cid Ferreira 7593","C.A. Cid Ferreira",1986,7,16,"Brazil","Amazonas",NA,"Mun. de Presidente Figueredo, Estrada do Canteiro de obras da Usina Hidreléctrica de Balbina, próximo ao aeroporto. Campinarana alta, solo arenoso branco.",NA,NA,NA,"urn:catalog:MO:Tropicos:100165620","http://www.tropicos.org/Specimen/100165620","Catostemma cavalcantei Paula"
"4","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","162008","Catostemma cavalcantei Paula","Malvaceae","Catostemma","cavalcantei","Paula",NA,NA,"11100","Mike Hopkins",1984,3,3,"Brazil","Amazonas",NA,"""Serra de Aracá., 2 km ao sul da parte central da Serra do Aracá e 8 km a leste do rio Jauari; Mata de igapó estaciona I, inventariado situado a 1 km da encosta.""",-63.32,0.816667,NA,"urn:catalog:inpa:herbarium:165593",NA,"Catostemma cavalcantei Paula"
"5","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","85421","Catostemma cavalcantei Paula","Malvaceae","Catostemma","cavalcantei","Paula","Esteves, G.L.","1997-08-01T00:00:00.000+0000","s.n.","Mike Hopkins",1979,2,14,"Colombia",NA,NA,"Yacaré. Río Vaupés.",NA,NA,NA,"urn:catalog:inpa:herbarium:947",NA,"Catostemma cavalcantei Paula"
"6","2008-05-27T22:02:00.000+0000","MO","MO","3054606","Catostemma cavalcantei Paula","Malvaceae","Catostemma","cavalcantei","Paula","J. Kallunki","1987-01-01T00:00:00.000+0000","Rosa 1690","Nelson A. Rosa",1977,2,27,"Brazil","Amazonas",NA,"Região da serra Aracá, nas proximidades do campo da pouso.",NA,NA,NA,"urn:catalog:MO:Tropicos:3054606","http://www.tropicos.org/Specimen/3054606","Catostemma cavalcantei Paula"
"7","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","85819","Catostemma cavalcantei Paula","Malvaceae","Catostemma","cavalcantei","Paula","Acero, E.","1983-01-01T00:00:00.000+0000","379","Mike Hopkins",1976,5,NA,"Colombia",NA,NA,"Rio Inirida-Guainia",NA,NA,NA,"urn:catalog:inpa:herbarium:154250",NA,"Catostemma cavalcantei Paula"
"8",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","67565","Catostemma cavalcantei Paula","Malvaceae","Catostemma","cavalcantei","Paula",NA,NA,"379","Roa, A.",1976,5,22,"Colombia","Guainía",NA,"río Inírida, Buenavista, bosque aluvial",-67.934303,3.957333,"Ejemplar botánico","SINCHI:COAH:67565",NA,"Catostemma cavalcantei Paula"
"9","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","29153","Catostemma cavalcantei Paula","Malvaceae","Catostemma","cavalcantei","Paula","Rodrigues, W.A.","1974-01-01T00:00:00.000+0000","10801","Mike Hopkins",1971,3,1,"Brazil","Roraima",NA,"Vicinity of Uaicá airstrip, rio Uraricoeira.",-63.18,2.0092,NA,"urn:catalog:inpa:herbarium:136210",NA,"Catostemma cavalcantei Paula"
"10","2008-05-27T22:02:00.000+0000","MO","MO","3350204","Catostemma cavalcantei Paula","Malvaceae","Catostemma","cavalcantei","Paula","J. Kallunki","1987-01-01T00:00:00.000+0000","Prance 15646","Ghillean T. Prance",1971,10,28,"Brazil","Amazonas",NA,"Basin of Rio Negro. Tapuruquara. Caatinga.",-65.01666,-0.4,NA,"urn:catalog:MO:Tropicos:3350204","http://www.tropicos.org/Specimen/3350204","Catostemma cavalcantei Paula"
"11",NA,"US","Botany","3219950","Catostemma cavalcantei Paula","Malvaceae","Catostemma","cavalcantei","Paula",NA,NA,"15646","G. T. Prance, P. J. M. Maas, D. B. Woolcott, O. P. Monteiro & J. F. Ramos",1971,10,28,"Brazil","Amazonas",NA,"Basin of Rio Negro. Tapuruquara.",NA,NA,NA,"http://n2t.net/ark:/65665/31d2881c9-bcab-476d-abbe-4c1dd32bd243",NA,"Catostemma cavalcantei Paula"
"12","2014-10-29T12:36:00.000+0000","MO","MO","2329563","Catostemma cavalcantei Paula","Malvaceae","Catostemma","cavalcantei","Paula","J. Paula","1970-01-01T00:00:00.000+0000","Fróes 22787","Ricardo de Lemos Fróes",1947,8,11,"Brazil","Amazonas",NA,"Manaus, rio Preto, mata de terra firme, piassabal.",NA,NA,NA,"urn:catalog:MO:Tropicos:2329563","http://www.tropicos.org/Specimen/2329563","Catostemma cavalcantei Paula"
"13","2014-10-29T12:36:00.000+0000","MO","MO","2329560","Catostemma cavalcantei Paula","Malvaceae","Catostemma","cavalcantei","Paula","J. Paula","1970-01-01T00:00:00.000+0000","Fróes 22802","Ricardo de Lemos Fróes",1947,10,11,"Brazil","Amazonas",NA,"Manaus, rio Preto, mata de caatinga, solo arenoso.",NA,NA,NA,"urn:catalog:MO:Tropicos:2329560","http://www.tropicos.org/Specimen/2329560","Catostemma cavalcantei Paula"
"14",NA,"NY","NY","02706093","Catostemma cavalcantei Paula","Malvaceae","Catostemma","cavalcantei","Paula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"742b5af8-305a-45cc-a8fa-10a798e17c45",NA,"Catostemma cavalcantei Paula"
