"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","comments","bibliographicCitation"
"1",NA,"IF","SPSF","49089","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","R.M.G. Konopczyk","2013-07-17T00:00:00.000+0000",NA,NA,"R.M.G. Konopczyk",2013,7,17,"Brazil","Sp","Porto Ferreira","Parque Estadual de Porto Ferreira",-47.435278,-21.856111,"COLETA: Árvore de 4m de altura.; GEOGRAFIA: Vertente de Floresta Estacional Semidecidual, próximo a várzea do Rio Mogi Guaçu.;","BRA:IF:SPSF:0000049089","Christiana macrodon Toledo",NA,NA,NA,NA,NA
"2",NA,"IF","SPSF","34256","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","G.L.Esteves","2008-11-12T00:00:00.000+0000",NA,"1683","J.B.Baitello",2005,2,22,"Brazil","Sp","Franco da Rocha","Parque Estadual do Juquery",NA,NA,"COLETA: XLS: SPSFNovo; Herbácea até 40cm, fruto envolto pelo cálice; GEOGRAFIA: campo limpo com queimada recente&nf;;","BRA:IF:SPSF:0000034256","Christiana macrodon Toledo",NA,NA,NA,NA,NA
"3",NA,"IF","SPSF","31903","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","G.L.Esteves","2008-11-12T00:00:00.000+0000",NA,"1581","J.B.Baitello & F.S.Peres",2003,5,15,"Brazil","Sp","Franco da Rocha","P.E.Juqueri",NA,NA,"COLETA: XLS: SPSFAntigo&nf;Herbácea até 20cm, frutos com envoltório inflado, verde amarelado; GEOGRAFIA: campo cerrado&nf;;","BRA:IF:SPSF:0000031903","Christiana macrodon Toledo",NA,NA,NA,NA,NA
"4",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA099794","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","Bernacci, L.C. & Henriques",NA,NA,"623","Henriques, K.",2003,12,11,"Brazil","São Paulo","Ribeirão Preto",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA099794","Christiana macrodon Toledo",NA,NA,NA,NA,NA
"5",NA,"IAC","IAC","47730","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","L.C. Bernacci & O. Kotchetkoff-Henriques","2001-12-11T00:00:00.000+0000",NA,"623","O. Kotchetkoff-Henriques & A. Furlan (2)",2001,12,11,"Brazil","São Paulo","Ribeirão Preto","margem do córrego Labareda",-47.931514,-21.302316,"UTM W0195838, S7641535, zona 23","BRA:IAC:IAC:0000047730","Christiana macrodon Toledo",NA,NA,NA,NA,NA
"6",NA,"USP","SPF","114469","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","Maia, B","1998-01-01T00:00:00.000+0000",NA,"1968","Bernacci, LC",1995,9,5,"Brazil","São Paulo","Adamantina","Estação Experimental do IAC",0,0,NA,"BRA:USP:SPF:0000114469","Christiana macrodon Toledo",NA,NA,NA,NA,NA
"8",NA,"UNICAMP","UEC","84721","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","Souza, B.M.","1997-07-29T00:00:00.000+0000",NA,"5650","Souza, V.C.; Sakuragui, C.M.; Rodrigues, R.R.; Moraes, P.L.R.",1994,4,14,"Brazil","São Paulo","Matão","Fazenda Cambuhy",-48.558056,-21.620833,"Arbusto, ca. de 1,8m alt. Frutos imaturos verdes.; Mata Mesófila Semidecídua.","BRA:UNICAMP:UEC:0000084721","Christiana macrodon Toledo",NA,NA,NA,NA,NA
"11",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA015199","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","Maia Souza, B.","1997-08-08T00:00:00.000+0000",NA,NA,"Durigan, G.",1993,3,16,"Brazil","São Paulo","Marília",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA015199","Christiana macrodon Toledo",NA,NA,NA,NA,NA
"12",NA,"UNICAMP","UEC","40292","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","Souza, B.M.","1997-07-24T00:00:00.000+0000",NA,"16899","Bertoni, J.E.A.",1989,11,17,"Brazil","São Paulo","Porto Ferreira","Reserva Estadual Porto Ferreira",0,0,"Arvoreta 4m, floresta com botões florais esverdeados.","BRA:UNICAMP:UEC:0000040292","Christiana macrodon Toledo",NA,NA,NA,NA,NA
"13","2017-10-10T18:37:18.000+0000","JBRJ","RB","RB00437302","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo",NA,NA,NA,"16899","J.E.A. Bertoni",1980,12,17,"Brazil","São Paulo","Porto Ferreira",NA,NA,NA,"Arvoreta 4 m floresta com com botões florais esverdeados.","urn:catalog:JBRJ:RB:437302","Christiana macrodon Toledo",NA,NA,NA,NA,NA
