"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"UNICAMP","UEC","150482","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","Esteves, G.L.","1998-01-01T00:00:00.000+0000",NA,"1968","Bernacci, L.C.; Moreira; Martins, C.F.; Andrade; Camargo, F.C.; Belinello, R.",1995,9,5,"Brazil","São Paulo","Adamantina","Estação experimental do IAC",0,0,"Arbusto ca. de 3m alt. Frutos castanhos.; Floresta Ripária, com transição para Cerrado.","BRA:UNICAMP:UEC:0000150482","Christiana macrodon Toledo"
"2",NA,"USP","SPF","95982","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","Maia, B","1998-07-01T00:00:00.000+0000",NA,"5650","Souza, VC",1994,4,14,"Brazil","São Paulo","Matão",NA,-48.558056,-21.620833,NA,"BRA:USP:SPF:0000095982","Christiana macrodon Toledo"
"3",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA014034","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","Esteves, G.L.","1999-11-01T00:00:00.000+0000",NA,"5650","Souza, V.C. et al.",1994,4,14,"Brazil","São Paulo","Matão",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA014034","Christiana macrodon Toledo"
"4",NA,"HBG","HBGSpermatophyta - Herbarium Hamburgense","HBG512735","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","Toledo, Jm.F.","1949-10-20T00:00:00.000+0000","ISOTYPE",NA,"Kuhlmann, M.",1947,11,19,"Brazil",NA,NA,"São Paulo, Jardinopolis, mata a beira do Rio Pardo",NA,NA,NA,NA,"Christiana macrodon Toledo"
"5",NA,"Instituto de Botânica, IBT","SP","43987A","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","Toledo, JF","1952-01-01T00:00:00.000+0000","ISOTYPE","2009","Kuhlmann, M",1947,11,19,"Brazil","São Paulo","Jardinópolis","Parque Rio Pardo, mata à beira do rio Pardo",0,0,NA,"BRA:IBt:SP:000043987A","Christiana macrodon Toledo"
"6",NA,"Instituto de Botânica, IBT","SP","43987","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","Toledo, JF","1952-01-01T00:00:00.000+0000","ISOTYPE","2009","Kuhlmann, M",1947,11,19,"Brazil","São Paulo","Jardinópolis","Parque Rio Pardo, mata à beira do rio Pardo",0,0,NA,"BRA:IBt:SP:0000043987","Christiana macrodon Toledo"
"7","2014-07-08T00:16:45.000+0000","JBRJ","RB","RB00720860","Christiana macrodon Toledo","Malvaceae","Christiana","macrodon","Toledo","Jm. F. Toledo","1949-10-20T00:00:00.000+0000","ISOTYPE","2009","M. Kuhlmann",1947,11,19,"Brazil","São Paulo","Jardinópolis","mata a beira do rio Pardo.",NA,NA,NA,"urn:catalog:JBRJ:RB:720860","Christiana macrodon Toledo"
