"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","typeStatus","fieldNumber","comments","bibliographicCitation"
"1",NA,"UFRB","HURB","13864","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda",NA,NA,"1544","Victor Jr., V.",2013,1,14,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",NA,NA,NA,"BRA:UFRB:HURB:0000013864","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"2",NA,"UFRB","HURB","13861","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda",NA,NA,"588","Victor Jr., V.",2013,1,11,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",NA,NA,NA,"BRA:UFRB:HURB:0000013861","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"3",NA,"UFRB","HURB","13862","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda",NA,NA,"1037","Victor Jr., V.",2013,1,11,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",NA,NA,NA,"BRA:UFRB:HURB:0000013862","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"4",NA,"UFRB","HURB","13863","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda",NA,NA,"1642","Victor Jr., V.",2013,1,13,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",NA,NA,NA,"BRA:UFRB:HURB:0000013863","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"5",NA,"UFRB","HURB","13865","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda",NA,NA,"2246","Victor Jr., V.",2013,1,19,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",NA,NA,NA,"BRA:UFRB:HURB:0000013865","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"6",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA131486","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda","Souza, V.C.","2013-01-01T00:00:00.000+0000","36689","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.",2013,2,23,"Brazil","São Paulo","Guaratinguetá","Fragmento 33 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa. Área alagável.",-45.287,-22.7939,NA,"BRA:ESALQ:ESA:0ESA131486","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"7","2013-09-04T01:02:43.000+0000","JBRJ","RB","RB00719294","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda","M.G. Bovini","2010-05-05T00:00:00.000+0000","122","Maudad, L.P",2010,1,13,"Brazil","Rio de Janeiro","Campos dos Goytacazes","Morro do Itaoca. Trilha da torre.",NA,NA,"Planta arborea, fruto cor verde e folhas alternas, espiriladas, coletada na borda da trilha para a torre.","urn:catalog:JBRJ:RB:719294","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"8",NA,"IF","SPSF","39500","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda","J.A.Pastore","2009-09-24T00:00:00.000+0000","844","F.M.Souza & R.Esteves & R.C.Sousa & J.B.Silva & R.L.M.Garcia & Z.S.Costa",2007,6,6,"Brazil","Sp","São Paulo","Parque Estadual do Jaraguá",-46.759167,-23.456111,"COLETA: Árvore, 22m. Frutos imaturos verdes, na carpoteca.; GEOGRAFIA: Trilha da Bica (ADM);","BRA:IF:SPSF:0000039500","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"9",NA,"USP","SPF","200451","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda","Serafim, H","2009-01-01T00:00:00.000+0000","282","Serafim, H",2007,12,27,"Brazil","São Paulo","São José do Barreiro",NA,-44.656667,-22.642778,NA,"BRA:USP:SPF:0000200451","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"10",NA,"UNESPSJRP","SJRP","18639","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda","C.L. Cristobal","1997-01-01T00:00:00.000+0000","4142","L.P. de Queiroz",1994,10,14,"Brazil","Bahia","Formosa do Rio Preto","ca. 22 km W da BR 135",NA,NA,"Geografia: árvore 9 m, folhas viscosas, membranáceas, frutos separados;","BRA:UNESPSJRP:SJRP:0000018639","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"12",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA010153","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda","Cruz, F. R.","2007-01-01T00:00:00.000+0000","26","Barreto, K.D. et al.",1993,2,5,"Brazil","São Paulo","Piracicaba",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA010153","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"13",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA010624","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda","Cruz, F. R.","2007-01-01T00:00:00.000+0000","746","Barreto, K.D. et al.",1993,6,17,"Brazil","São Paulo","Piracicaba",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA010624","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"14",NA,"UNESPSJRP","SJRP","17586","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda",NA,NA,"23","K""ampf, E.",1989,3,22,"Brazil","São Paulo","Piracicaba",NA,NA,NA,NA,"BRA:UNESPSJRP:SJRP:0000017586","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"15",NA,"Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul (MCN-FZBRS)","HAS","20731","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda",NA,NA,"181","Nilson, A.",1985,12,NA,"Brazil","Rio Grande do Sul","Porto Alegre","Bairro Moinhos de Vento, rua Mosterdeiro - Hospital Fêmina. Depressão Central.",NA,NA,"Árvore com cerca de 15 m de altura, rara em Porto Alegre. Flores vermelho-alaranjadas.","BRA:MCN/FZBRS:HAS:0000020731","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"16",NA,"UNESPSJRP","SJRP","17557","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda",NA,NA,"s/n","Catharino, E.L.M.",1984,1,11,"Brazil","São Paulo","Piracicaba",NA,NA,NA,NA,"BRA:UNESPSJRP:SJRP:0000017557","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"17",NA,"IF","SPSF","08247","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda","F.R.Cruz","2008-03-30T00:00:00.000+0000",NA,"O.T. Aguiar",1978,2,22,"Brazil","Sp","Osasco",NA,NA,NA,"COLETA: XLS: SPSFAntigo;","BRA:IF:SPSF:0000008247","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"18",NA,"UNICAMP","UEC","14933","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda","Cruz, F.R.","2008-03-01T00:00:00.000+0000","s.n.","Semir, J.",1976,2,4,"Brazil","São Paulo","Campinas","Fazenda Santa Elisa",0,0,NA,"BRA:UNICAMP:UEC:0000014933","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"19",NA,"UNICAMP","UEC","14930","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda","Taroda, N.",NA,"2184","Taroda, N.",1976,4,1,"Brazil","São Paulo","Campinas","Fazenda Santa Elisa, Instituto Agronômico de Campinas.",0,0,"Árvore de 6m +/-. Flores de coloração ferruginea externamente, amarelo-esverdeado internamente.","BRA:UNICAMP:UEC:0000014930","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"20",NA,"IF","SPSF","05587","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda","F.R.Cruz","2007-05-30T00:00:00.000+0000",NA,"P.Prado & B.R.Barbosa",1976,10,8,"Brazil","Sp","São Paulo","Horto Florestal",NA,NA,"COLETA: XLS: SPSFAntigo;","BRA:IF:SPSF:0000005587","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"21",NA,"UNICAMP","UEC","14931","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda","Cruz, F.R.","2007-06-01T00:00:00.000+0000","s.n.","Taroda, N.",1975,11,27,"Brazil","São Paulo","Campinas","Fazenda Santa Elisa",0,0,"Árvore. 7m. Inflorescência: cacho grande, flores ferrugíneas. Flores femininas no ápice da inflorescência.","BRA:UNICAMP:UEC:0000014931","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
"22",NA,"IF","SPSF","07619","Sterculia curiosa (Vell.) Taroda","Malvaceae","Sterculia","curiosa","(Vell.) Taroda","F.R.Cruz","2008-03-30T00:00:00.000+0000",NA,"B.Costa",1952,3,11,"Brazil","Sp","São Paulo","Parque Estadual do Instituto Florestal",NA,NA,"COLETA: XLS: SPSFAntigo;","BRA:IF:SPSF:0000007619","Sterculia curiosa (Vell.) Taroda",NA,NA,NA,NA,NA,NA
