"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","fieldNumber","comments","bibliographicCitation"
"1","2017-10-18T15:48:36.000+0000","JBRJ","RB","RB00601371","Eriotheca candolleana var. longipes A.Robyns","Malvaceae","Eriotheca","candolleana","longipes","var. longipes A.Robyns","V.L.C. Martins",NA,"HOLOTYPE",NA,"Duarte, A.P.",1951,5,15,"Brazil","Rio de Janeiro","Rio de Janeiro","Cultivada no Jardim Botânico.",NA,NA,NA,"urn:catalog:JBRJ:RB:601371","Eriotheca candolleana var. longipes A.Robyns",NA,NA,NA,NA
"2","2017-10-18T16:03:45.000+0000","JBRJ","RB","RB00534506","Eriotheca candolleana var. longipes A.Robyns","Malvaceae","Eriotheca","candolleana","longipes","var. longipes A.Robyns","V.L.C. Martins",NA,"HOLOTYPE",NA,"Duarte, A.P.",1951,5,15,"Brazil","Rio de Janeiro","Rio de Janeiro","Cultivada no Jardim Botânico.",NA,NA,NA,"urn:catalog:JBRJ:RB:534506","Eriotheca candolleana var. longipes A.Robyns",NA,NA,NA,NA
