"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"NY","NY","402460","Eriotheca bahiensis M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","bahiensis","M.C.Duarte & G.L.Esteves",NA,NA,"ISOTYPE","1159","J. G. Jardim",1997,11,4,"Brazil","Bahia",NA,"Rod. Una/Sao JosÃ©, ca. 25 km.  Margen da estrada.",-39.0751882637406,-15.2970177652254,"Foto.","e2085dc9-f904-4373-aee0-d46b715c9db9","Eriotheca bahiensis M.C.Duarte & G.L.Esteves"
"2","2014-07-22T18:36:37.000+0000","JBRJ","RB","RB00059197","Eriotheca bahiensis M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","bahiensis","M.C.Duarte & G.L.Esteves","M.C. Duarte","2010-01-01T00:00:00.000+0000","PARATYPE","1239","M. CLARA FERREIRA; J. COSTA, C.B. NASCIMENTO",1997,12,6,"Brazil","Bahia","Conde","FAZENSA DO BU. MATA DA MARÉ.",-37.728611,-12.035278,"ÁRVORE DE CA. 15 M DE ALT. FUSTE LINHEIRO, DAP DE CA 0,40 M, FOLHAS TRIFOLIOLADAS, CORIÁCEAS, GLABRAS NA FACE VENTRAL E FERRUGÍNEAS VELUTINAS NA FACE DORSAL, BOTÕES FLORAIS VERDES, FRUTOS JOVENS VERDES, VELUTINO FERRUGÍNEO.","urn:catalog:JBRJ:RB:59197","Eriotheca bahiensis M.C.Duarte & G.L.Esteves"
"3",NA,"NY","NY","402440","Eriotheca bahiensis M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","bahiensis","M.C.Duarte & G.L.Esteves","J. A. Kallunki","2011-01-01T00:00:00.000+0000",NA,"10893","W. W. Thomas",1995,3,28,"Brazil","Bahia",NA,"7.4 km north of Serra Grande on road to ItacarÃ©, Fazenda Lagoa do Conjunto Fazenda Santa Cruz",-39.0606,-14.4233,NA,"14f9dc62-7df6-4b93-ad9d-7ede51482750","Eriotheca bahiensis M.C.Duarte & G.L.Esteves"
"4",NA,"NY","NY","402465","Eriotheca bahiensis M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","bahiensis","M.C.Duarte & G.L.Esteves","J. A. Kallunki","2011-01-01T00:00:00.000+0000",NA,"s.n.","W. W. Thomas",1991,7,1,"Brazil","Bahia",NA,"7.3 km N of Serra Grande on rd to ItacarÃ©.  Fazenda Lagoa do Conjunto Fazenda Santa Cruz.  Parcel: 12. Tree # 422",-39.0617,-14.4231,"Serra Grande inventory voucher specimen.","2b3e3cb1-d2c8-4679-a50a-fc761246fbb2","Eriotheca bahiensis M.C.Duarte & G.L.Esteves"
"5",NA,"NY","NY","402463","Eriotheca bahiensis M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","bahiensis","M.C.Duarte & G.L.Esteves","J. A. Kallunki","2011-01-01T00:00:00.000+0000",NA,"7025","W. W. Thomas",1991,7,1,"Brazil","Bahia",NA,"7.3 km N of Serra Grande on rd to ItacarÃ©.  Fazenda Lagoa do Conjunto Fazenda Santa Cruz.  Parcel: 5. Tree # 174",-39.0617,-14.4231,"Serra Grande inventory voucher specimen.","73192246-5ad0-4e27-b842-b536ed319bb9","Eriotheca bahiensis M.C.Duarte & G.L.Esteves"
"6",NA,"Instituto de Botânica, IBT","SP","364152","Eriotheca bahiensis M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","bahiensis","M.C.Duarte & G.L.Esteves","Duarte, MC","2010-01-01T00:00:00.000+0000","PARATYPE","373","Amorim, AM; Sant'Ana, SC; Santos, TS; Santos, EB; Brito, HS",1991,11,20,"Brazil","Bahia","Itacaré","Restinga arbustiva na praia da Ribeira",0,0,"Árvore com até 14 m alt. Flores com cálice verde-ferrugíneo, corola alva, bastante vistosa, estames amarronzados. Botões com ápice amarelado","BRA:IBt:SP:0000364152","Eriotheca bahiensis M.C.Duarte & G.L.Esteves"
"8",NA,"NY","NY","402574","Eriotheca bahiensis M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","bahiensis","M.C.Duarte & G.L.Esteves",NA,NA,NA,"11482","S. A. Mori",1979,2,8,"Brazil","Bahia",NA,"Cerca de 1 km ao S de ItacarÃ©.  Folha SD 24 (14-39c).",-38.995183,-14.289018,NA,"19738fd5-7494-4968-959e-b7589f9bd836","Eriotheca bahiensis M.C.Duarte & G.L.Esteves"
"10",NA,"NY","NY","402468","Eriotheca bahiensis M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","bahiensis","M.C.Duarte & G.L.Esteves",NA,NA,NA,"13068","S. A. Mori",1979,12,8,"Brazil","Bahia",NA,"A 3 km ao S de ItacarÃ©.",-38.9965836192823,-14.2814954259902,"Frutos separados, foto da casca.  Material da casca em F.A.A.","fca030ef-ee86-45e4-82dd-520334aec57a","Eriotheca bahiensis M.C.Duarte & G.L.Esteves"
"12",NA,"NY","NY","402443","Eriotheca bahiensis M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","bahiensis","M.C.Duarte & G.L.Esteves",NA,NA,NA,"147","J. Almeida",1968,10,15,"Brazil","Bahia",NA,"ItacarÃ©, beira-mar.",-38.9965836192823,-14.2814954259902,NA,"f222eb6f-b1fc-4ecd-9358-a1fc4c15f898","Eriotheca bahiensis M.C.Duarte & G.L.Esteves"
"13",NA,"Instituto de Botânica, IBT","SP","364153","Eriotheca bahiensis M.C.Duarte & G.L.Esteves","Malvaceae","Eriotheca","bahiensis","M.C.Duarte & G.L.Esteves","Duarte, MC","2010-01-01T00:00:00.000+0000","PARATYPE","148","Almeida, J; Santos, TS",1968,10,15,"Brazil","Bahia","Itacaré","Beira mar",0,0,"Árvore 10 m alt. x 20 cm diam., cálice roxo, pétalas brancas, estames brancos, anteras amarelas","BRA:IBt:SP:0000364153","Eriotheca bahiensis M.C.Duarte & G.L.Esteves"
