"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1","UEFS","HUEFS",175709,"Eriotheca saxicola Carv.-Sobr.","Malvaceae","Eriotheca","saxicola","Carv.-Sobr.","J.G.de Carvalho-Sobrinho","2013-09-01T00:00:00.000+0000",3167,"Carvalho-Sobrinho, J.G.de",2011,7,14,"Brazil","Espírito Santo","Marilândia","Alto Liberdade, Pedra do Cruzeiro.",-40.549722,-19.346111,"Afloramentos graníticos.","BRA:UEFS:HUEFS:0000175709","Eriotheca saxicola Carv.-Sobr."
"2","UEFS","HUEFS",175706,"Eriotheca saxicola Carv.-Sobr.","Malvaceae","Eriotheca","saxicola","Carv.-Sobr.","J.G.de Carvalho-Sobrinho","2013-09-01T00:00:00.000+0000",3146,"Carvalho-Sobrinho, J.G.de",2011,7,14,"Brazil","Espírito Santo","Marilândia","Alto Liberdade, Pedra do Cruzeiro.",-40.549722,-19.346111,"Cerrado sobre afloramentos graníticos.","BRA:UEFS:HUEFS:0000175706","Eriotheca saxicola Carv.-Sobr."
"3","MBML","MBML-HERBARIO",31649,"Eriotheca saxicola Carv.-Sobr.","Malvaceae","Eriotheca","saxicola","Carv.-Sobr.","T.M. Macedo/03-06-2014",NA,3457,"R.R. Vervloet; V. Demuner, E. Bausen, T. A. Cruz",2007,9,12,"Brazil","Espírito Santo","Marilândia","Pedra do Cruzeiro. Aguilar",-40.551111,-19.348333,"Arbusto 1m, cálice de cor marrom, corola de cor branca. Ambiente rupestre.","BRA:MBML:MBML-HERBARIO:0000031649","Eriotheca saxicola Carv.-Sobr."
"4","UEFS","HUEFS",166697,"Eriotheca saxicola Carv.-Sobr.","Malvaceae","Eriotheca","saxicola","Carv.-Sobr.","J.G.de Carvalho-Sobrinho","2013-09-01T00:00:00.000+0000",3424,"Verveloet, R.",2007,9,11,"Brazil","Espírito Santo","Colatina","Alto moacir.Prop. Lalau.",-40.552222,-19.343611,NA,"BRA:UEFS:HUEFS:0000166697","Eriotheca saxicola Carv.-Sobr."
"6","MBML","MBML-HERBARIO",26423,"Eriotheca saxicola Carv.-Sobr.","Malvaceae","Eriotheca","saxicola","Carv.-Sobr.","T.M. Macedo/03-06-2014",NA,1647,"V. Demuner; L.F.S. Magnago, M. Belizário, Elias Bausen",2006,1,18,"Brazil","Espírito Santo","Marilândia","Liberdade (Água.Viva, Pedra do Cruzeiro), Prop.: Aguilar A. Lovucini",-40.551111,-19.348333,"Arbusto 3m, frutos maduros marrom. Solo raso, sobre rocha, (Cruzeiro a gruta).","BRA:MBML:MBML-HERBARIO:0000026423","Eriotheca saxicola Carv.-Sobr."
"8","MBML","MBML-HERBARIO",27241,"Eriotheca saxicola Carv.-Sobr.","Malvaceae","Eriotheca","saxicola","Carv.-Sobr.","T.M. Macedo/03-06-2014",NA,2578,"V. Demuner; L.F.S Magnago, T. Cruz e Elias Bausen",2006,7,12,"Brazil","Espírito Santo","Colatina","Alto Moacir, Prop.: Lalau",-40.552972,-19.339167,"Arbusto 3m, botões florais verdes, frutos velhos. Ambiente rupestre.","BRA:MBML:MBML-HERBARIO:0000027241","Eriotheca saxicola Carv.-Sobr."
"9","MBML","MBML-HERBARIO",32842,"Eriotheca saxicola Carv.-Sobr.","Malvaceae","Eriotheca","saxicola","Carv.-Sobr.","J.G. Carvalho Sobrinho/Set.2013",NA,1387,"L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen",2006,9,26,"Brazil","Espírito Santo","Marilândia","Liberdade (Água.Viva, Pedra do Cruzeiro), propr.: Aguilar A. Lovucini",-40.551111,-19.348333,"Abusto 2m de alt. Flores brancas. Vegetação Ruspestre.","BRA:MBML:MBML-HERBARIO:0000032842","Eriotheca saxicola Carv.-Sobr."
"11","MBML","MBML-HERBARIO",27396,"Eriotheca saxicola Carv.-Sobr.","Malvaceae","Eriotheca","saxicola","Carv.-Sobr.","M.T.R. Costa/Março-2016",NA,2937,"V. Demuner; L.F.S. Magnago, T. Cruz, Elias Bausen",2006,10,18,"Brazil","Espírito Santo","Águia Branca","Santa Luzia, prop.: Ciro Ferreira",-40.665556,-18.977778,"Arvoreta 5m, botões florais brancos. Vegetação rupestre.","BRA:MBML:MBML-HERBARIO:0000027396","Eriotheca saxicola Carv.-Sobr."
