"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2008-05-27T22:02:00.000+0000","MO","MO","1009705","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,NA,"Menacho Viruez 665","M. Menacho|et al.",1994,10,NA,"Bolivia, Plurinational State of","Santa Cruz",NA,"2 km de la laguna Bella Vista hacia el aserradero Choré; bosque anegado temporalmente; suelos franco arenosos.",-61.38805,-13.73388,NA,"urn:catalog:MO:Tropicos:1009705","http://www.tropicos.org/Specimen/1009705","Moronobea candida Ducke"
"2","2017-10-18T15:02:02.000+0000","JBRJ","RB","RB00538993","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,"SYNTYPE",NA,"Ducke, A.",1927,5,27,"Brazil","Pará","Juruti","Juruti Velho. Estrada Grande de Pompra. Mata de terra firme.",NA,NA,"árvore Grande. N.v."" Lacury bravo"". Fr. Na coleção carpológica","urn:catalog:JBRJ:RB:538993",NA,"Moronobea candida Ducke"
"3",NA,NA,"Botany","U.1204470","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,NA,NA,"Ducke A",1927,6,4,"Brazil",NA,NA,"Ad. flum Curuca prope maués (civ, Amazonne) silva non imundabili.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1204470",NA,"Moronobea candida Ducke"
"4","2017-10-18T18:25:17.000+0000","JBRJ","RB","RB00538994","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,"LECTOTYPE",NA,"Ducke, A.",1927,6,4,"Brazil","Amazonas","Maués","Lago Massauary, Rio Curneá.",NA,NA,"Árvore alta com látex amarelo. fl. branca lago massanary","urn:catalog:JBRJ:RB:538994",NA,"Moronobea candida Ducke"
"5","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","16020","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,NA,"JB21276","Mike Hopkins",1927,6,4,"Brazil","Amazonas",NA,"Lago Massanari, rio Curuçá.",-58.21,-3.643333,NA,"urn:catalog:inpa:herbarium:41392",NA,"Moronobea candida Ducke"
"6","2007-06-18T14:12:49.000+0000","K","Herbarium","K000488599","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke","Ducke, A.",NA,"21276","Ducke, A.",1927,6,4,"Brazil",NA,NA,"Ad flum. Curucá prope Manés",NA,NA,NA,"http://specimens.kew.org/herbarium/K000488599",NA,"Moronobea candida Ducke"
"7",NA,"US","Botany","1441663","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,"SYNTYPE","21276","A. Ducke",1927,7,4,"Brazil","Amazonas",NA,"Curuca prope Manes",NA,NA,NA,"http://n2t.net/ark:/65665/3bc25eaf8-a499-4b57-8975-b88838cb110b",NA,"Moronobea candida Ducke"
"8",NA,"NY","NY","75995","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,"SYNTYPE","21276","W. A. Ducke",1927,NA,NA,"Brazil","Amazonas",NA,"MauÃ©s (Amazonas).",-57.711871,-3.392017,NA,"ffb9ee52-70bb-4dad-862f-91fce9bd11fb",NA,"Moronobea candida Ducke"
"9",NA,"NY","NY","75994","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,"SYNTYPE","21276","W. A. Ducke",1927,NA,NA,"Brazil",NA,NA,"MauÃ©s (civit. Amazonas), Lago Massauary, RÃ­o CuruÃ§Ã¡.",0,0,NA,"fc069a6d-16dd-40e9-acdc-d5a80d1d4094",NA,"Moronobea candida Ducke"
"10",NA,"F","Botany",NA,"Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,"TYPE",NA,"A. Ducke",NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"17bab39d-f9e8-4067-8df8-740e693663eb",NA,"Moronobea candida Ducke"
"11",NA,"B","FMNH-B-Types","9226","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,"TYPE","s.n.","A. Ducke",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Moronobea candida Ducke"
"12","2/06/17 15:59","INPA","INPA","16020","Moronobea candida","Clusiaceae","Moronobea",NA,"Ducke",NA,"isotype",NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Lago Massanari, rio Curṳ��.",NA,NA,NA,NA,NA,"Moronobea candida Ducke"
