"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2017-10-18T15:02:02.000+0000","JBRJ","RB","RB00538993","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,"SYNTYPE",NA,"Ducke, A.",1927,5,27,"Brazil","Pará","Juruti","Juruti Velho. Estrada Grande de Pompra. Mata de terra firme.",NA,NA,"árvore Grande. N.v."" Lacury bravo"". Fr. Na coleção carpológica","urn:catalog:JBRJ:RB:538993",NA,"Moronobea candida Ducke"
"2",NA,NA,"Botany","U.1204470","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,NA,NA,"Ducke A",1927,6,4,"Brazil",NA,NA,"Ad. flum Curuca prope maués (civ, Amazonne) silva non imundabili.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1204470",NA,"Moronobea candida Ducke"
"4","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","16020","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,NA,"JB21276","Mike Hopkins",1927,6,4,"Brazil","Amazonas",NA,"Lago Massanari, rio Curuçá.",-58.21,-3.643333,NA,"urn:catalog:inpa:herbarium:41392",NA,"Moronobea candida Ducke"
"5","2007-06-18T14:12:49.000+0000","K","Herbarium","K000488599","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke","Ducke, A.",NA,"21276","Ducke, A.",1927,6,4,"Brazil",NA,NA,"Ad flum. Curucá prope Manés",NA,NA,NA,"http://specimens.kew.org/herbarium/K000488599",NA,"Moronobea candida Ducke"
"6",NA,"US","Botany","1441663","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,"SYNTYPE","21276","A. Ducke",1927,7,4,"Brazil","Amazonas",NA,"Curuca prope Manes",NA,NA,NA,"http://n2t.net/ark:/65665/3bc25eaf8-a499-4b57-8975-b88838cb110b",NA,"Moronobea candida Ducke"
"9",NA,"F","Botany",NA,"Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,"TYPE",NA,"A. Ducke",NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"17bab39d-f9e8-4067-8df8-740e693663eb",NA,"Moronobea candida Ducke"
"10",NA,"B","FMNH-B-Types","9226","Moronobea candida Ducke","Clusiaceae","Moronobea","candida","Ducke",NA,"TYPE","s.n.","A. Ducke",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Moronobea candida Ducke"
