"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","locality","decimalLongitude","decimalLatitude","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","municipality","occurrenceRemarks","comments","bibliographicCitation"
"1","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","18384","Amaioua monteiroi Standl.","Rubiaceae","Amaioua","monteiroi","Standl.",", E. de A.","2014-03-28T00:00:00.000+0000",NA,2852,"Prance, GT",1966,10,26,"Brazil","Acre","Cruzeiro do Sul - Japiim, Km 18, road Cruzeiro do Sul to Japiim. Forest on terra firme.",NA,NA,"urn:catalog:inpa:herbarium:233871","Amaioua monteiroi Standl.",NA,NA,NA,NA,NA,NA,NA
"5",NA,"F","Botany","V0068419F","Amaioua monteiroi Standl.","Rubiaceae","Amaioua","monteiroi","Standl.",NA,NA,"ISOTYPE",290,"R. C. Monteiro da Costa",1932,1,NA,"Brazil",NA,NA,-52.8731,-10.8339,"293b9f58-9068-48bd-ae69-14255e370258","Amaioua monteiroi Standl.",NA,NA,NA,NA,NA,NA,NA
"9",NA,"F","Botany",NA,"Amaioua monteiroi Standl.","Rubiaceae","Amaioua","monteiroi","Standl.",NA,NA,NA,586,"da Costa",NA,NA,NA,"Brazil",NA,NA,-52.8731,-10.8339,"912c2fd2-1366-4647-b309-beb1ce2fe6fb","Amaioua monteiroi Standl.",NA,NA,NA,NA,NA,NA,NA
