"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"11",NA,NA,"RB","RB00560933","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Mario Gomes","",NA,"941",NA,"R. Borges; M. Iguatemy, R. Abreu, T. Zveibil",2009,2,15,"brazil","Rio de Janeiro","Rio de Janeiro","Guapimirim, Área de estudo da Embrapa Agrobiologia.  .",-42.860556,-22.565278,"Arvoreta, folhas levemente discolores, frutos acastanhados.","Faramea pachyantha Müll.Arg.",NA,"original coordinates outside municipality original in rio de janeiro falls in cachoeiras de macacu","GBIF"
"12",NA,NA,"UEC","160934","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Cavalin, P.O.","2010-06-01",NA,"46",NA,"Cavalin, P.O.",2009,11,12,"brazil","São Paulo","Ubatuba","Fazenda Capricórnio",-45.092778,-23.396667,"Indivíduo juvenil, 1-2 m de altura.; Sub-bosque Floresta Ombrófila Densa.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"13",NA,NA,"MBML-HERBARIO","38030","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","A. M. Assis/2008","",NA,"1468",NA,"A. M. Assis; Valdir G. Demuner; Karla Fabiola O. Faria",2008,3,15,"brazil","Espírito Santo","Itapemirim","Fazenda do Ouvidor - Usina Paineiras. Porção oeste do Fragmento de 600 ha. Acesso pela Rodovia ES-490.",-41.047167,-20.938083,"Arbusto 5 m. Pedúnculo da unflorescência lilás.Frutos verdes. Interior da Mata. Floresta Estacional Semidecidual em Estágio Avançado de Regeneração.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"14",NA,NA,"CVRD","11186","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Domingos A. Folli","2008-04-03",NA,"6008",NA,"Folli, D.A.",2008,4,3,"brazil","Espírito Santo","LINHARES","",-40.028138,-19.38214,"<ll>dwc_commonname:</ll> Peyneau","Faramea pachyantha Müll.Arg.",NA,"centroide mpo OK","GBIF"
"15",NA,NA,"UEC","148810","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Jung-Mendaçolli, S.L.","2008-10-01",NA,"405",NA,"Aranha, B.A.",2007,1,12,"brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela J, 380-msm",-45.084167,-23.366389,"","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"16",NA,NA,"IAC","50519","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","E. Ramos et al.","2007-04-15",NA,"622",NA,"E. Ramos; H.R. Gonçalves & S. Santos",2007,4,15,"brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Núcleo Picinguaba/PESM, Parcela H",-45.082034,-23.373577,"Sub-parcela 27, indivíduo H0404","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"17",NA,NA,"IAC","49036","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","M. Gomes","2006-11-01",NA,"391",NA,"J.A.M.A. Gomes; L.C. Bernacci; O.A. Santos; S. Santos & F.J. Benedetti",2007,5,5,"brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela G (Parque Estadual da Serra do Mar, Núcleo Picinguaba)",-45.080223,-23.373498,"subparcela 6, indivíduo G 100","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"18",NA,NA,"CEPEC","113678","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","","",NA,"4949",NA,"Jardim, J. G.",2006,1,15,"brazil","São Paulo","Ubatuba","Rodovia Ubatuba-Parati. Ca. 1km a partir da ponte sobre o Rio Escuro, Morro do Corsário, entrada à direita. Bairro Mato Dentro.",-45.1525,-23.481667,"Floresta de Encosta.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"19",NA,NA,"CVRD","11738","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","M.A.Pinho-Ferreira","2006-04-12",NA,"638",NA,"Ferreira-Pinho, M.A.",2006,4,10,"brazil","Espírito Santo","LINHARES","Taxonomia de Campo USP, UNICAMP, ESAlq",-40.028138,-19.38214,"Corola esverdeada, cálice verde. <ll>dwc_commonname:</ll> Peyneau","Faramea pachyantha Müll.Arg.",NA,"centroide mpo OK","GBIF"
"20",NA,NA,"UEC","147670","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Jung-Mendaçolli, S.L.","2007-09-01",NA,"359",NA,"Campos, M.C.R.; Belinello, R.; Assis, M.A.; Guaraldo, A.",2006,5,7,"brazil","São Paulo","Picinguaba","Parque Estadual da Serra do Mar, Parcela E na Trilha do Corisco (Projeto Temático Biota Gradiente Funcional)",NA,NA,"indivíduo E0494, altura 26m","Faramea pachyantha Müll.Arg.",NA,NA,"GBIF"
"21",NA,NA,"HUEFS","88274","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","","",NA,"2950",NA,"Forzza, R.C.",2004,3,6,"brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama, trilha principal partindo da casa de Seu Luiz.",-42.955,-21.431667,"","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"22",NA,NA,"RB","RB00576791","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","M. Gomes","2015-01-21",NA,"75428",NA,"G. Hatschbach; O.S.Ribas & J.Carneiro",2003,6,17,"brazil","Bahia","Nazaré","Boca da Mata.",-38.991994,-12.948058,"Arbusto,3m,fruto alvo.","Faramea pachyantha Müll.Arg.",NA,"centroide mpo OK","GBIF"
"23",NA,NA,"Herbarium","K001137852","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","","",NA,"4161",NA,"Jardim, J.G.",2003,11,13,"brazil","","Cairu","Nilo Peçanha/Cairu ca. 15,5km da BA 001.",NA,NA,"","Faramea pachyantha Müll.Arg.",NA,NA,"GBIF"
"24",NA,NA,"NY","02714647","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. G. Jardim","",NA,"4161",NA,"J. G. Jardim",2003,11,13,"brazil","Bahia","","Rod. Nilo PeÃ§anha/CairÃº, ca. 15,5Km da BA-001.",-39.04956,-13.55794,"","Faramea pachyantha Müll.Arg.",NA,"original coordinates outside municipality original in  falls in cairu","GBIF"
"25",NA,NA,"MO","3120618","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","","",NA,"Jardim 4161",NA,"Jomar G. Jardim|Sérgio C. de Sant'Ana|J. Lima Paixão",2003,11,13,"brazil","Bahia","","Mun. Cairu, Rod. Nilo peçanha/Cairu ca 15, 5km da BA 001. Restinga Restinga Arbórea. 13:33, 477'S, 39:02, 973'W",NA,NA,"","Faramea pachyantha Müll.Arg.",NA,NA,"GBIF"
"26",NA,NA,"MBML-HERBARIO","14629","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. Jardim/22-04-2004","",NA,"3802",NA,"L. Kollmann; et al",2001,5,31,"brazil","Espírito Santo","Santa Teresa","Santo Antônio",-40.589167,-19.922222,"Árvore 10m. DAP 10cm. Fuste 8m. Frutos verdes.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"27",NA,NA,"RB","RB00348532","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","","",NA,"1598",NA,"S. J. Silva Neto; I. M. Silva & W. da Silva",2001,12,14,"brazil","Rio de Janeiro","Nova Iguaçu","Itacolomí, próximo a terceira caixa d´água. REBIO do Tinguá",-43.503733,-22.689201,"Arvoreta ciófila, ca .de 4,0 m de altura; folhas discolores cartáceas; flores com cálice verde e corola amarela; estames amarelos.","Faramea pachyantha Müll.Arg.",NA,"centroide mpo OK","GBIF"
"28",NA,NA,"MBML-HERBARIO","9125","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Mário Gomes/2006","",NA,"1830",NA,"L. Kollmann; E. Bausen & W. Pizziolo",1999,2,4,"brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia",-40.530278,-19.971389,"Árvore 9m. DAP 21cm. Fuste 4m. Botões verdes. Ar 3. Parc 5. Arv 119.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"29",NA,NA,"ESA","ESA118751","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Jardim, J.","2004-04-22",NA,"2317",NA,"Kollmann, L.",1999,3,30,"brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia",-40.530278,-19.971389,"","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"30",NA,NA,"Herbarium","K001137848","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","","",NA,"60",NA,"Demuner, V.",1999,9,30,"brazil","","Santa Teresa","Estação Biológica de Santa Lúcia. Trilha do Palmiteiro.",NA,NA,"","Faramea pachyantha Müll.Arg.",NA,NA,"GBIF"
"31",NA,NA,"Herbarium","K001137844","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","","",NA,"229",NA,"Kollmann, L.",1998,7,15,"brazil","","Fundão","Goiapaba-Açu.",NA,NA,"","Faramea pachyantha Müll.Arg.",NA,NA,"GBIF"
"32",NA,NA,"MBML-HERBARIO","8392","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. Jardim/22-04-2004","",NA,"229",NA,"L. Kollmann; E. Bausen & W. Pizziolo",1998,7,15,"brazil","Espírito Santo","Fundão","Goiapaba-Açu",-40.472222,-19.914167,"Chapada. Mata baixa. Arbusto 4m. Frutos verdes.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"33",NA,NA,"Herbarium","K001137849","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","","",NA,"290",NA,"Kollmann, L.",1998,8,5,"brazil","","Santa Teresa","São Lourenço.",NA,NA,"","Faramea pachyantha Müll.Arg.",NA,NA,"GBIF"
"34",NA,NA,"MBML-HERBARIO","8396","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. Jardim/22-04-2004","",NA,"290",NA,"L. Kollmann; E. Bausen & W. Pizziolo",1998,8,5,"brazil","Espírito Santo","Santa Teresa","Estação Biológica Caixa D'Água",-40.6075,-19.931389,"Mata de encosta. Arvoreto 8m. Frutos verdes.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"35",NA,NA,"MBML-HERBARIO","8361","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. Jardim/22-04-2004","",NA,"493",NA,"L. Kollmann; E. Bausen & W. Pizziolo",1998,9,9,"brazil","Espírito Santo","Santa Teresa","São Lourenço, Mata Fria",-40.683611,-19.931111,"Mata de encosta. Arvoreto 8m. DAP 15cm. Fuste 5m. Frutos verdes.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"36",NA,NA,"Herbarium","K001137851","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","","",NA,"498",NA,"Kollmann, L.",1998,9,9,"brazil","","Santa Teresa","São Lourenço. Terreno de Clério Loss.",NA,NA,"","Faramea pachyantha Müll.Arg.",NA,NA,"GBIF"
"37",NA,NA,"MBML-HERBARIO","8479","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. Jardim/22-04-2004","",NA,"498",NA,"L. Kollmann; E. Bausen & W. Pizziolo",1998,9,9,"brazil","Espírito Santo","Santa Teresa","São Lourenço. Mata Fria",-40.683611,-19.931111,"Chapada. Árvore 10m. DAP 20cm. Fuste 8m. Frutos verdes.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"38",NA,NA,"Herbarium","K001137847","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","","",NA,"493",NA,"Kollmann, L.",1998,9,9,"brazil","","Santa Teresa","São Lourenço. Terreno de Clério Loss.",NA,NA,"","Faramea pachyantha Müll.Arg.",NA,NA,"GBIF"
