"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","comments","bibliographicCitation","acceptedNameUsage"
"99","","","Botany","L.2955212","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","","","","","","Hatschbach GG","1956","11","23","brazil","","","Est Parana, Campina Gde do Sul. Caminho ao Morro Cerro Verde.","","","","","no coordinates, municipality or state provided","GBIF","Rudgea gardenioides Müll.Arg."
"100","","","Herbarium","K000090111","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","","","","990","","Occhioni","1947","3","24","brazil","","","Itatiaia, Parque Nacional do Itatiaia","","","","","no coordinates, municipality or state provided","GBIF","Rudgea gardenioides Müll.Arg."
"101","","","RB","RB00585024","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","Zappi","","","990","","P.Occhioni","1947","3","24","brazil","Rio de Janeiro","Itatiaia","Lote 70. Parque Nacional do Itatiaia","-44.580977","-22.439525","Árvore pequena,flor branca.","","centroide mpo","GBIF","Rudgea gardenioides Müll.Arg."
"102","","","HUCO","2225","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","Pastore, J.A.","1993-01-29","","s.n.","","Lopes, B.","1944","3","21","brazil","São Paulo","São Paulo","Parque Estadual da Cantareira","-46.647014","-23.64989","Permuta SPSF, 01913; Fruto alaranjado&nf;; DESC: Fruto alaranjado","","centroide mpo (0)","GBIF","Rudgea gardenioides Müll.Arg."
"103","","","SPSF","01913","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","J.A.Pastore","1993-01-19","","","","B.Lopes","1944","3","21","brazil","Sp","São Paulo","Serra da Cantareira","-46.647014","-23.64989","COLETA: XLS: SPSFAntigo;","","centroide mpo","GBIF","Rudgea gardenioides Müll.Arg."
"104","","","RB","RB00578157","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","J. A. Pastore","1993-01-29","","","","Benedito Lopes","1944","3","21","brazil","São Paulo","São Paulo","Serra da Cantareira .","-46.647014","-23.64989","Frutos alaranjados.","","centroide mpo","GBIF","Rudgea gardenioides Müll.Arg."
"105","","","SP","46105","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","Gehrt, A","","","3","","Roth, L","1941","11","19","brazil","São Paulo","São Paulo","Santo Amaro","-46.647014","-23.64989","","","centroide mpo (0)","GBIF","Rudgea gardenioides Müll.Arg."
"106","","","Botany","1593864","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","","","","758","","B. Lutz","1932","1","","brazil","São Paulo","","Serra da Bocaina, S. Paulo, base of Boa Vista mountain","","","","","","GBIF","Rudgea gardenioides Müll.Arg."
"107","","","RB","RB00359193","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","","","","133","","F. C. Hoehne","1931","11","10","brazil","São Paulo","São Paulo","Jardim Botânico.","-46.647014","-23.64989","","","centroide mpo","GBIF","Rudgea gardenioides Müll.Arg."
"108","","","Botany","2580060","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","","","","26663","","F. C. Hoehne","1931","11","11","brazil","São Paulo","","Sao Paulo, nativa no Parque do Estado","","","","","","GBIF","Rudgea gardenioides Müll.Arg."
"109","","","SP","26663","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","Kirkbride Jr, JH","1978-01-01","","s.n.","","Hoehne, FC","1931","11","11","brazil","São Paulo","São Paulo","Nativa no Parque do Estado","-46.647014","-23.64989","","","centroide mpo (0)","GBIF","Rudgea gardenioides Müll.Arg."
"110","","","SP","23952","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","Zappi, DC","2001-01-01","","s.n.","","Kuhlmann, M","1928","7","1","brazil","São Paulo","São Paulo","Bosque da Saúde","-46.647014","-23.64989","","","centroide mpo (0)","GBIF","Rudgea gardenioides Müll.Arg."
"111","","","HERB","130290","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","-","","","","","Hatschbach, G.","","","","brazil","Paraná","","Morro Cerro Verde","","","","","","GBIF","Rudgea gardenioides Müll.Arg."
"112","","","ER","13958","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","Reginato, M.","","","","","Reginato, M.","","","","brazil","","","Mananciais da Serra","","","","","no coordinates, municipality or state provided","GBIF","Rudgea gardenioides Müll.Arg."
"113","","","BHCB","52893","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","","","","s.n.","","Ribas, OS; et al.","","","","brazil","Paraná","Quatro Barras","","-48.994742","-25.369279","","","centroide mpo (0)","GBIF","Rudgea gardenioides Müll.Arg."
"114","","","MBM","234306","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","Hatschbach, G","","","2818","","Silva, JM; O.S. Ribas, OS; Barbosa, E","","","","brazil","Paraná","Tijucas do Sul","Postinho","-49.112272","-25.901697","","","centroide mpo (0)","GBIF","Rudgea gardenioides Müll.Arg."
"115","","","Botany","V0077883F","Coffea gardenioides Cham.","","Rubiaceae","Rudgea","gardenioides","","Cham.","","","","s.n.","","F. Sellow","","","","brazil","","","","-52.8731","-10.8339","","","original coordinates","GBIF","Coffea gardenioides Cham."
"116","","","SP","11657","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","Standley, PC","","","CGGs.n.","","Edwall, G","","","","brazil","São Paulo","Santo André","Estação Rio Grande","-46.443939","-23.726284","","","centroide mpo (0)","GBIF","Rudgea gardenioides Müll.Arg."
