"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","locality","decimalLongitude","decimalLatitude","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","municipality","occurrenceRemarks","comments"
"1","2016-05-14T04:13:00.000+0000","MO","MO","100818165","Platycarpum acreanum G.K.Rogers","Rubiaceae","Platycarpum","acreanum","G.K.Rogers",NA,NA,NA,"Dávila Cardozo 6334","Nállarett Dávila",2014,10,10,"Brazil","Acre","Rio Içana.",NA,NA,"urn:catalog:MO:Tropicos:100818165","http://www.tropicos.org/Specimen/100818165","Platycarpum acreanum G.K.Rogers",NA,NA,NA,NA,NA,NA
"2",NA,NA,"Botany","U.1569223","Platycarpum acreanum G.K.Rogers","Rubiaceae","Platycarpum","acreanum","G.K.Rogers","Delprete PG",NA,NA,NA,"Delprete PG; et al.",2001,11,12,"Brazil","Acre",NA,-73.05,-8.233333,"http://data.biodiversitydata.nl/naturalis/specimen/U.1569223",NA,"Platycarpum acreanum G.K.Rogers",NA,NA,NA,NA,NA,NA
"3",NA,"NY","NY","702967","Platycarpum acreanum G.K.Rogers","Rubiaceae","Platycarpum","acreanum","G.K.Rogers",NA,NA,NA,"7718","P. G. Delprete",2001,11,12,"Brazil","Acre","Rio Juruá-Mirim, Comunidade Santo Antonio.",-73.049705,-8.235955,"2c1f24c8-78e6-4b15-9b64-d91d8f04e280",NA,"Platycarpum acreanum G.K.Rogers",NA,NA,NA,NA,NA,NA
"4","2015-05-08T14:47:00.000+0000","MO","MO","3171456","Platycarpum acreanum G.K.Rogers","Rubiaceae","Platycarpum","acreanum","G.K.Rogers","N. Dávila (UNICAMP)","2015-01-01T00:00:00.000+0000",NA,"Delprete 7718","Piero G. Delprete|E.C. de Oliveira|E. Ferreira|J.M. da Costa Oliveira",2001,11,12,"Brazil","Acre","Porto Walter; Rio Jurua-Mirim, comnidade Santo Antonio. Secondary and primary forests, intermixed, canopy 25-40 meter tall",NA,NA,"urn:catalog:MO:Tropicos:3171456","http://www.tropicos.org/Specimen/3171456","Platycarpum acreanum G.K.Rogers",NA,NA,NA,NA,NA,NA
"5","2015-05-08T14:43:00.000+0000","MO","MO","3169949","Platycarpum acreanum G.K.Rogers","Rubiaceae","Platycarpum","acreanum","G.K.Rogers","N. Dávila (UNICAMP)","2015-01-01T00:00:00.000+0000",NA,"Daly 10611","Douglas C. Daly",2000,12,12,"Brazil","Acre","Cruzeiro do Sul: Basin of Rio Jurua, vegetation flanking unpaved and unfinished road near intersection with Ramal Pentecostes. Campina complex of vegetation typs on white sand overlying impermeable clay.",-73.016667,-7.4,"urn:catalog:MO:Tropicos:3169949","http://www.tropicos.org/Specimen/3169949","Platycarpum acreanum G.K.Rogers",NA,NA,NA,NA,NA,NA
"6",NA,"NY","NY","452756","Platycarpum acreanum G.K.Rogers","Rubiaceae","Platycarpum","acreanum","G.K.Rogers","P. G. Delprete","1999-06-22T00:00:00.000+0000",NA,"10407","C. A. Cid Ferreira",1991,10,27,"Brazil","Acre","IgarapÃ© HumaitÃ¡, afluente da margem direita do Rio JuruÃ¡, atrÃ¡s da ColocaÃ§ao Dois Portos",-72.78,-8.32,"e1eb69ba-9a0c-4bc3-a1bc-c54871cfb44f",NA,"Platycarpum acreanum G.K.Rogers",NA,NA,NA,NA,NA,NA
"7","2015-05-08T14:47:00.000+0000","MO","MO","3171552","Platycarpum acreanum G.K.Rogers","Rubiaceae","Platycarpum","acreanum","G.K.Rogers","N. Dávila (UNICAMP)","2015-01-01T00:00:00.000+0000",NA,"Cid Ferreira 10407","C.A. Cid Ferreira|J. Guedes de Oliveira|F.C. Walthier|F. Amaral",1991,10,27,"Brazil","Acre","Igarapé Humaitá, afluente da margem direita do Rio Juruá, atras da Colocação Dois Portos.",-72.783333,-8.316667,"urn:catalog:MO:Tropicos:3171552","http://www.tropicos.org/Specimen/3171552","Platycarpum acreanum G.K.Rogers",NA,NA,NA,NA,NA,NA
"8",NA,"UFAC","UFACPZ","7223","Platycarpum acreanum G.K.Rogers","Rubiaceae","Platycarpum","acreanum","G.K.Rogers",NA,NA,NA,"10407","Cid, C.A",1991,10,27,NA,NA,NA,NA,NA,"BRA:UFAC:UFACPZ:0000007223",NA,"Platycarpum acreanum G.K.Rogers",NA,NA,NA,NA,NA,NA
"9","2009-12-10T08:57:00.000+0000","MO","MO","3446090","Platycarpum acreanum G.K.Rogers","Rubiaceae","Platycarpum","acreanum","G.K.Rogers","McDaniel","1990-01-01T00:00:00.000+0000",NA,"Armistead s.n.","G.M. Armistead",1990,5,31,"Peru","Loreto","Distrito Fernado Lores, Rio Amazonas, Isla de Aguajal, swamp forest over peat",-72.35,-4.1,"urn:catalog:MO:Tropicos:3446090","http://www.tropicos.org/Specimen/3446090","Platycarpum acreanum G.K.Rogers",NA,NA,NA,NA,NA,NA
"10","2009-12-10T08:57:00.000+0000","MO","MO","3453546","Platycarpum acreanum G.K.Rogers","Rubiaceae","Platycarpum","acreanum","G.K.Rogers",NA,NA,NA,"Armistead 1247","G.M. Armistead",1990,5,31,"Peru","Loreto","Fernando Lores. Río Amazonas, Isla de Aguaja, swamp forest over peat.",-72.35,-4.1,"urn:catalog:MO:Tropicos:3453546","http://www.tropicos.org/Specimen/3453546","Platycarpum acreanum G.K.Rogers",NA,NA,NA,NA,NA,NA
