"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","comments"
"515","2015-07-08T00:00:00.000+0000","K","Herbarium","K001136258","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"809",NA,"s.coll.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://specimens.kew.org/herbarium/K001136258",NA,"Rustia formosa Klotzsch",NA,NA
"516",NA,"W","Herbarium W","0072676","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,"REFLORA provisional entry",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Rustia formosa Klotzsch",NA,NA
"517",NA,"NY","NY","23686","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,"TYPE","111",NA,"Martii Herbar. Florae Brasil.",NA,NA,NA,"Brazil",NA,NA,"Rio de Janerio",0,0,"acc. 1837","cd2a7bc4-1b2e-46cb-ae37-d220d9a4e9fb",NA,"Rustia formosa Klotzsch",NA,NA
"518",NA,"UnB","UB","45193","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch","Delprete, PG",NA,NA,"3757",NA,"Heringer, EP",NA,NA,NA,"Brazil","Distrito Federal","Brasília","Área de inundação da Barragem do rio São Bartolomeu",0,0,NA,"BRA:UnB:UB:0000045193",NA,"Rustia formosa Klotzsch",NA,NA
"519",NA,"F","Botany","V0294125F","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"a1acae61-54e6-4ad5-92a5-68fefd081fa2",NA,"Rustia formosa Klotzsch",NA,NA
"520",NA,"F","Botany","V0071048F","Rustia pohliana Klotzsch",NA,"Rubiaceae","Rustia","pohliana","Klotzsch",NA,NA,"ISOTYPE","809",NA,"J. B. E. Pohl",NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"87fbeddf-1f7d-46e2-b9cb-0ffef4e49956",NA,"Rustia pohliana Klotzsch",NA,NA
"521",NA,"F","Botany","V0294132F","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"a7bed165-0a7d-4455-8e9c-29512c24b807",NA,"Rustia formosa Klotzsch",NA,NA
"522","2015-09-04T14:58:09.000+0000","MNHN","P","P03920947","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p03920947",NA,"Rustia formosa Klotzsch",NA,NA
"523",NA,"F","Botany","V0294115F","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"d487e784-1624-4f5c-8e4b-6f38c343b73a",NA,"Rustia formosa Klotzsch",NA,NA
"524",NA,"F","Botany","V0294131F","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"a62d4f0d-3a86-41f2-9710-1566ff9dfa88",NA,"Rustia formosa Klotzsch",NA,NA
