"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1","2017-10-19T11:29:00.000+0000","JBRJ","RB","RB01298259","Cinnamodendron occhionianum F.Barros & J.Salazar","Canellaceae","Cinnamodendron","occhionianum","F.Barros & J.Salazar","F. Barros ; J. Salazar","2005-01-01T00:00:00.000+0000","PARATYPE","917",NA,"M.M.R.F. Melo; A. Penina",1987,8,20,"Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Mata de encosta do morro da captação d´água",NA,NA,"Árvore ca. 9 m de altura.; perímetro a 1,30 m do solo 29,5 cm.. Botões muito jóvens esverdeados.","urn:catalog:JBRJ:RB:1298259","Cinnamodendron occhionianum F.Barros & J.Salazar"
"2",NA,"Instituto de Botânica, IBT","SP","246015","Cinnamodendron occhionianum F.Barros & J.Salazar","Canellaceae","Cinnamodendron","occhionianum","F.Barros & J.Salazar","Barros, F; Salazar, J","2005-01-01T00:00:00.000+0000","PARATYPE","917",NA,"Melo, MMRF; Penina, A",1987,8,20,"Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Mata de encosta do morro da captação d'água",0,0,NA,"BRA:IBt:SP:0000246015","Cinnamodendron occhionianum F.Barros & J.Salazar"
