"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"UFPB","JPB","62303","Astronium glaziovii Mattick","Anacardiaceae","Astronium","glaziovii","Mattick",NA,NA,4032,"Gadelha Neto, PC; Soares Neto, RL",2016,3,24,"Brazil","Paraíba","Pilões","Cachoeira do Ouricuri",-35.585278,-6.892222,"Árvore com ramos jovens lenticelados. Folhas compostas, alternas, imparipinadas. Folíolos glabros, subopostos, cartáceos. Vegetando em encosta nas proximidades de ambiente lótico. Substrato areno-argiloso.; Mata Serrana","BRA:UFPB:JPB:0000062303","Astronium glaziovii Mattick"
"2",NA,"USP","SPF","216452","Astronium glaziovii Mattick","Anacardiaceae","Astronium","glaziovii","Mattick","Silva-Luz, CL","2014-10-09T00:00:00.000+0000",303,"Silva-Luz, CL",2014,10,9,"Brazil","Rio de Janeiro","Niterói","Parque Estadual da Serra da Tiririca, Itacoatiara. Estrada para a praia de Itapuaçu. Entrada para a trilha no mirante do parque. Trilha para a Pedra do Elefante. Na beira da trilha.",-52.654167,-17.821111,"Árvore ca. 12 m alt. Folhas verdes discolores. Frutos amarrozandos.; Floresta Estacional Semidecidual.","BRA:USP:SPF:0000216452","Astronium glaziovii Mattick"
"4","2017-10-19T13:18:26.000+0000","JBRJ","RB","RB00417340","Astronium glaziovii Mattick","Anacardiaceae","Astronium","glaziovii","Mattick",NA,NA,5548,"H.C.de Lima; D.S.D.Araujo , B.Turcq & A.C. Duarte",1998,2,19,"Brazil","Rio de Janeiro","Rio de Janeiro","Mun.São Pedro da Aldeia, serra de Sapiatiba, Estrada para a Torre da Telerj.",NA,NA,"Arvoreta com 4 metros de altura. Esteril. Ocasional","urn:catalog:JBRJ:RB:417340","Astronium glaziovii Mattick"
"5",NA,"MBM","MBM","352594","Astronium glaziovii Mattick","Anacardiaceae","Astronium","glaziovii","Mattick","Guedes, R","1995-08-01T00:00:00.000+0000",514,"Gomes, M",1992,10,26,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso, Rio Paraíso.",-42.833333,-22.433333,"Árvore 18m. tronco pálido, folíolos discolores claros; frutos imaturos verdes.; Margens do rio.","BRA:MBM:MBM:0000352594","Astronium glaziovii Mattick"
"6","2017-10-17T14:14:11.000+0000","JBRJ","RB","RB00559716","Astronium glaziovii Mattick","Anacardiaceae","Astronium","glaziovii","Mattick","R.Guedes",NA,521,"M.Gomes; et al.",1992,10,26,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Proximidades do alojamento.",-42.833333,-22.433333,"Árvore, foliolos discolores; frutos imaturos verdes.","urn:catalog:JBRJ:RB:559716","Astronium glaziovii Mattick"
"8","2017-10-17T14:13:40.000+0000","JBRJ","RB","RB00559515","Astronium glaziovii Mattick","Anacardiaceae","Astronium","glaziovii","Mattick","R.Guedes",NA,2,"T.S.Pereira; et al.",1992,11,12,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Arredores do CPRJ.",-42.833333,-22.433333,"Árvore, folhas concolores, frutos secos (maduros) com cálice persistente acrescente (frutos maduros com sépalas voltadas para baixo, frutos verde com sépalas para cima). Entre a Administração e o Dept. de Alimentação.","urn:catalog:JBRJ:RB:559515","Astronium glaziovii Mattick"
"9",NA,"NY","NY","1019434","Astronium glaziovii Mattick","Anacardiaceae","Astronium","glaziovii","Mattick",NA,NA,1,"T. S. Pereira",1992,11,12,"Brazil","Rio de Janeiro",NA,"EstaÃ§Ã£o EcolÃ³gica Estadual de ParaÃ­so, Arredores do CPRJ. Ãrea FP12.",-42.88333,-22.48333,NA,"e7258e23-f777-4752-99f0-c2f652fa5090","Astronium glaziovii Mattick"
"11","2017-10-17T14:13:40.000+0000","JBRJ","RB","RB00559516","Astronium glaziovii Mattick","Anacardiaceae","Astronium","glaziovii","Mattick","R.Guedes",NA,3,"T.S.Pereira; et al.",1992,11,12,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Arredores do CPRJ.",-42.833333,-22.433333,"Árvore, frutos baga com cálice persistente acrescente seco, (sépalas no fruto seco voltadas para baixo). Entre gaiolas de micos e casa de hóspedes.","urn:catalog:JBRJ:RB:559516","Astronium glaziovii Mattick"
"13","2017-10-04T12:39:29.000+0000","JBRJ","RB","RB00039405","Astronium glaziovii Mattick","Anacardiaceae","Astronium","glaziovii","Mattick","D.A. Santin",NA,NA,"D.A. Santin; H.C. Lima, & J. Caruso",1991,8,6,"Brazil","Rio de Janeiro","Rio de Janeiro","Pico do Alto Mourão, entre Niterói e maricá.",NA,NA,"Àrvore com mais ou menos 8 metros de altura, flores femininas de sépalas verdes e pétalas creme","urn:catalog:JBRJ:RB:39405","Astronium glaziovii Mattick"
"14","2017-10-19T11:23:22.000+0000","JBRJ","RB","RB00558596","Astronium glaziovii Mattick","Anacardiaceae","Astronium","glaziovii","Mattick","R.Guedes",NA,4227,"H.C.de Lima; et al.",1991,8,27,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Picada para o cano da CEDAE.",-42.833333,-22.433333,"Árvore. Tronco com casca lisa, descamados em pequenas placas papiráceas. Ésteril. muito frequente. Vi indíviduos com até 28m alt.","urn:catalog:JBRJ:RB:558596","Astronium glaziovii Mattick"
